step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_fz,prob_atom_fz_integral,n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
56,0.153769,-3337.77,3.45058,0.0797315,-95.7097,229.586,100,-4207.34,869.578,642.438,1135.17,-6433.94,448.985,1144.29,-274.709
57,0.167034,-3338.89,2.32858,0.0930201,-73.3959,145.034,100,-4207.24,868.35,642.034,1135.03,-6433.6,449.298,1142.61,-274.264
58,0.1803,-3339.73,1.48981,0.106309,-53.3335,81.6689,100,-4207.2,867.475,641.73,1134.88,-6433.34,449.524,1141.4,-273.925
59,0.19357,-3340.32,0.896368,0.119597,-36.5717,36.7163,100,-4207.19,866.874,641.525,1134.75,-6433.15,449.681,1140.56,-273.687
60,0.206843,-3340.71,0.502001,0.132886,-23.3655,6.74772,100,-4207.21,866.494,641.389,1134.64,-6433.02,449.784,1140.02,-273.523
61,0.22012,-3341.16,0.0521575,0.146174,-14.8421,-12.3561,100,-4207.23,866.069,641.288,1134.56,-6432.93,449.852,1139.48,-273.408
62,0.2334,-3341.31,-0.0958883,0.159463,-7.85607,-23.7052,100,-4207.25,865.942,641.235,1134.5,-6432.88,449.891,1139.28,-273.341
63,0.246683,-3341.38,-0.166381,0.172752,-3.0711,-29.1687,100,-4207.27,865.889,641.207,1134.46,-6432.85,449.912,1139.19,-273.301
64,0.259968,-3341.4,-0.184825,0.18604,0.0708622,-30.6689,100,-4207.28,865.878,641.198,1134.43,-6432.83,449.919,1139.16,-273.279
65,0.273255,-3341.39,-0.169905,0.199329,2.04222,-29.6123,100,-4207.3,865.913,641.218,1134.39,-6432.82,449.917,1139.2,-273.285
66,0.286539,-3341.37,-0.151563,0.212617,3.10942,-27.0365,100,-4207.3,865.928,641.213,1134.41,-6432.82,449.905,1139.2,-273.274
67,0.299829,-3341.32,-0.10495,0.225906,1.18189,-24.8908,100,-4207.29,865.966,641.216,1134.4,-6432.82,449.916,1139.24,-273.276
68,0.313117,-3341.3,-0.0865543,0.239194,1.5356,-23.5321,100,-4207.28,865.982,641.199,1134.41,-6432.82,449.926,1139.25,-273.27
69,0.326406,-3341.28,-0.0655784,0.252483,1.69402,-21.9173,100,-4207.26,865.981,641.285,1134.39,-6432.84,449.9,1139.31,-273.326
70,0.339693,-3341.26,-0.0406552,0.265772,1.74974,-20.1954,100,-4207.3,866.039,641.202,1134.43,-6432.84,449.908,1139.32,-273.283
71,0.352985,-3341.25,-0.030638,0.27906,1.9832,-18.3289,100,-4206.51,865.266,641.215,1133.9,-6432.03,450.405,1137.89,-272.621
72,0.366219,-3341.2,0.0118815,0.292349,1.75685,-16.4589,100,-4207.34,866.141,641.168,1134.43,-6432.85,449.902,1139.46,-273.321
73,0.379563,-3341.35,-0.133032,0.305637,1.58726,-14.7869,100,-4207.22,865.87,641.563,1134.38,-6432.9,449.737,1139.4,-273.531
74,0.392849,-3341,0.220988,0.318926,0.601395,-13.6925,100,-4207.26,866.263,641.237,1134.43,-6432.83,449.904,1139.58,-273.312
75,0.406143,-3341.02,0.196368,0.332215,0.971532,-12.9061,100,-4206.75,865.73,641.653,1134.26,-6432.63,449.969,1139.12,-273.392
76,0.419427,-3340.97,0.242536,0.345503,1.07457,-11.883,100,-4207.24,866.263,641.296,1134.44,-6432.85,449.882,1139.57,-273.304
77,0.432718,-3341.1,0.116728,0.358792,0.473397,-11.109,100,-4207.47,866.373,641.694,1134.16,-6432.97,449.649,1139.79,-273.417
