step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_fz,prob_atom_fz_integral,n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
58,-0.0324162,-3331.94,9.28022,-0.106309,-154.031,679.953,100,-4212.35,880.418,646.46,1130.27,-6435.46,446.379,1157.5,-277.083
59,-0.0457203,-3333.94,7.28024,-0.119597,-145.263,530.306,100,-4211.65,877.712,645.517,1130.69,-6434.9,447.042,1154.01,-276.302
60,-0.0590159,-3335.69,5.52166,-0.132886,-128.191,393.579,100,-4210.85,875.16,644.614,1131.24,-6434.39,447.677,1150.74,-275.577
61,-0.0723047,-3337.43,3.78776,-0.146174,-107.564,275.701,100,-4210.06,872.627,643.818,1131.84,-6433.95,448.237,1147.58,-274.953
62,-0.0855889,-3338.7,2.51177,-0.159463,-84.5198,179.659,100,-4209.33,870.626,643.152,1132.42,-6433.6,448.701,1145.08,-274.452
63,-0.0988696,-3339.68,1.53539,-0.172752,-62.81,105.994,100,-4208.72,869.038,642.625,1132.93,-6433.34,449.066,1143.1,-274.06
64,-0.112149,-3340.34,0.87487,-0.18604,-44.2651,52.4569,100,-4208.22,867.877,642.241,1133.35,-6433.15,449.342,1141.66,-273.779
65,-0.12543,-3340.71,0.506505,-0.199329,-29.3393,15.6547,100,-4207.83,867.125,641.958,1133.67,-6433.01,449.545,1140.7,-273.571
66,-0.138712,-3341.08,0.135034,-0.212617,-19.7749,-8.90241,100,-4207.56,866.48,641.769,1133.91,-6432.92,449.681,1139.92,-273.436
67,-0.151995,-3341.23,-0.0183409,-0.225906,-11.4092,-24.4944,100,-4207.37,866.139,641.64,1134.08,-6432.87,449.772,1139.49,-273.35
68,-0.165279,-3341.34,-0.126222,-0.239194,-5.20504,-32.8015,100,-4207.25,865.91,641.552,1134.2,-6432.83,449.83,1139.21,-273.296
69,-0.178564,-3341.38,-0.165443,-0.252483,-0.982927,-35.8955,100,-4207.17,865.792,641.505,1134.27,-6432.82,449.864,1139.06,-273.269
70,-0.19185,-3341.37,-0.158825,-0.265772,1.77125,-35.5013,100,-4207.13,865.757,641.472,1134.32,-6432.81,449.884,1139.01,-273.254
71,-0.205137,-3341.47,-0.249741,-0.27906,2.97052,-33.1305,100,-4207.31,865.845,640.812,1134.14,-6432.53,450.273,1138.8,-272.954
72,-0.218462,-3341.29,-0.0693302,-0.292349,4.47386,-29.4083,100,-4207.09,865.808,641.465,1134.35,-6432.8,449.897,1139.06,-273.252
73,-0.231712,-3341.49,-0.277039,-0.305637,4.19199,-25.0754,100,-4208.41,866.917,640.993,1134.42,-6433.29,449.464,1140.95,-274.032
74,-0.24502,-3341.15,0.0656091,-0.318926,4.62186,-20.6684,100,-4207.1,865.95,641.462,1134.37,-6432.82,449.889,1139.22,-273.269
75,-0.258289,-3341.26,-0.04023,-0.332215,4.10348,-16.3058,100,-4207.59,866.335,640.914,1134.32,-6432.67,449.843,1139.31,-272.972
76,-0.271552,-3341.13,0.0879581,-0.345503,3.41613,-12.546,100,-4207.08,865.95,641.474,1134.36,-6432.82,449.901,1139.2,-273.252
77,-0.284868,-3341.09,0.123128,-0.358792,3.59327,-9.04125,100,-4207.67,866.575,640.74,1134.4,-6432.61,449.796,1139.23,-272.656
78,-0.298232,-3341.04,0.180705,-0.37208,3.09933,-5.69496,100,-4207.2,866.165,641.409,1134.37,-6432.86,449.882,1139.47,-273.302
79,-0.311446,-3340.92,0.299057,-0.385369,2.6131,-2.83875,100,-4206.93,866.016,642.977,1134.1,-6433.35,449.338,1139.62,-273.601
80,-0.324769,-3340.96,0.259565,-0.398657,2.90512,-0.079636,100,-4207.16,866.208,641.461,1134.36,-6432.86,449.877,1139.51,-273.302
81,-0.338022,-3341.03,0.190335,-0.411946,2.05121,2.39853,100,-4207.01,865.982,640.272,1134.48,-6432.34,450.58,1138.68,-272.7
82,-0.351274,-3341.07,0.143957,-0.425235,1.45188,4.15007,100,-4207.16,866.093,641.451,1134.37,-6432.87,449.882,1139.4,-273.305
