step	T	Epot	Efull	E_solute	E_solvent	E_solusolv	NThrouZ	NThrouZmin	NThrouZmax	
1380	154.089	-515.591	-388.755	-515.591	0	0	0	0	0	
1390	157.603	-512.321	-382.592	-512.321	0	0	0	0	0	
1400	175.567	-521.357	-376.841	-521.357	0	0	0	0	0	
1410	196.596	-534.056	-372.231	-534.056	0	0	0	0	0	
1420	206.199	-538.14	-368.41	-538.14	0	0	0	0	0	
1430	219.092	-545.304	-364.961	-545.304	0	0	0	0	0	
1440	239.21	-558.866	-361.964	-558.866	0	0	0	0	0	
1450	262.095	-575.52	-359.78	-575.52	0	0	0	0	0	
1460	303.593	-608.97	-359.071	-608.97	0	0	0	0	0	
1470	337.185	-637.558	-360.009	-637.558	0	0	0	0	0	
1480	367.633	-664.938	-362.326	-664.938	0	0	0	0	0	
1490	375.586	-674.369	-365.211	-674.369	0	0	0	0	0	
1500	362.378	-666.339	-368.053	-666.339	0	0	0	0	0	
1510	353.573	-661.378	-370.34	-661.378	0	0	0	0	0	
1520	357.093	-666.792	-372.855	-666.792	0	0	0	0	0	
1530	353.337	-665.908	-375.063	-665.908	0	0	0	0	0	
1540	352.135	-667.097	-377.242	-667.097	0	0	0	0	0	
1550	353.428	-670.578	-379.659	-670.578	0	0	0	0	0	
1560	332.619	-655.01	-381.219	-655.01	0	0	0	0	0	
1570	320.928	-646.441	-382.273	-646.441	0	0	0	0	0	
1580	296.682	-627.063	-382.854	-627.063	0	0	0	0	0	
1590	269.541	-604.128	-382.259	-604.128	0	0	0	0	0	
1600	260.088	-595.026	-380.938	-595.026	0	0	0	0	0	
1610	255.761	-589.724	-379.198	-589.724	0	0	0	0	0	
1620	254.999	-587.291	-377.392	-587.291	0	0	0	0	0	
1630	262.49	-591.888	-375.823	-591.888	0	0	0	0	0	
1640	266.447	-593.643	-374.321	-593.643	0	0	0	0	0	
1650	249.662	-578.011	-372.506	-578.011	0	0	0	0	0	
1660	245.162	-572.221	-370.42	-572.221	0	0	0	0	0	
1670	229.611	-556.923	-367.922	-556.923	0	0	0	0	0	
1680	224.965	-549.952	-364.775	-549.952	0	0	0	0	0	
1690	248.631	-566.54	-361.883	-566.54	0	0	0	0	0	
1700	278.802	-589.887	-360.395	-589.887	0	0	0	0	0	
1710	300.583	-607.34	-359.919	-607.34	0	0	0	0	0	
1720	306.735	-612.564	-360.079	-612.564	0	0	0	0	0	
1730	296.865	-604.34	-359.98	-604.34	0	0	0	0	0	
1740	281.128	-591.099	-359.692	-591.099	0	0	0	0	0	
1750	281.809	-590.93	-358.962	-590.93	0	0	0	0	0	
1760	279.658	-588.249	-358.052	-588.249	0	0	0	0	0	
1770	279.38	-587.244	-357.276	-587.244	0	0	0	0	0	
1780	269.16	-577.751	-356.196	-577.751	0	0	0	0	0	
1790	256.87	-566.141	-354.702	-566.141	0	0	0	0	0	
1800	244.372	-553.868	-352.717	-553.868	0	0	0	0	0	
1810	223.549	-533.989	-349.977	-533.989	0	0	0	0	0	
1820	217.66	-525.821	-346.658	-525.821	0	0	0	0	0	
1830	227.106	-530.371	-343.432	-530.371	0	0	0	0	0	
1840	241.512	-539.424	-340.627	-539.424	0	0	0	0	0	
1850	256.048	-549.262	-338.499	-549.262	0	0	0	0	0	
1860	282.942	-570.02	-337.119	-570.02	0	0	0	0	0	
1870	298.482	-582.572	-336.881	-582.572	0	0	0	0	0	
1880	306.46	-589.421	-337.163	-589.421	0	0	0	0	0	
1890	311.46	-593.868	-337.494	-593.868	0	0	0	0	0	
1900	307.467	-590.993	-337.906	-590.993	0	0	0	0	0	
1910	304.638	-588.847	-338.089	-588.847	0	0	0	0	0	
1920	313.256	-596.098	-338.246	-596.098	0	0	0	0	0	
1930	327.086	-608.262	-339.025	-608.262	0	0	0	0	0	
1940	345.532	-624.955	-340.535	-624.955	0	0	0	0	0	
1950	377.64	-653.936	-343.087	-653.936	0	0	0	0	0	
1960	392.496	-669.801	-346.724	-669.801	0	0	0	0	0	
1970	395.934	-676.635	-350.727	-676.635	0	0	0	0	0	
1980	388.903	-674.534	-354.413	-674.534	0	0	0	0	0	
1990	380.965	-671.417	-357.831	-671.417	0	0	0	0	0	
2000	381.27	-675.202	-361.365	-675.202	0	0	0	0	0	
2010	378.881	-676.567	-364.697	-676.567	0	0	0	0	0	
2020	359.351	-663.505	-367.71	-663.505	0	0	0	0	0	
2030	337.095	-647.171	-369.696	-647.171	0	0	0	0	0	
2040	313.348	-628.514	-370.585	-628.514	0	0	0	0	0	
2050	280.806	-601.564	-370.422	-601.564	0	0	0	0	0	
2060	278.46	-598.821	-369.61	-598.821	0	0	0	0	0	
2070	283.792	-602.397	-368.797	-602.397	0	0	0	0	0	
2080	288.204	-605.298	-368.067	-605.298	0	0	0	0	0	
2090	311.076	-624.047	-367.99	-624.047	0	0	0	0	0	
2100	319.237	-631.562	-368.787	-631.562	0	0	0	0	0	
2110	301.897	-617.896	-369.394	-617.896	0	0	0	0	0	
2120	282.18	-601.303	-369.031	-601.303	0	0	0	0	0	
2130	254.627	-577.175	-367.582	-577.175	0	0	0	0	0	
2140	231.458	-555.899	-365.378	-555.899	0	0	0	0	0	
2150	234.792	-555.836	-362.57	-555.836	0	0	0	0	0	
2160	218.516	-539.529	-359.661	-539.529	0	0	0	0	0	
