step,T,Epot,Efull,SolventMolsThroughZ,SolventMolsThroughKlap,Z_Klap,G,
390,32.7897,-8552.69,-8482.76,-1,0,-0.103797,0.164862,
400,32.3974,-8565.95,-8496.86,-1,0,-0.103567,0.169089,
410,34.0422,-8579.14,-8506.54,-1,0,-0.103359,0.173315,
420,35.1756,-8591.9,-8516.88,-1,0,-0.103161,0.177542,
430,36.0823,-8605.12,-8528.17,-1,0,-0.102914,0.181768,
440,36.8504,-8617.86,-8539.27,-1,0,-0.102618,0.185994,
450,37.3705,-8630.36,-8550.66,-1,0,-0.102335,0.190221,
460,37.6482,-8642.56,-8562.27,-1,0,-0.102086,0.194447,
470,37.777,-8654.53,-8573.97,-1,0,-0.101821,0.198673,
480,37.8219,-8666.34,-8585.68,-1,0,-0.101521,0.202899,
490,37.7938,-8678.29,-8597.68,-1,0,-0.101233,0.207125,
500,37.7163,-8689.82,-8609.38,-1,0,-0.100983,0.211351,
510,39.5876,-8701.53,-8617.1,-1,0,-0.100726,0.215577,
520,40.847,-8712.91,-8625.79,-1,0,-0.100436,0.219803,
530,41.6391,-8724.36,-8635.55,-1,0,-0.100146,0.224029,
540,42.0903,-8735.66,-8645.9,-1,0,-0.0998747,0.228255,
550,42.3045,-8746.72,-8656.5,-1,0,-0.0995922,0.23248,
560,42.3661,-8757.31,-8666.96,-1,0,-0.0992805,0.236706,
570,42.3141,-8767.63,-8677.38,-1,0,-0.0989588,0.240932,
580,42.1275,-8777.04,-8687.19,-1,0,-0.0986317,0.245157,
590,41.8678,-8786.45,-8697.16,-1,0,-0.0982787,0.249382,
600,41.5063,-8795.09,-8706.57,-1,0,-0.0978995,0.253608,
610,43.1457,-8803.83,-8711.81,-1,0,-0.0975115,0.257833,
620,44.189,-8812.78,-8718.54,-1,0,-0.0971135,0.262058,
630,44.7884,-8821.39,-8725.87,-1,0,-0.0966887,0.266283,
640,45.0833,-8829.3,-8733.15,-1,0,-0.0962278,0.270508,
650,45.1944,-8836.92,-8740.54,-1,0,-0.0957254,0.274733,
660,45.1332,-8844.61,-8748.36,-1,0,-0.0951709,0.278958,
670,44.9588,-8851.81,-8755.92,-1,0,-0.0945774,0.283183,
680,44.7343,-8858.96,-8763.55,-1,0,-0.0939882,0.287407,
690,44.5073,-8865.79,-8770.88,-1,0,-0.0934186,0.291632,
700,44.2915,-8872.42,-8777.96,-1,0,-0.0928337,0.295856,
710,46.0382,-8878.83,-8780.64,-1,0,-0.0922093,0.300081,
720,47.2557,-8885.32,-8784.54,-1,0,-0.0915744,0.304305,
730,47.9428,-8891.48,-8789.23,-1,0,-0.0909538,0.308529,
740,48.4029,-8897.56,-8794.34,-1,0,-0.0903179,0.312753,
750,48.5703,-8903.45,-8799.87,-1,0,-0.0896478,0.316977,
760,48.5854,-8909.1,-8805.48,-1,0,-0.0889756,0.321201,
770,48.4911,-8914.28,-8810.87,-1,0,-0.0883222,0.325425,
780,48.3432,-8919.61,-8816.51,-1,0,-0.0876585,0.329649,
790,48.2033,-8924.51,-8821.71,-1,0,-0.08696,0.333873,
800,47.9039,-8929,-8826.84,-1,0,-0.0862433,0.338096,
810,49.6092,-8932.88,-8827.08,-1,0,-0.0855195,0.34232,
820,50.7209,-8936.38,-8828.21,-1,0,-0.0847763,0.346543,
830,51.428,-8940.15,-8830.47,-1,0,-0.0840127,0.350766,
840,51.8557,-8943.88,-8833.29,-1,0,-0.0832453,0.354989,
850,52.1185,-8946.97,-8835.82,-1,0,-0.0824872,0.359212,
860,52.2682,-8950.39,-8838.91,-1,0,-0.0817298,0.363435,
870,52.3429,-8953.66,-8842.03,-1,0,-0.0809558,0.367658,
880,52.3506,-8956.78,-8845.13,-1,0,-0.0801657,0.371881,
890,52.3174,-8959.65,-8848.07,-1,0,-0.0793851,0.376103,
900,52.2502,-8962.63,-8851.19,-1,0,-0.0786289,0.380326,
910,54.0144,-8965.62,-8850.42,-1,0,-0.0778652,0.384548,
920,55.0853,-8968.29,-8850.81,-1,0,-0.0770612,0.38877,
930,55.6573,-8970.26,-8851.56,-1,0,-0.0762411,0.392992,
940,55.9051,-8972.12,-8852.89,-1,0,-0.075441,0.397214,
950,55.9363,-8973.92,-8854.63,-1,0,-0.0746456,0.401436,
960,55.8408,-8975.31,-8856.22,-1,0,-0.0738211,0.405658,
970,56.0088,-8979.47,-8860.02,-1,0,-0.0729842,0.40988,
980,55.879,-8980.67,-8861.5,-1,0,-0.0721737,0.414101,
990,55.7896,-8981.75,-8862.76,-1,0,-0.0713864,0.418323,
1000,55.5985,-8982.57,-8864,-1,0,-0.070598,0.422544,
1010,57.6766,-8985.21,-8862.2,-1,0,-0.0697967,0.426765,
1020,58.6895,-8985.94,-8860.78,-1,0,-0.0689699,0.430986,
1030,59.4066,-8988.72,-8862.02,-1,0,-0.0681053,0.435207,
1040,59.8913,-8990.3,-8862.57,-1,0,-0.0672314,0.439428,
1050,60.0974,-8991.35,-8863.18,-1,0,-0.0663987,0.443648,
1060,60.064,-8992.09,-8864,-1,0,-0.0655752,0.447869,
1070,60.0302,-8993.01,-8864.99,-1,0,-0.0646528,0.452089,
1080,59.7016,-8993.3,-8865.97,-1,0,-0.0636202,0.456309,
1090,59.301,-8992.85,-8866.38,-1,0,-0.0626322,0.460529,
1100,59.2006,-8992.8,-8866.54,-1,0,-0.0618048,0.464749,
1110,60.8205,-8992.33,-8862.62,-1,0,-0.0610221,0.468969,
1120,61.9275,-8991.35,-8859.28,-1,0,-0.0601011,0.473189,
1130,62.4997,-8990.3,-8857.01,-1,0,-0.0590746,0.477408,
1140,62.8507,-8988.97,-8854.93,-1,0,-0.0581073,0.481628,
1150,62.986,-8987.11,-8852.78,-1,0,-0.0572009,0.485847,
1160,63.0577,-8985.05,-8850.57,-1,0,-0.0562154,0.490066,
1170,62.9141,-8982.26,-8848.09,-1,0,-0.055144,0.494285,
1180,62.8347,-8980.06,-8846.06,-1,0,-0.0541106,0.498504,
1190,62.4863,-8976.47,-8843.2,-1,0,-0.0531247,0.502722,
1200,62.235,-8973,-8840.27,-1,0,-0.0520929,0.506941,
1210,63.7759,-8969.25,-8833.24,-1,0,-0.0510265,0.511159,
1220,64.6563,-8964.5,-8826.61,-1,0,-0.0500132,0.515377,
1230,65.1276,-8959.61,-8820.71,-1,0,-0.0490347,0.519595,
1240,65.2286,-8954.85,-8815.74,-1,0,-0.0480275,0.523813,
1250,65.0714,-8949.31,-8810.53,-1,0,-0.0470564,0.528031,
1260,64.8076,-8943.47,-8805.26,-1,0,-0.0462089,0.532249,
1270,64.5557,-8936.62,-8798.95,-1,0,-0.0454261,0.536466,
1280,64.3666,-8930.89,-8793.61,-1,0,-0.0446185,0.540683,
1290,64.2826,-8925.18,-8788.09,-1,0,-0.043827,0.5449,
1300,64.1943,-8918.47,-8781.57,-1,0,-0.0431345,0.549117,
1310,66.2675,-8913.05,-8771.73,-1,0,-0.0425502,0.553334,
1320,67.6545,-8907.46,-8763.18,-1,0,-0.0420652,0.55755,
1330,68.7801,-8902.42,-8755.73,-1,0,-0.0416655,0.561767,
1340,69.4873,-8896.98,-8748.79,-1,0,-0.0412831,0.565983,
1350,70.0532,-8892.07,-8742.67,-1,0,-0.0409077,0.570199,
1360,70.3812,-8886.49,-8736.39,-1,0,-0.0406554,0.574415,
1370,70.6477,-8881.24,-8730.57,-1,0,-0.0405582,0.578631,
1380,70.7911,-8875.92,-8724.94,-1,0,-0.040461,0.582846,
1390,70.956,-8871.19,-8719.86,-1,0,-0.0403094,0.587062,
1400,71.1068,-8865.84,-8714.19,-1,0,-0.0402685,0.591277,
1410,73.1016,-8860.64,-8704.74,-1,0,-0.0403711,0.595492,
1420,74.5046,-8855.24,-8696.35,-1,0,-0.0403957,0.599707,
1430,75.4195,-8850.22,-8689.38,-1,0,-0.0402778,0.603921,
1440,76.0058,-8844.9,-8682.81,-1,0,-0.0402404,0.608136,
1450,76.4756,-8840.35,-8677.25,-1,0,-0.0403436,0.61235,
1460,76.7911,-8835.34,-8671.57,-1,0,-0.0403681,0.616564,
1470,77.0413,-8830.88,-8666.57,-1,0,-0.0402693,0.620778,
1480,77.0184,-8826.99,-8662.73,-1,0,-0.0402608,0.624992,
1490,77.0495,-8821.97,-8657.65,-1,0,-0.0403628,0.629206,
1500,76.8106,-8815.79,-8651.98,-1,0,-0.0403576,0.633419,
1510,78.673,-8810.71,-8642.93,-1,0,-0.0402284,0.637632,
1520,79.7743,-8804.68,-8634.55,-1,0,-0.0401762,0.641845,
1530,80.8403,-8799.54,-8627.13,-1,0,-0.0402007,0.646058,
1540,81.622,-8794.27,-8620.2,-1,0,-0.0400951,0.65027,
1550,82.6675,-8790.23,-8613.93,-1,0,-0.039836,0.654483,
1560,83.5488,-8787.3,-8609.12,-1,0,-0.0396098,0.658695,
1570,84.7272,-8785.79,-8605.09,-1,0,-0.0394881,0.662907,
1580,85.7372,-8784.34,-8601.49,-1,0,-0.0393598,0.667119,
1590,86.7225,-8783.85,-8598.9,-1,0,-0.0391575,0.67133,
1600,87.556,-8783.87,-8597.14,-1,0,-0.038961,0.675542,
1610,90.1753,-8783.64,-8591.33,-1,0,-0.0388695,0.679753,
1620,92.1259,-8784.01,-8587.53,-1,0,-0.0388545,0.683964,
1630,93.4767,-8784.91,-8585.55,-1,0,-0.038797,0.688175,
1640,94.6121,-8785.81,-8584.04,-1,0,-0.0386823,0.692385,
1650,95.4064,-8786.94,-8583.47,-1,0,-0.0386481,0.696596,
1660,96.1095,-8788.32,-8583.35,-1,0,-0.0387523,0.700806,
1670,96.6047,-8790.3,-8584.28,-1,0,-0.0388551,0.705016,
1680,97.202,-8792.41,-8585.11,-1,0,-0.0388649,0.709226,
1690,97.5319,-8794.22,-8586.22,-1,0,-0.0389037,0.713435,
1700,97.7876,-8795.95,-8587.4,-1,0,-0.0390724,0.717645,
1710,99.7203,-8797.98,-8585.31,0,1,-0.0392723,0.721854,
1720,100.721,-8798.79,-8583.99,0,1,-0.0394091,0.726062,
1730,101.226,-8798.65,-8582.77,0,1,-0.0395557,0.730271,
1740,101.361,-8798.52,-8582.35,0,1,-0.0397854,0.73448,
1750,101.747,-8799.39,-8582.39,0,1,-0.0400435,0.738688,
1760,102.459,-8801.3,-8582.79,0,1,-0.0402769,0.742896,
1770,103.596,-8804.49,-8583.55,0,1,-0.0405186,0.747104,
1780,105.005,-8809.6,-8585.66,0,1,-0.0408094,0.751311,
1790,106.362,-8815.92,-8589.09,0,1,-0.0411581,0.755518,
1800,107.597,-8822.86,-8593.39,0,1,-0.0415538,0.759726,
1810,110.494,-8830.06,-8594.41,1,2,-0.041958,0.763932,
1820,112.49,-8837.13,-8597.22,1,2,-0.0423503,0.768139,
1830,113.59,-8844.11,-8601.86,1,2,-0.0427738,0.772345,
1840,114.115,-8850.27,-8606.9,1,2,-0.0432393,0.776552,
1850,114.114,-8855.55,-8612.19,1,2,-0.0436796,0.780758,
1860,113.842,-8859.71,-8616.93,1,2,-0.0441061,0.784963,
1870,113.316,-8863.46,-8621.8,1,2,-0.0446271,0.789169,
1880,112.635,-8866.29,-8626.08,1,2,-0.0452213,0.793374,
1890,112.135,-8868.88,-8629.73,1,2,-0.0457548,0.797579,
1900,111.911,-8871.68,-8633.01,1,2,-0.0462652,0.801784,
1910,114.099,-8875.59,-8632.26,1,2,-0.0469069,0.805988,
1920,115.768,-8879.78,-8632.89,1,2,-0.047624,0.810193,
1930,116.872,-8883.84,-8634.59,1,2,-0.0482484,0.814397,
1940,117.276,-8887,-8636.89,1,2,-0.0488408,0.8186,
1950,117.444,-8890.05,-8639.58,1,2,-0.0495374,0.822804,
1960,117.456,-8893.14,-8642.65,1,2,-0.0502225,0.827007,
1970,117.754,-8896.61,-8645.48,1,2,-0.0507358,0.83121,
1980,118.153,-8900.88,-8648.9,1,2,-0.0511892,0.835413,
1990,118.711,-8906.04,-8652.87,1,2,-0.0517344,0.839616,
2000,119.099,-8910.88,-8656.88,1,2,-0.0522751,0.843818,
2010,122.551,-8928.62,-8667.26,1,2,-0.0526886,0.84802,
2020,123.924,-8934.23,-8669.94,1,2,-0.0530484,0.852222,
2030,125.16,-8940.53,-8673.61,1,2,-0.0534265,0.856423,
2040,125.686,-8945.4,-8677.36,1,2,-0.0537553,0.860625,
2050,125.333,-8949.13,-8681.84,1,2,-0.0540044,0.864826,
2060,125.159,-8952.89,-8685.97,1,2,-0.0542536,0.869026,
2070,124.268,-8954.7,-8689.68,1,2,-0.0545394,0.873227,
2080,123.396,-8955.96,-8692.8,1,2,-0.0547899,0.877427,
2090,122.545,-8956.48,-8695.14,1,2,-0.0549341,0.881627,
2100,121.518,-8956.18,-8697.02,1,2,-0.0550342,0.885827,
2110,123.116,-8956.77,-8694.21,1,2,-0.0552617,0.890026,
2120,123.654,-8956.17,-8692.46,1,2,-0.0556319,0.894225,
2130,124.079,-8955.86,-8691.24,1,2,-0.0558799,0.898424,
2140,123.334,-8953.42,-8690.39,1,2,-0.0558657,0.902623,
2150,122.026,-8949.16,-8688.92,1,2,-0.0558714,0.906821,
2160,119.322,-8939.97,-8685.49,1,2,-0.0560945,0.911019,
2170,115.975,-8926.49,-8679.15,1,2,-0.0562222,0.915217,
2180,113.777,-8913.21,-8670.56,1,2,-0.0560164,0.919415,
2190,114.36,-8905.17,-8661.27,1,2,-0.0558155,0.923612,
2200,116.391,-8900.75,-8652.52,1,2,-0.0558951,0.927809,
2210,119.426,-8896.21,-8641.52,1,2,-0.0559516,0.932005,
2220,120.742,-8889.55,-8632.05,1,2,-0.0557785,0.936202,
2230,121.896,-8883.49,-8623.52,1,2,-0.0556948,0.940398,
2240,123.579,-8879.68,-8616.13,2,3,-0.0558368,0.944594,
2250,125.867,-8878.41,-8609.98,2,3,-0.0558719,0.948789,
2260,127.642,-8878.22,-8606,1,2,-0.0557235,0.952985,
2270,128.371,-8876.6,-8602.83,1,2,-0.0556797,0.95718,
2280,127.408,-8871.09,-8599.37,1,2,-0.0556958,0.961374,
2290,125.454,-8862.99,-8595.44,1,2,-0.0554742,0.965569,
2300,122.853,-8851.41,-8589.4,1,2,-0.0550988,0.969763,
2310,122.944,-8839.4,-8577.2,1,2,-0.054804,0.973957,
2320,123.426,-8828.89,-8565.67,1,2,-0.0544579,0.97815,
2330,124.822,-8821.19,-8554.98,1,2,-0.0539053,0.982344,
2340,127.082,-8816.79,-8545.76,1,2,-0.0533222,0.986537,
2350,129.784,-8815.19,-8538.4,1,2,-0.0527992,0.990729,
2360,132.747,-8815.94,-8532.83,1,2,-0.0521901,0.994922,
2370,134.559,-8816.71,-8529.74,1,2,-0.0515326,0.999114,
2380,135.838,-8817.63,-8527.93,1,2,-0.0509343,1.00331,
2390,135.263,-8815.45,-8526.98,1,2,-0.0502008,1.0075,
2400,133.489,-8809.75,-8525.06,1,2,-0.0492309,1.01169,
2410,132.713,-8800.97,-8517.94,1,2,-0.0483263,1.01588,
2420,131.596,-8789.74,-8509.09,1,2,-0.0475644,1.02007,
2430,131.412,-8779.63,-8499.37,1,2,-0.0465647,1.02426,
2440,131.714,-8771.11,-8490.21,1,2,-0.04529,1.02845,
2450,132.85,-8764.06,-8480.73,1,2,-0.0441982,1.03264,
2460,133.396,-8756.53,-8472.04,1,2,-0.043346,1.03683,
2470,133.469,-8747.99,-8463.34,1,2,-0.0423407,1.04102,
2480,132.727,-8738.02,-8454.95,1,2,-0.0412203,1.04521,
2490,132.674,-8729.81,-8446.86,1,2,-0.0403681,1.04939,
2500,133.206,-8721.68,-8437.59,1,2,-0.0397288,1.05358,
2510,136.318,-8715.8,-8425.08,1,2,-0.0390151,1.05777,
2520,138.91,-8711.32,-8415.07,1,2,-0.038324,1.06196,
2530,140.946,-8706.95,-8406.36,1,2,-0.0377972,1.06615,
2540,142.19,-8702.99,-8399.74,1,2,-0.0372154,1.07033,
2550,141.889,-8696.1,-8393.5,1,2,-0.0364838,1.07452,
2560,140.058,-8684.66,-8385.96,1,2,-0.0358608,1.0787,
2570,135.721,-8665.72,-8376.27,1,2,-0.0353972,1.08289,
2580,131.185,-8642.63,-8362.85,1,2,-0.0348246,1.08708,
2590,129.526,-8623.43,-8347.19,1,2,-0.0340906,1.09126,
2600,132.523,-8614.43,-8331.8,1,2,-0.0333954,1.09545,
2610,140.202,-8614.22,-8315.22,1,2,-0.0327883,1.09963,
2620,147.869,-8620.81,-8305.45,1,2,-0.0322052,1.10381,
2630,155.854,-8633.68,-8301.29,1,2,-0.0316643,1.108,
2640,162.982,-8651.03,-8303.45,1,2,-0.0311366,1.11218,
2650,168.471,-8670.47,-8311.17,1,2,-0.0305762,1.11637,
2660,170.732,-8686.7,-8322.59,1,2,-0.0300967,1.12055,
2670,169.474,-8695.25,-8333.81,1,2,-0.0297339,1.12473,
2680,165.178,-8696.11,-8343.84,1,2,-0.0292695,1.12891,
2690,159.429,-8690.05,-8350.04,1,2,-0.0286465,1.13309,
2700,153.648,-8678.75,-8351.07,1,2,-0.0281326,1.13728,
2710,150.08,-8662.73,-8342.66,1,2,-0.0278004,1.14146,
2720,147.324,-8645.9,-8331.71,1,2,-0.0274096,1.14564,
2730,145.807,-8630.57,-8319.62,1,2,-0.026971,1.14982,
2740,147.469,-8621.93,-8307.43,1,2,-0.0268034,1.154,
2750,151.503,-8620.06,-8296.95,1,2,-0.0269664,1.15818,
2760,158.222,-8629.05,-8291.61,1,2,-0.0272666,1.16236,
2770,166.352,-8646.86,-8292.08,1,2,-0.0277524,1.16654,
2780,173.904,-8668.88,-8298,1,2,-0.0285602,1.17072,
2790,178.757,-8691.26,-8310.02,1,2,-0.0295035,1.17489,
2800,178.384,-8704.82,-8324.38,1,2,-0.0303508,1.17907,
2810,172.751,-8699.91,-8331.49,1,2,-0.0311554,1.18325,
2820,158.928,-8669.7,-8330.76,1,2,-0.0319736,1.18743,
2830,151.484,-8642.93,-8319.87,1,2,-0.0327172,1.1916,
2840,164.107,-8660.44,-8310.45,1,2,-0.0334324,1.19578,
2850,176.294,-8688.35,-8312.37,1,2,-0.0342437,1.19996,
2860,179.308,-8702.95,-8320.54,1,2,-0.0350828,1.20413,
2870,177.831,-8708.38,-8329.12,1,2,-0.0359078,1.20831,
2880,174.745,-8708.4,-8335.73,1,2,-0.0368934,1.21248,
2890,171.772,-8706.08,-8339.75,1,2,-0.038061,1.21666,
2900,170.432,-8705.32,-8341.85,1,2,-0.0392218,1.22083,
2910,173.414,-8710.01,-8340.17,1,2,-0.0404195,1.22501,
2920,178.507,-8721.31,-8340.62,1,2,-0.0418159,1.22918,
2930,183.388,-8736.55,-8345.44,1,2,-0.0432338,1.23335,
2940,186.117,-8751.26,-8354.33,1,2,-0.0444607,1.23753,
2950,186.797,-8762.57,-8364.2,1,2,-0.04567,1.2417,
2960,186.82,-8773.03,-8374.6,1,2,-0.0470052,1.24587,
2970,186.922,-8783.68,-8385.04,1,2,-0.0482674,1.25004,
2980,186.309,-8793.21,-8395.87,1,2,-0.0494029,1.25421,
2990,185.242,-8801.28,-8406.22,1,2,-0.0506999,1.25839,
3000,183.736,-8806.47,-8414.62,1,2,-0.052252,1.26256,
3010,184.148,-8811.22,-8418.49,1,2,-0.0538112,1.26673,
3020,182.347,-8830.98,-8442.1,1,2,-0.0552626,1.2709,
3030,177.706,-8821.63,-8442.64,1,2,-0.0566911,1.27507,
3040,173.232,-8808.83,-8439.38,1,2,-0.0580142,1.27923,
3050,171.731,-8800.07,-8433.82,1,2,-0.059066,1.2834,
3060,176.526,-8805.57,-8429.1,1,2,-0.0599291,1.28757,
3070,185.17,-8824.35,-8429.44,1,2,-0.0607616,1.29174,
3080,190.776,-8843.05,-8436.19,1,2,-0.0615681,1.29591,
3090,193.316,-8858.45,-8446.17,1,2,-0.0624427,1.30007,
3100,192.387,-8866.68,-8456.38,1,2,-0.0635903,1.30424,
3110,191.974,-8870.72,-8461.3,1,2,-0.0649077,1.30841,
3120,190.735,-8872.84,-8466.07,1,2,-0.0660455,1.31257,
3130,189.434,-8873.43,-8469.43,1,2,-0.0669788,1.31674,
3140,188.676,-8874.2,-8471.81,1,2,-0.0679644,1.32091,
3150,187.972,-8874.53,-8473.64,1,2,-0.0689551,1.32507,
3160,188.152,-8876.64,-8475.37,1,2,-0.0696637,1.32923,
3170,187.578,-8876.74,-8476.7,1,2,-0.0701314,1.3334,
3180,185.509,-8872.32,-8476.69,1,2,-0.0706655,1.33756,
3190,181.551,-8862.3,-8475.11,1,2,-0.0713348,1.34173,
3200,178.503,-8851.61,-8470.92,1,2,-0.0720227,1.34589,
3210,178.964,-8842.32,-8460.65,1,2,-0.0727819,1.35005,
3220,180.685,-8836.34,-8451,1,2,-0.0737394,1.35421,
3230,182.222,-8831.84,-8443.22,1,2,-0.074839,1.35837,
3240,184.425,-8829.18,-8435.86,1,2,-0.0759266,1.36254,
3250,187.179,-8829.97,-8430.78,1,2,-0.0769147,1.3667,
3260,190.32,-8833.77,-8427.88,1,2,-0.0777824,1.37086,
3270,191.703,-8835.96,-8427.12,1,2,-0.0785468,1.37502,
3280,190.766,-8832.99,-8426.15,1,2,-0.0792588,1.37918,
3290,187.416,-8823.92,-8424.22,1,2,-0.0799916,1.38334,
3300,183.301,-8810.21,-8419.29,1,2,-0.0808528,1.38749,
3310,181.983,-8795.67,-8407.56,1,2,-0.0819263,1.39165,
3320,182.676,-8784.67,-8395.08,1,2,-0.0831458,1.39581,
3330,184.262,-8776.46,-8383.49,1,2,-0.0843829,1.39997,
3340,185.347,-8767.9,-8372.61,1,2,-0.0856471,1.40413,
3350,184.926,-8757.05,-8362.66,1,2,-0.0869402,1.40828,
3360,184.94,-8746,-8351.58,1,2,-0.0879742,1.41244,
3370,185.988,-8737.88,-8341.23,1,2,-0.0884055,1.41659,
3380,186.398,-8729.19,-8331.67,1,2,-0.0882888,1.42075,
3390,184.453,-8715.59,-8322.21,1,2,-0.0879031,1.4249,
3400,182.745,-8700.45,-8310.71,1,2,-0.0872981,1.42906,
3410,183.829,-8686.52,-8294.48,1,2,-0.0864447,1.43321,
3420,184.032,-8670.42,-8277.94,1,2,-0.0855677,1.43737,
3430,186.66,-8660.18,-8262.09,1,2,-0.0848804,1.44152,
3440,195.583,-8668.99,-8251.87,0,1,-0.0842406,1.44567,
3450,201.232,-8677.54,-8248.37,0,1,-0.0834647,1.44982,
3460,201.1,-8675.06,-8246.18,0,1,-0.0826538,1.45398,
3470,200.675,-8671.87,-8243.9,0,1,-0.0818829,1.45813,
3480,201.586,-8671.55,-8241.64,0,1,-0.0809953,1.46228,
3490,203.229,-8674.28,-8240.86,0,1,-0.0799628,1.46643,
3500,203.976,-8674.93,-8239.91,0,1,-0.0790397,1.47058,
3510,206.093,-8675.84,-8236.31,0,1,-0.0783743,1.47473,
3520,207.723,-8676.26,-8233.25,0,1,-0.077902,1.47888,
3530,207.98,-8675.22,-8231.67,0,1,-0.0776172,1.48303,
3540,205.896,-8668.76,-8229.65,0,1,-0.077533,1.48718,
3550,202.082,-8656.27,-8225.29,0,1,-0.0775088,1.49132,
3560,200.28,-8644.8,-8217.67,0,1,-0.077431,1.49547,
3570,199.412,-8634.7,-8209.42,0,1,-0.0773002,1.49962,
3580,197.644,-8622.74,-8201.23,0,1,-0.0769934,1.50377,
3590,193.671,-8602.59,-8189.55,0,1,-0.0763599,1.50791,
3600,187.633,-8576.53,-8176.37,0,1,-0.0755721,1.51206,
3610,185.528,-8549.29,-8153.62,0,1,-0.0749324,1.5162,
3620,187.977,-8531.04,-8130.15,0,1,-0.0744463,1.52035,
3630,195.416,-8526.34,-8109.58,0,1,-0.0740411,1.52449,
3640,203.551,-8531,-8096.89,0,1,-0.0739332,1.52864,
3650,209.735,-8537.14,-8089.85,0,1,-0.0742992,1.53278,
3660,211.998,-8537.98,-8085.86,0,1,-0.0748954,1.53692,
3670,213.215,-8537.43,-8082.72,0,1,-0.0754379,1.54106,
3680,216.204,-8542.32,-8081.22,0,1,-0.0759996,1.54521,
3690,219.185,-8549.63,-8082.18,0,1,-0.0766579,1.54935,
3700,222.343,-8559.75,-8085.56,0,1,-0.0771982,1.55349,
3710,225.919,-8569.45,-8087.64,0,1,-0.0774753,1.55763,
3720,226.047,-8573.42,-8091.34,0,1,-0.0776329,1.56177,
3730,224.791,-8573.65,-8094.24,0,1,-0.077781,1.56591,
3740,222.492,-8570.52,-8096.01,0,1,-0.0778522,1.57005,
3750,219.835,-8564.95,-8096.12,0,1,-0.0778155,1.57419,
3760,217.068,-8556.15,-8093.21,0,1,-0.0777128,1.57833,
3770,217.116,-8552.57,-8089.53,0,1,-0.0775575,1.58246,
3780,221.829,-8561.25,-8088.17,0,1,-0.0773429,1.5866,
3790,229.933,-8581.87,-8091.5,0,1,-0.077009,1.59074,
3800,236.618,-8605.19,-8100.56,0,1,-0.0764226,1.59487,
3810,244.318,-8631.46,-8110.41,0,1,-0.0755343,1.59901,
