step,T,Epot,Efull,SolventMolsThroughZ,
1.77e-012,295.071,-9550.46,-5476.64,0,
1.775e-012,301.285,-9635.43,-5475.82,0,
1.78e-012,305.661,-9702.39,-5482.36,0,
1.785e-012,300.679,-9639.22,-5487.98,0,
1.79e-012,298.303,-9606.69,-5488.24,0,
1.795e-012,299.693,-9625.12,-5487.48,0,
1.8e-012,299.786,-9626.15,-5487.24,0,
1.805e-012,299.733,-9625.39,-5487.21,0,
1.81e-012,300.748,-9640.33,-5488.13,0,
1.815e-012,295.634,-9569.33,-5487.74,0,
1.82e-012,295.599,-9565.36,-5484.25,0,
1.825e-012,298.94,-9610.07,-5482.84,0,
1.83e-012,295.147,-9555.45,-5480.58,0,
1.835e-012,300.96,-9634.34,-5479.21,0,
1.84e-012,304.869,-9695.05,-5485.95,0,
1.845e-012,304.279,-9696.47,-5495.51,0,
1.85e-012,303.713,-9695.13,-5501.98,0,
1.855e-012,302.959,-9689.66,-5506.94,0,
1.86e-012,295.521,-9589.11,-5509.08,0,
1.865e-012,295.495,-9591.21,-5511.53,0,
1.87e-012,292.207,-9544.93,-5510.66,0,
1.875e-012,297.692,-9618.63,-5508.62,0,
1.88e-012,300.534,-9660.5,-5511.24,0,
1.885e-012,299.808,-9655.26,-5516.05,0,
1.89e-012,301.539,-9683.19,-5520.07,0,
1.895e-012,296.841,-9619.74,-5521.47,0,
1.9e-012,291.216,-9538.63,-5518.03,0,
1.905e-012,290.189,-9518.65,-5512.23,0,
1.91e-012,290.409,-9514.92,-5505.46,0,
1.915e-012,298.313,-9620.27,-5501.68,0,
1.92e-012,307.573,-9751.55,-5505.13,0,
1.925e-012,307.546,-9757.79,-5511.74,0,
1.93e-012,299.719,-9652.63,-5514.63,0,
1.935e-012,307.676,-9766.17,-5518.32,0,
1.94e-012,310.747,-9817.44,-5527.19,0,
1.945e-012,302.759,-9713.87,-5533.91,0,
1.95e-012,302.537,-9713.08,-5536.18,0,
1.955e-012,301.602,-9701.94,-5537.95,0,
1.96e-012,299.724,-9677.32,-5539.25,0,
1.965e-012,298.756,-9663.85,-5539.15,0,
1.97e-012,298.484,-9660.21,-5539.26,0,
1.975e-012,300.032,-9681.62,-5539.3,0,
1.98e-012,299.634,-9678.17,-5541.35,0,
1.985e-012,301.309,-9703.74,-5543.79,0,
1.99e-012,297.844,-9657.39,-5545.28,0,
1.995e-012,298.824,-9669.37,-5543.74,0,
2e-012,297.635,-9653.12,-5543.9,0,
2.005e-012,295.763,-9626.95,-5543.58,0,
2.01e-012,297.558,-9652.38,-5544.22,0,
2.015e-012,292.006,-9574.56,-5543.06,0,
2.02e-012,283.136,-9445.32,-5536.27,0,
2.025e-012,288.294,-9507.64,-5527.39,0,
2.03e-012,296.874,-9623.11,-5524.4,0,
2.035e-012,294.633,-9592.77,-5524.99,0,
2.04e-012,287.994,-9498.52,-5522.4,0,
2.045e-012,295.209,-9597.5,-5521.77,0,
2.05e-012,295.192,-9598.52,-5523.03,0,
2.055e-012,295.376,-9599.32,-5521.29,0,
2.06e-012,301.87,-9690.95,-5523.26,0,
2.065e-012,300.505,-9674.01,-5525.17,0,
2.07e-012,296.011,-9612.31,-5525.51,0,
2.075e-012,290.827,-9536.18,-5520.96,0,
2.08e-012,291.379,-9538.49,-5515.64,0,
2.085e-012,296.991,-9612.5,-5512.17,0,
2.09e-012,296.435,-9603.44,-5510.78,0,
2.095e-012,291.441,-9530.29,-5506.59,0,
2.1e-012,294.058,-9561.62,-5501.79,0,
2.105e-012,295.867,-9582.61,-5497.8,0,
2.11e-012,299.037,-9625.44,-5496.86,0,
2.115e-012,302.821,-9679.68,-5498.86,0,
2.12e-012,308.58,-9768.25,-5507.92,0,
2.125e-012,301.327,-9676.59,-5516.4,0,
2.13e-012,289.735,-9514.12,-5513.97,0,
2.135e-012,286.554,-9461.29,-5505.06,0,
2.14e-012,288.206,-9475.78,-5496.74,0,
2.145e-012,289.955,-9492.96,-5489.77,0,
2.15e-012,286.744,-9442.39,-5483.53,0,
2.155e-012,293.055,-9522.13,-5476.14,0,
2.16e-012,302.812,-9655.36,-5474.66,0,
2.165e-012,299.88,-9616.72,-5476.5,0,
2.17e-012,294.344,-9540.17,-5476.39,0,
2.175e-012,293.27,-9529.08,-5480.12,0,
