step,T,Epot,Efull,SolventMolsThroughZ,
7.95e-013,89.7135,-12308.6,-11070,0,
8e-013,89.8913,-12310.3,-11069.2,0,
8.05e-013,91.8629,-12310.9,-11042.6,0,
8.1e-013,93.1829,-12311.1,-11024.6,0,
8.15e-013,94.0077,-12310,-11012.1,0,
8.2e-013,94.5784,-12309,-11003.2,0,
8.25e-013,95.0695,-12309.6,-10997,0,
8.3e-013,95.5707,-12312.8,-10993.3,0,
8.35e-013,96.0032,-12317.7,-10992.2,0,
8.4e-013,96.2597,-12321.9,-10992.9,0,
8.45e-013,96.4263,-12326,-10994.7,0,
8.5e-013,96.3971,-12327.8,-10996.9,0,
8.55e-013,98.2202,-12328.6,-10972.5,0,
8.6e-013,99.4362,-12328.8,-10955.9,0,
8.65e-013,100.302,-12329.6,-10944.8,0,
8.7e-013,100.899,-12330.5,-10937.4,0,
8.75e-013,101.337,-12331.9,-10932.8,0,
8.8e-013,101.549,-12332,-10929.9,0,
8.85e-013,101.656,-12331.3,-10927.8,0,
8.9e-013,101.653,-12329.5,-10926,0,
8.95e-013,101.712,-12328.6,-10924.4,0,
9e-013,101.71,-12327.1,-10922.9,0,
9.05e-013,103.585,-12325.2,-10895.1,0,
9.1e-013,104.825,-12322.5,-10875.3,0,
9.15e-013,105.646,-12319.5,-10860.9,0,
9.2e-013,106.2,-12316.4,-10850.2,0,
9.25e-013,106.365,-12310,-10841.5,0,
9.3e-013,106.34,-12301.3,-10833.1,0,
9.35e-013,106.389,-12293.6,-10824.8,0,
9.4e-013,106.683,-12290.1,-10817.2,0,
9.45e-013,107.077,-12289.9,-10811.5,0,
9.5e-013,107.389,-12290.4,-10807.7,0,
9.55e-013,109.395,-12289.3,-10779,0,
9.6e-013,110.774,-12288.4,-10759,0,
9.65e-013,111.719,-12287.5,-10745.1,0,
9.7e-013,112.342,-12286.3,-10735.3,0,
9.75e-013,112.683,-12283.9,-10728.2,0,
9.8e-013,112.936,-12281.9,-10722.6,0,
9.85e-013,113.012,-12278.3,-10718,0,
