step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],target_crd[2]
53,-0.03,756.34,187.918,-0.0726465,409.493,-0.0426465
54,-0.04,759.407,190.986,-0.0824054,268.177,-0.0424054
55,-0.05,760.528,192.106,-0.0920882,29.4111,-0.0420882
56,-0.06,743.425,175.003,-0.101199,-1458.83,-0.0411995
57,-0.07,712.958,144.536,-0.100808,-1433.76,-0.0308082
58,-0.08,695.412,126.99,-0.098936,-1589.27,-0.018936
59,-0.09,676.066,107.644,-0.10595,-1607.66,-0.0159505
60,-0.1,658.323,89.901,-0.107842,-1609.39,-0.0078416
61,-0.11,636.57,68.1487,-0.116064,-1639.6,-0.00606389
62,-0.12,619.254,50.8319,-0.121523,-1318.83,-0.00152329
63,-0.13,607.235,38.813,-0.124821,-1048.18,0.00517922
64,-0.14,598.297,29.8749,-0.134342,-834.953,0.0056581
65,-0.15,589.973,21.5508,-0.143873,-677.029,0.0061274
66,-0.16,584.459,16.0372,-0.153805,-517.679,0.00619468
67,-0.17,578.356,9.93468,-0.163525,-410.704,0.00647465
68,-0.18,574.965,6.54353,-0.174001,-315.782,0.00599905
69,-0.19,572.284,3.86257,-0.184229,-239.585,0.0057708
70,-0.2,569.769,1.34684,-0.193952,-172.23,0.00604848
71,-0.21,568.308,-0.113946,-0.203945,-126.875,0.00605526
72,-0.22,567.472,-0.949575,-0.21399,-88.9389,0.00600987
73,-0.23,565.585,-2.83643,-0.224085,-55.4283,0.00591501
74,-0.24,566.131,-2.2904,-0.234872,-38.525,0.00512773
75,-0.25,565.674,-2.74805,-0.245528,-41.3805,0.00447231
76,-0.26,566.817,-1.60472,-0.256006,-89.4399,0.00399443
77,-0.27,566.133,-2.28922,-0.265914,-49.6405,0.00408618
78,-0.28,565.789,-2.63297,-0.275822,-24.3078,0.00417793
79,-0.29,565.685,-2.73664,-0.28573,-8.62013,0.00426967
80,-0.3,565.685,-2.73675,-0.295639,1.0084,0.00436141
81,-0.31,565.744,-2.67782,-0.305547,6.72307,0.00445314
82,-0.32,565.83,-2.59208,-0.315455,9.95613,0.00454489
