frame(num),distance (nm)
512.000000,-1.020270
513.000000,-1.024254
514.000000,-1.019959
515.000000,-1.020259
516.000000,-1.028825
517.000000,-1.027382
518.000000,-1.026728
519.000000,-1.026344
520.000000,-1.031773
521.000000,-1.034275
522.000000,-1.041709
523.000000,-1.040673
524.000000,-1.034877
525.000000,-1.043415
526.000000,-1.052424
527.000000,-1.049323
528.000000,-1.053013
529.000000,-1.065040
530.000000,-1.055402
531.000000,-1.066107
532.000000,-1.071103
533.000000,-1.068522
534.000000,-1.065038
535.000000,-1.068785
536.000000,-1.066751
537.000000,-1.059755
538.000000,-1.078183
539.000000,-1.074127
540.000000,-1.077772
541.000000,-1.079850
542.000000,-1.082521
543.000000,-1.073975
544.000000,-1.081403
545.000000,-1.086429
546.000000,-1.082915
547.000000,-1.091531
548.000000,-1.094789
549.000000,-1.082849
550.000000,-1.084579
551.000000,-1.087279
552.000000,-1.093305
553.000000,-1.091988
554.000000,-1.090453
555.000000,-1.090642
556.000000,-1.087084
557.000000,-1.091907
558.000000,-1.086743
559.000000,-1.098174
560.000000,-1.090902
561.000000,-1.082945
562.000000,-1.087313
563.000000,-1.082362
564.000000,-1.087604
565.000000,-1.088339
566.000000,-1.098095
567.000000,-1.091527
568.000000,-1.093800
569.000000,-1.097989
570.000000,-1.093541
571.000000,-1.092546
572.000000,-1.096212
573.000000,-1.093926
574.000000,-1.092241
575.000000,-1.091419
576.000000,-1.080203
577.000000,-1.085898
578.000000,-1.082747
579.000000,-1.082467
580.000000,-1.091466
581.000000,-1.097226
582.000000,-1.100410
583.000000,-1.099492
584.000000,-1.103837
585.000000,-1.105696
586.000000,-1.096902
587.000000,-1.098335
588.000000,-1.099120
589.000000,-1.105126
590.000000,-1.103841
591.000000,-1.103325
592.000000,-1.100003
593.000000,-1.107718
594.000000,-1.107593
595.000000,-1.102307
596.000000,-1.109185
597.000000,-1.111476
598.000000,-1.111048
599.000000,-1.100755
600.000000,-1.103709
601.000000,-1.105190
602.000000,-1.093762
603.000000,-1.100426
604.000000,-1.094365
605.000000,-1.102366
606.000000,-1.089238
607.000000,-1.102097
608.000000,-1.107791
609.000000,-1.091306
610.000000,-1.103988
611.000000,-1.102595
612.000000,-1.094185
613.000000,-1.094857
614.000000,-1.097934
615.000000,-1.095485
616.000000,-1.095352
617.000000,-1.096274
618.000000,-1.086894
619.000000,-1.102199
620.000000,-1.097079
621.000000,-1.086870
622.000000,-1.091055
623.000000,-1.093307
624.000000,-1.082507
625.000000,-1.080869
626.000000,-1.080902
627.000000,-1.086204
628.000000,-1.089084
629.000000,-1.089677
630.000000,-1.105137
631.000000,-1.096048
632.000000,-1.101032
633.000000,-1.101904
634.000000,-1.105822
635.000000,-1.114288
636.000000,-1.118101
637.000000,-1.115207
638.000000,-1.110184
639.000000,-1.108368
640.000000,-1.104530
641.000000,-1.100310
642.000000,-1.099754
643.000000,-1.104799
644.000000,-1.106629
645.000000,-1.108698
646.000000,-1.110316
647.000000,-1.110276
648.000000,-1.102684
649.000000,-1.102721
650.000000,-1.107429
651.000000,-1.100325
652.000000,-1.118407
653.000000,-1.109898
654.000000,-1.099635
655.000000,-1.101258
656.000000,-1.101879
657.000000,-1.104937
658.000000,-1.107769
659.000000,-1.101420
660.000000,-1.097458
661.000000,-1.107414
662.000000,-1.105041
663.000000,-1.102803
664.000000,-1.096069
665.000000,-1.107444
666.000000,-1.103910
667.000000,-1.100461
668.000000,-1.110959
669.000000,-1.107376
670.000000,-1.110941
671.000000,-1.111401
672.000000,-1.121107
673.000000,-1.121825
674.000000,-1.117022
675.000000,-1.120417
676.000000,-1.111008
677.000000,-1.116455
678.000000,-1.109335
679.000000,-1.127938
680.000000,-1.123795
681.000000,-1.121370
682.000000,-1.127883
683.000000,-1.128915
684.000000,-1.114583
685.000000,-1.130669
686.000000,-1.135725
687.000000,-1.133716
688.000000,-1.126678
689.000000,-1.130615
690.000000,-1.126257
691.000000,-1.127908
692.000000,-1.134366
693.000000,-1.132083
694.000000,-1.136258
695.000000,-1.136420
696.000000,-1.131708
697.000000,-1.133835
698.000000,-1.138810
699.000000,-1.135776
700.000000,-1.147474
701.000000,-1.145459
702.000000,-1.134561
703.000000,-1.146853
704.000000,-1.148379
705.000000,-1.148203
706.000000,-1.155910
707.000000,-1.150530
708.000000,-1.153424
709.000000,-1.161088
710.000000,-1.160070
711.000000,-1.149609
712.000000,-1.157888
713.000000,-1.155507
714.000000,-1.150869
715.000000,-1.146990
716.000000,-1.150108
717.000000,-1.138626
718.000000,-1.146486
719.000000,-1.155560
720.000000,-1.160286
721.000000,-1.168747
722.000000,-1.152211
723.000000,-1.156138
724.000000,-1.163101
725.000000,-1.163682
726.000000,-1.167714
727.000000,-1.156052
728.000000,-1.145607
729.000000,-1.142134
730.000000,-1.151997
731.000000,-1.158515
732.000000,-1.150578
733.000000,-1.163091
734.000000,-1.156768
735.000000,-1.151249
736.000000,-1.151700
737.000000,-1.161218
738.000000,-1.156358
739.000000,-1.150671
740.000000,-1.160500
741.000000,-1.162471
742.000000,-1.160214
743.000000,-1.164526
744.000000,-1.161205
745.000000,-1.167164
746.000000,-1.163596
747.000000,-1.159426
748.000000,-1.169729
749.000000,-1.169363
750.000000,-1.169805
751.000000,-1.165547
752.000000,-1.160326
753.000000,-1.166351
754.000000,-1.172912
755.000000,-1.177009
756.000000,-1.169091
757.000000,-1.163775
758.000000,-1.180734
759.000000,-1.165003
760.000000,-1.163606
761.000000,-1.169245
762.000000,-1.171452
763.000000,-1.164686
764.000000,-1.171915
765.000000,-1.167070
766.000000,-1.168373
767.000000,-1.165542
768.000000,-1.159047
769.000000,-1.158665
770.000000,-1.163382
771.000000,-1.150438
772.000000,-1.155164
773.000000,-1.148001
774.000000,-1.143798
775.000000,-1.141484
776.000000,-1.147390
777.000000,-1.141053
778.000000,-1.142454
779.000000,-1.145522
780.000000,-1.135792
781.000000,-1.144432
782.000000,-1.143375
783.000000,-1.141997
784.000000,-1.138458
785.000000,-1.137068
786.000000,-1.137098
787.000000,-1.144153
788.000000,-1.139963
789.000000,-1.136529
790.000000,-1.146932
791.000000,-1.143275
792.000000,-1.142658
793.000000,-1.142121
794.000000,-1.143111
795.000000,-1.137747
796.000000,-1.149824
797.000000,-1.131573
798.000000,-1.137564
799.000000,-1.137220
800.000000,-1.139234
801.000000,-1.142325
802.000000,-1.134000
803.000000,-1.141204
804.000000,-1.137517
805.000000,-1.131635
806.000000,-1.128458
807.000000,-1.136638
808.000000,-1.142391
809.000000,-1.129633
810.000000,-1.123750
811.000000,-1.133519
812.000000,-1.134066
813.000000,-1.133762
814.000000,-1.130677
815.000000,-1.137407
816.000000,-1.123899
817.000000,-1.137243
