"Angle"	"Energy kJ/mol"	"BondedTermsEnergy"	"NonBondedTermsEnergy"	"BondStretchEnergy"	"AngleStretchEnergy"	"TorsionEnergy"	"OutOfPlaneEnergy"	"DispersionEnergy"	"ElectrostaticEnergy"	"NonBondedEnergyC"	"NonBondedEnergyD"	Angle(1 0 2)	Angle-opt(1 0 2)	Angle(1 0 3)	Angle-opt(1 0 3)	Angle(1 0 4)	Angle-opt(1 0 4)	Angle(2 0 3)	Angle-opt(2 0 3)	Angle(2 0 4)	Angle-opt(2 0 4)	Angle(3 0 4)	Angle-opt(3 0 4)
-24.200000	46.072735	46.072735	0.000000	0.000000	46.072735	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471224	0.788636	109.471225	0.788637	85.271220	-23.411368	109.471219	0.788631	119.820181	11.137593	119.820183	11.137595
-24.000000	45.360581	45.360581	0.000000	0.000000	45.360581	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471224	0.788636	109.471225	0.788637	85.471217	-23.211371	109.471219	0.788631	119.752385	11.069797	119.752385	11.069797
-23.800000	44.653195	44.653195	0.000000	0.000000	44.653195	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471224	0.788636	109.471225	0.788637	85.671218	-23.011370	109.471219	0.788631	119.684232	11.001644	119.684235	11.001647
-23.600000	43.950621	43.950621	0.000000	0.000000	43.950621	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471224	0.788636	109.471225	0.788637	85.871217	-22.811371	109.471219	0.788631	119.615734	10.933146	119.615729	10.933141
-23.400000	43.252861	43.252861	0.000000	0.000000	43.252861	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471224	0.788636	109.471225	0.788637	86.071219	-22.611369	109.471219	0.788631	119.546878	10.864290	119.546879	10.864291
-23.200000	42.559956	42.559956	0.000000	0.000000	42.559956	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471224	0.788636	109.471225	0.788637	86.271217	-22.411370	109.471219	0.788631	119.477678	10.795090	119.477678	10.795090
-23.000000	41.871912	41.871912	0.000000	0.000000	41.871912	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471224	0.788636	109.471225	0.788637	86.471217	-22.211371	109.471219	0.788631	119.408129	10.725541	119.408131	10.725543
-22.800000	41.188743	41.188743	0.000000	0.000000	41.188743	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471224	0.788636	109.471225	0.788637	86.671220	-22.011368	109.471219	0.788631	119.338233	10.655645	119.338237	10.655649
-22.600000	40.510491	40.510491	0.000000	0.000000	40.510491	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471224	0.788636	109.471225	0.788637	86.871219	-21.811369	109.471219	0.788631	119.267996	10.585408	119.267998	10.585410
-22.400000	39.837158	39.837158	0.000000	0.000000	39.837158	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471224	0.788636	109.471225	0.788637	87.071220	-21.611368	109.471219	0.788631	119.197413	10.514825	119.197419	10.514831
-22.200000	39.168784	39.168784	0.000000	0.000000	39.168784	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471224	0.788636	109.471225	0.788637	87.271217	-21.411371	109.471219	0.788631	119.126495	10.443907	119.126494	10.443906
-22.000000	38.505367	38.505367	0.000000	0.000000	38.505367	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471224	0.788636	109.471225	0.788637	87.471217	-21.211371	109.471219	0.788631	119.055233	10.372645	119.055233	10.372645
-21.800000	37.846930	37.846930	0.000000	0.000000	37.846930	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471224	0.788636	109.471225	0.788637	87.671219	-21.011369	109.471219	0.788631	118.983634	10.301046	118.983629	10.301041
-21.600000	37.193508	37.193508	0.000000	0.000000	37.193508	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471224	0.788636	109.471225	0.788637	87.871217	-20.811371	109.471219	0.788631	118.911695	10.229107	118.911695	10.229107
