step,T,Epot,Efull,SolventMolsThroughZ,SolventMolsThroughKlap,Z_Klap,
8.45e-013,98.4002,-8344.72,-8150.82,1,2,-0.0152257,
8.5e-013,96.3236,-8342.04,-8152.23,1,2,-0.0143495,
8.55e-013,98.593,-8343.19,-8148.91,1,2,-0.0136513,
8.6e-013,98.5267,-8341.28,-8147.13,1,2,-0.0129686,
8.65e-013,100.501,-8343.13,-8145.09,1,2,-0.0121056,
8.7e-013,100.168,-8341.23,-8143.85,1,2,-0.0113911,
8.75e-013,101.885,-8343.91,-8143.14,1,2,-0.0110644,
8.8e-013,101.225,-8342.22,-8142.75,1,2,-0.0107136,
8.85e-013,102.59,-8345.02,-8142.86,1,2,-0.0101023,
8.9e-013,100.792,-8341.63,-8143.01,1,2,-0.00965248,
8.95e-013,100.297,-8339.79,-8142.15,1,2,-0.00946953,
9e-013,97.7803,-8332.64,-8139.96,1,2,-0.00905223,
9.05e-013,97.6597,-8324.85,-8132.41,1,2,-0.00838649,
9.1e-013,94.9513,-8310.85,-8123.75,1,2,-0.00804668,
9.15e-013,93.8816,-8298.64,-8113.64,1,2,-0.00801103,
9.2e-013,93.7979,-8287.63,-8102.8,1,2,-0.00774099,
9.25e-013,96.811,-8284.34,-8093.57,1,2,-0.00737727,
9.3e-013,100.105,-8283.38,-8086.12,1,2,-0.00741378,
9.35e-013,103.231,-8284.91,-8081.49,1,2,-0.0074969,
9.4e-013,104.16,-8284.49,-8079.24,1,2,-0.00703335,
9.45e-013,102.673,-8278.34,-8076.02,1,2,-0.00641521,
9.5e-013,101.317,-8270.64,-8070.99,1,2,-0.00626434,
9.55e-013,101.65,-8262.61,-8062.3,1,2,-0.00620683,
9.6e-013,102.708,-8255.4,-8053.01,1,2,-0.00560606,
9.65e-013,102.531,-8246.69,-8044.65,1,2,-0.00470474,
9.7e-013,104.798,-8243.35,-8036.84,1,2,-0.00402332,
9.75e-013,106.235,-8240.13,-8030.79,1,2,-0.00346403,
9.8e-013,110.404,-8243.42,-8025.86,1,2,-0.00285283,
9.85e-013,114.703,-8250.41,-8024.38,1,2,-0.00251108,
9.9e-013,120.996,-8264.86,-8026.43,1,2,-0.00261375,
9.95e-013,125.504,-8280.88,-8033.57,1,2,-0.00278736,
1e-012,129.734,-8298.8,-8043.16,1,2,-0.00282387,
1.005e-012,132.298,-8312.32,-8051.63,1,2,-0.00304318,
1.01e-012,132.081,-8323.64,-8063.37,1,2,-0.00363122,
1.015e-012,128.602,-8325.66,-8072.25,1,2,-0.00426343,
1.02e-012,125.613,-8325.16,-8077.64,1,2,-0.00465904,
1.025e-012,120.094,-8317.01,-8080.36,1,2,-0.0050373,
1.03e-012,116.789,-8309.09,-8078.96,1,2,-0.0057421,
1.035e-012,113.475,-8299.68,-8076.08,1,2,-0.0066773,
1.04e-012,111.349,-8289.91,-8070.49,1,2,-0.0074483,
1.045e-012,108.796,-8278.01,-8063.62,1,2,-0.00799623,
1.05e-012,108.697,-8269.4,-8055.21,1,2,-0.00866016,
1.055e-012,110.287,-8260.64,-8043.31,1,2,-0.00951134,
1.06e-012,113.179,-8255.95,-8032.92,1,2,-0.0101435,
1.065e-012,114.046,-8249.01,-8024.28,1,2,-0.0103664,
1.07e-012,114.889,-8242.75,-8016.36,1,2,-0.0105023,
1.075e-012,114.509,-8233.45,-8007.81,1,2,-0.0107098,
1.08e-012,119.925,-8237.27,-8000.95,1,2,-0.010728,
1.085e-012,126.868,-8248.47,-7998.47,1,2,-0.010552,
1.09e-012,134.067,-8265.98,-8001.8,1,2,-0.0105961,
1.095e-012,136.086,-8277.04,-8008.87,1,2,-0.010941,
