t,temperature,ConvEKinTemp(ekin),sum_vel[0],sum_vel[1],sum_vel[2],sum_fup[0],sum_fup[1],sum_fup[2],sum_fdw[0],sum_fdw[1],sum_fdw[2]
1270.500000,298.000000,291.748953,21.673667,48.651209,30.346663,1656.271533,1127.118512,-795.906661,-3622.069356,-6700.357360,869.960626
1271.000000,298.000000,292.635847,9.934645,63.277486,10.123867,1764.106551,1092.434230,-721.144091,-3511.361077,-6611.304352,859.724152
1271.500000,298.000000,293.262183,0.009992,77.052475,-14.020982,1864.682939,1056.660737,-657.337711,-3383.268626,-6488.967498,847.363355
1272.000000,298.000000,293.690991,-7.588802,89.449824,-40.022345,1953.328439,1019.351168,-605.832344,-3241.074271,-6334.338368,833.213260
1272.500000,298.000000,294.129684,-12.578790,100.084223,-65.600906,2027.744169,980.045943,-567.577377,-3081.662395,-6149.074962,817.471729
1273.000000,298.000000,294.819069,-14.906436,108.727416,-88.517872,2087.681857,938.275386,-543.122287,-2908.680629,-5935.480200,800.207771
1273.500000,298.000000,295.902651,-14.765190,115.313427,-106.792521,2128.130156,893.556566,-532.623894,-2720.343321,-5696.465297,781.383530
1274.000000,298.000000,297.333780,-12.557612,119.930018,-118.909179,2151.232577,845.410391,-535.859740,-2524.441004,-5435.499288,760.885561
1274.500000,298.000000,298.865850,-8.836184,122.796650,-123.998914,2154.677573,793.385589,-552.248037,-2320.384007,-5156.540094,738.557493
1275.000000,298.000000,300.135381,-4.232875,124.230688,-121.924784,2138.171140,737.091445,-580.877862,-2110.576771,-4863.945805,714.230556
1275.500000,298.000000,300.805500,0.633797,124.604726,-113.290143,2102.762148,676.237143,-620.549087,-1898.912504,-4562.371966,687.747784
1276.000000,298.000000,300.710263,5.220778,124.298696,-99.355853,2050.883430,610.663280,-669.826872,-1688.008884,-4256.649251,658.983371
1276.500000,298.000000,299.936776,9.135615,123.651677,-81.908312,1984.987932,540.369058,-727.095316,-1482.311956,-3951.665695,627.860198
1277.000000,298.000000,298.807448,12.192305,122.917168,-63.062664,1902.347247,465.523325,-790.601720,-1284.222917,-3652.239818,594.368087
1277.500000,298.000000,297.765213,14.412711,122.229023,-45.026370,1805.868754,386.472146,-858.485836,-1096.813518,-3363.002889,558.582806
1278.000000,298.000000,297.207334,16.021585,121.580961,-29.844782,1700.772685,303.743833,-928.789723,-923.302261,-3088.285920,520.685222
1278.500000,298.000000,297.334605,17.408929,120.819684,-19.150172,1588.202689,218.037067,-999.465410,-767.813076,-2832.015095,480.975277
1279.000000,298.000000,298.077266,19.073433,119.658401,-13.977580,1469.268069,130.209735,-1068.387919,-631.231826,-2597.617192,439.875878
