step,T,Epot,Efull,SolventMolsThroughZ,
1e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.005e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.01e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.015e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.02e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.025e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.03e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.035e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.04e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.045e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.05e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.055e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.06e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.065e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.07e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.075e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.08e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.085e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.09e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.095e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.1e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.105e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.11e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.115e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.12e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.125e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.13e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.135e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.14e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.145e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.15e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.155e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.16e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.165e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.17e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.175e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.18e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.185e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.19e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.195e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.2e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.205e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.21e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.215e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.22e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.225e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.23e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.235e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.24e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.245e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.25e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.255e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.26e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.265e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.27e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.275e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.28e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.285e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.29e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.295e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.3e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.305e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.31e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.315e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.32e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.325e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.33e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.335e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.34e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.345e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.35e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.355e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.36e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.365e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.37e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.375e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.38e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.385e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.39e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.395e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.4e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.405e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.41e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.415e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.42e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.425e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.43e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.435e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.44e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.445e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.45e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.455e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.46e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.465e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.47e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.475e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.48e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.485e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.49e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.495e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.5e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.505e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.51e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.515e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.52e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.525e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.53e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.535e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.54e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.545e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.55e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.555e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.56e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.565e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.57e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.575e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.58e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.585e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.59e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.595e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.6e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.605e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.61e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.615e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.62e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.625e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.63e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.635e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.64e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.645e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.65e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.655e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.66e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.665e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.67e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.675e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.68e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.685e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.69e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.695e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.7e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.705e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.71e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.715e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.72e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.725e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.73e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.735e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.74e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.745e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.75e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.755e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.76e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.765e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.77e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.775e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.78e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.785e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.79e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.795e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.8e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.805e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.81e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.815e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.82e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.825e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.83e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.835e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.84e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.845e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.85e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.855e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.86e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.865e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.87e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.875e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.88e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.885e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.89e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.895e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.9e-012,1.#QNAN,1.#QNAN,1.#QNAN,
