t,temperature,ConvEKinTemp(ekin),sum_vel[0],sum_vel[1],sum_vel[2],sum_fup[0],sum_fup[1],sum_fup[2],sum_fdw[0],sum_fdw[1],sum_fdw[2]
30.500000,298.000000,250.288161,93.171705,55.216322,288.908647,3348.809462,4292.783401,-1190.706770,-2418.223542,-1379.115882,-2165.306963
31.000000,298.000000,253.658515,91.470793,54.011504,325.500583,3257.130344,4175.810359,-1156.392594,-2327.927609,-1357.551257,-2121.038746
31.500000,298.000000,261.852889,88.639707,53.481844,359.482075,3154.691950,4046.264233,-1115.098364,-2244.932809,-1340.860280,-2072.600610
32.000000,298.000000,272.350110,85.400166,54.210630,388.398739,3041.118158,3905.775575,-1068.316150,-2170.709741,-1329.997554,-2021.737679
32.500000,298.000000,281.530717,82.386591,56.554307,410.043728,2919.457457,3756.246748,-1018.214925,-2105.752526,-1325.487647,-1971.726091
33.000000,298.000000,286.278794,80.059298,60.613828,423.053156,2790.899818,3599.850402,-967.584889,-2054.403912,-1327.406038,-1924.567743
33.500000,298.000000,285.341727,78.642220,66.239446,426.909148,2655.914880,3438.985185,-917.208970,-2012.227016,-1335.365720,-1882.534662
34.000000,298.000000,279.857401,78.132868,73.062186,421.907445,2519.891791,3276.228062,-869.786248,-1979.121305,-1348.508386,-1847.957802
34.500000,298.000000,272.849124,78.285178,80.550731,409.314794,2381.724110,3114.280326,-824.718272,-1958.043358,-1365.510785,-1822.668771
35.000000,298.000000,267.929709,78.659778,88.078134,390.912160,2243.906962,2955.914367,-783.016082,-1942.545747,-1384.617007,-1808.581702
35.500000,298.000000,267.784979,78.664542,94.990431,369.248365,2108.527390,2803.914492,-744.286655,-1935.501780,-1403.699035,-1806.660292
36.000000,298.000000,273.094455,77.651167,100.676061,347.092757,1976.238974,2661.023564,-707.320836,-1931.126345,-1420.355339,-1817.500163
36.500000,298.000000,282.330134,74.980136,104.628400,327.181060,1849.459751,2529.874199,-671.440718,-1926.684093,-1432.035439,-1841.230434
37.000000,298.000000,292.478770,70.114654,106.492617,312.274652,1730.089736,2412.919262,-634.905586,-1920.898213,-1436.190193,-1877.603421
37.500000,298.000000,300.346497,62.695879,106.106644,304.399149,1619.643223,2312.346823,-596.344145,-1910.595643,-1430.432064,-1925.276322
38.000000,298.000000,303.872778,52.610149,103.516759,305.127105,1516.733294,2229.994979,-553.205398,-1893.505955,-1412.692004,-1983.778853
38.500000,298.000000,302.881433,39.996959,98.978355,315.102096,1427.247366,2167.289425,-507.294997,-1868.117003,-1381.365398,-2051.162581
39.000000,298.000000,298.994994,25.277322,92.932634,333.985870,1346.982951,2125.173215,-457.058333,-1829.724426,-1335.438183,-2125.282287
39.500000,298.000000,294.796224,9.123894,85.965855,360.648430,1280.588956,2104.081740,-403.115139,-1780.552514,-1274.584202,-2203.888845
40.000000,298.000000,292.630952,-7.606995,78.750982,393.027526,1229.139343,2103.915016,-346.305613,-1719.660821,-1199.255238,-2283.929294
40.500000,298.000000,293.604069,-23.922046,71.982483,428.498687,1188.555975,2124.033533,-288.465431,-1647.731894,-1110.732507,-2363.365387
41.000000,298.000000,297.199013,-38.798138,66.305397,464.065163,1161.616911,2163.273066,-231.120158,-1564.849737,-1011.158144,-2439.285160
41.500000,298.000000,301.637423,-51.273121,62.244205,496.794111,1147.208763,2219.984118,-176.536936,-1472.223842,-903.533572,-2508.807351
42.000000,298.000000,304.806321,-60.545291,60.138666,523.993178,1147.255498,2292.112760,-126.930994,-1373.464964,-791.650116,-2570.150372
42.500000,298.000000,305.294514,-66.054066,60.101705,543.396272,1161.035406,2377.304443,-83.923012,-1267.629035,-679.964375,-2620.973088
43.000000,298.000000,303.069128,-67.523505,62.011964,553.848270,1185.960534,2473.033646,-49.182156,-1161.752373,-573.402922,-2659.901850
43.500000,298.000000,299.518417,-64.986616,65.532691,554.984902,1219.599112,2576.737213,-23.069705,-1053.969173,-477.123119,-2685.672062
