step,T,Epot,Efull,SolventMolsThroughZ,SolventMolsThroughKlap,Z_Klap,G,v_theor,v_pract
6.45e-013,64.1392,-8926.89,-8803.71,0,0,-0.127949,260.679,-0.555248,0.0861122
6.5e-013,65.353,-8924.28,-8798.76,0,0,-0.125304,262.509,-0.55394,0.0874206
6.55e-013,68.1501,-8921.49,-8790.59,0,0,-0.122473,264.335,-0.552623,0.0887382
6.6e-013,70.6145,-8921.18,-8785.55,0,0,-0.119828,266.157,-0.551297,0.0900649
6.65e-013,71.7281,-8919.98,-8782.21,0,0,-0.11744,267.974,-0.549962,0.0914006
6.7e-013,73.3295,-8920.52,-8779.68,0,0,-0.115124,269.786,-0.548617,0.0927455
6.75e-013,75.2155,-8921.91,-8777.45,0,0,-0.112832,271.595,-0.547264,0.0940994
6.8e-013,75.4301,-8920.58,-8775.7,0,0,-0.110678,273.398,-0.545901,0.0954623
6.85e-013,75.5873,-8918.86,-8773.68,0,0,-0.108668,275.198,-0.54453,0.0968343
6.9e-013,75.4305,-8917.08,-8772.2,0,0,-0.106656,276.992,-0.543149,0.0982152
6.95e-013,73.959,-8912.18,-8770.13,0,0,-0.104514,278.782,-0.54176,0.0996051
7e-013,73.004,-8907.37,-8767.15,0,0,-0.10226,280.568,-0.540362,0.101004
7.05e-013,73.5374,-8900.9,-8759.66,0,0,-0.0999918,282.349,-0.538954,0.102412
7.1e-013,74.4722,-8895.7,-8752.66,0,0,-0.0977419,284.125,-0.537538,0.103828
7.15e-013,74.3119,-8888.19,-8745.46,0,0,-0.0954524,285.897,-0.536113,0.105254
7.2e-013,73.603,-8879.82,-8738.45,0,0,-0.0930391,287.664,-0.534679,0.106688
7.25e-013,73.243,-8871.44,-8730.76,0,0,-0.0904235,289.426,-0.533236,0.108131
7.3e-013,72.8206,-8862.77,-8722.9,0,0,-0.0875269,291.183,-0.531785,0.109583
7.35e-013,73.4457,-8855.99,-8714.93,0,0,-0.0844052,292.935,-0.530325,0.111044
7.4e-013,74.0867,-8849.59,-8707.3,0,0,-0.0813034,294.683,-0.528856,0.112513
7.45e-013,74.8295,-8844.02,-8700.3,0,0,-0.0783147,296.426,-0.527378,0.113992
7.5e-013,75.8768,-8840.07,-8694.34,0,0,-0.0751757,298.164,-0.525891,0.115479
7.55e-013,79.7425,-8838.42,-8685.27,0,0,-0.0717038,299.897,-0.524396,0.116974
7.6e-013,81.958,-8836.35,-8678.94,0,0,-0.0681992,301.625,-0.522892,0.118478
7.65e-013,83.368,-8833.82,-8673.7,0,0,-0.0649781,303.348,-0.52138,0.119991
7.7e-013,83.0245,-8827.86,-8668.4,0,0,-0.0618464,305.066,-0.519859,0.121513
7.75e-013,83.318,-8823.35,-8663.33,0,0,-0.058524,306.779,-0.518329,0.123043
7.8e-013,83.1817,-8818.95,-8659.19,0,0,-0.0551737,308.487,-0.516791,0.124581
7.85e-013,83.972,-8814.8,-8653.52,0,0,-0.0520654,310.19,-0.515244,0.126129
7.9e-013,83.7122,-8809.98,-8649.2,0,0,-0.0491039,311.888,-0.513689,0.127684
7.95e-013,82.724,-8802.99,-8644.1,0,0,-0.0460281,313.58,-0.512126,0.129248
8e-013,83.2289,-8798.51,-8638.66,0,0,-0.0427627,315.268,-0.510553,0.130821
8.05e-013,86.506,-8796.86,-8630.71,0,0,-0.0393799,316.95,-0.508973,0.132402
8.1e-013,87.7816,-8792.51,-8623.91,0,0,-0.0360544,318.627,-0.507384,0.133991
8.15e-013,90.5712,-8792.7,-8618.74,0,0,-0.0330252,320.299,-0.505787,0.135589
8.2e-013,91.4748,-8790.76,-8615.07,0,0,-0.0302818,321.965,-0.504181,0.137195
8.25e-013,93.4948,-8791.54,-8611.97,0,0,-0.0274651,323.626,-0.502567,0.138809
8.3e-013,97.0444,-8798.18,-8611.79,0,0,-0.0243979,325.282,-0.500945,0.140432
8.35e-013,98.3815,-8803.14,-8614.18,0,0,-0.0214092,326.933,-0.499314,0.142063
8.4e-013,99.3528,-8808.14,-8617.32,0,0,-0.0188292,328.578,-0.497675,0.143702
8.45e-013,99.7707,-8812.87,-8621.24,0,0,-0.016532,330.217,-0.496028,0.14535
8.5e-013,98.7113,-8814.54,-8624.95,0,0,-0.0141905,331.851,-0.494373,0.147005
8.55e-013,100.82,-8818.98,-8625.34,0,0,-0.0116493,333.48,-0.49271,0.148669
8.6e-013,101.122,-8821.77,-8627.55,0,0,-0.00896715,335.103,-0.491038,0.150341
8.65e-013,101.814,-8826.25,-8630.7,0,0,-0.00633588,336.721,-0.489359,0.152021
8.7e-013,102.546,-8830.09,-8633.13,0,0,-0.00393296,338.333,-0.487671,0.153709
8.75e-013,102.53,-8832.84,-8635.92,0,0,-0.0016847,339.94,-0.485976,0.155405
8.8e-013,102.831,-8836.72,-8639.22,0,0,0.00064362,341.541,-0.484272,0.157109
8.85e-013,101.641,-8839.32,-8644.1,0,0,0.00299322,343.136,-0.48256,0.158821
8.9e-013,101.027,-8843.21,-8649.17,0,0,0.0050428,344.725,-0.480841,0.160541
8.95e-013,100.5,-8846.28,-8653.25,0,0,0.00679398,346.309,-0.479113,0.162269
9e-013,100.349,-8847.72,-8654.98,0,0,0.00862844,347.888,-0.477377,0.164005
9.05e-013,103.548,-8851.49,-8652.61,0,0,0.0106642,349.46,-0.475634,0.165749
9.1e-013,106.424,-8856.35,-8651.94,0,0,0.0125876,351.027,-0.473883,0.1675
9.15e-013,108.793,-8861.9,-8652.94,0,0,0.0142525,352.588,-0.472124,0.16926
9.2e-013,110.746,-8867.63,-8654.93,0,0,0.0158939,354.143,-0.470357,0.171027
9.25e-013,110.942,-8870.62,-8657.54,0,0,0.0176341,355.692,-0.468582,0.172802
9.3e-013,110.709,-8873.1,-8660.47,0,0,0.0193265,357.236,-0.4668,0.174585
9.35e-013,110.589,-8876.73,-8664.33,0,0,0.0209365,358.773,-0.46501,0.176375
9.4e-013,110.493,-8880.27,-8668.05,0,0,0.0226307,360.305,-0.463212,0.178173
9.45e-013,111.115,-8883.84,-8670.43,0,0,0.0244786,361.83,-0.461407,0.179979
9.5e-013,111.189,-8886.3,-8672.74,0,0,0.0264305,363.35,-0.459594,0.181792
9.55e-013,112.868,-8887.9,-8671.13,0,0,0.028557,364.864,-0.457774,0.183613
9.6e-013,113.741,-8889.41,-8670.95,0,0,0.0309411,366.371,-0.455945,0.185442
9.65e-013,113.264,-8888.36,-8670.82,0,0,0.0333752,367.873,-0.45411,0.187278
9.7e-013,112.057,-8885.48,-8670.26,0,0,0.0355128,369.368,-0.452267,0.189121
9.75e-013,110.872,-8881.41,-8668.47,0,0,0.0373321,370.858,-0.450416,0.190972
9.8e-013,110.057,-8877.17,-8665.79,0,0,0.0391576,372.341,-0.448558,0.19283
9.85e-013,109.034,-8871.44,-8662.02,0,0,0.0411308,373.818,-0.446693,0.194696
9.9e-013,108.443,-8866.48,-8658.19,0,0,0.0429671,375.289,-0.44482,0.196569
9.95e-013,107.534,-8860.35,-8653.82,0,0,0.0444204,376.754,-0.44294,0.19845
1e-012,106.506,-8852.95,-8648.39,0,0,0.0456857,378.213,-0.441052,0.200338
1.005e-012,108.187,-8848.37,-8640.58,0,0,0.0470572,379.665,-0.439158,0.202233
1.01e-012,108.23,-8841.31,-8633.44,0,0,0.0484436,381.111,-0.437256,0.204135
1.015e-012,107.888,-8833.81,-8626.6,0,0,0.0495874,382.551,-0.435347,0.206044
1.02e-012,107.684,-8825.64,-8618.82,0,0,0.0505263,383.985,-0.43343,0.207961
1.025e-012,108.283,-8818.73,-8610.76,0,0,0.0514608,385.412,-0.431507,0.209885
1.03e-012,108.882,-8813.2,-8604.08,0,0,0.052413,386.833,-0.429576,0.211816
1.035e-012,110.587,-8809.59,-8597.19,0,0,0.0533536,388.247,-0.427639,0.213754
1.04e-012,111.468,-8805.67,-8591.58,0,0,0.0543965,389.655,-0.425694,0.215699
1.045e-012,112.453,-8802.64,-8586.66,0,0,0.0555709,391.057,-0.423742,0.217651
1.05e-012,114.071,-8801.9,-8582.81,0,0,0.0566945,392.452,-0.421783,0.21961
1.055e-012,117.363,-8801.3,-8575.89,0,0,0.0577029,393.84,-0.419817,0.221576
1.06e-012,120.449,-8802.53,-8571.19,0,0,0.058767,395.223,-0.417845,0.223549
1.065e-012,121.293,-8801.08,-8568.11,0,0,0.0599226,396.598,-0.415865,0.225529
1.07e-012,121.217,-8798.33,-8565.52,0,0,0.0609244,397.967,-0.413879,0.227516
1.075e-012,121.152,-8795.38,-8562.69,0,0,0.0615751,399.33,-0.411886,0.22951
1.08e-012,120.992,-8791.7,-8559.31,0,0,0.0619361,400.686,-0.409886,0.23151
1.085e-012,120.7,-8787.67,-8555.85,0,0,0.0621572,402.035,-0.407879,0.233517
1.09e-012,120.362,-8782.8,-8551.63,0,0,0.0622604,403.378,-0.405865,0.235531
1.095e-012,118.961,-8775.85,-8547.37,0,0,0.0620913,404.714,-0.403845,0.237552
1.1e-012,117.107,-8767,-8542.08,0,0,0.0614615,406.043,-0.401818,0.239579
1.105e-012,118.046,-8758.77,-8532.04,0,0,0.0604156,407.366,-0.399785,0.241613
1.11e-012,120.457,-8755.04,-8523.69,0,0,0.0592643,408.682,-0.397744,0.243653
1.115e-012,123.527,-8754.34,-8517.09,0,0,0.0581918,409.991,-0.395698,0.2457
1.12e-012,128.107,-8759.23,-8513.18,0,0,0.0570318,411.293,-0.393645,0.247754
1.125e-012,131.955,-8765.48,-8512.05,0,0,0.0556247,412.589,-0.391585,0.249814
1.13e-012,134.016,-8770,-8512.6,0,0,0.0540647,413.878,-0.389519,0.25188
1.135e-012,134.796,-8773.35,-8514.45,0,0,0.052434,415.16,-0.387446,0.253953
1.14e-012,134.443,-8774.56,-8516.34,0,0,0.0506925,416.435,-0.385367,0.256032
1.145e-012,134.523,-8776.58,-8518.21,0,0,0.0489201,417.703,-0.383282,0.258118
1.15e-012,135.066,-8779.32,-8519.9,0,0,0.0472383,418.965,-0.38119,0.26021
1.155e-012,138.642,-8785.64,-8519.36,0,0,0.0455146,420.219,-0.379092,0.262308
1.16e-012,141.364,-8792.2,-8520.69,0,0,0.0436086,421.467,-0.376988,0.264413
1.165e-012,143.278,-8798.75,-8523.56,0,0,0.0417397,422.707,-0.374877,0.266524
1.17e-012,143.075,-8802.22,-8527.43,0,0,0.0401334,423.941,-0.372761,0.268641
1.175e-012,141.697,-8802.85,-8530.7,0,0,0.03857,425.168,-0.370638,0.270764
1.18e-012,139.858,-8801.64,-8533.02,0,0,0.0367469,426.387,-0.368509,0.272893
1.185e-012,138.059,-8798.85,-8533.69,0,0,0.0347691,427.6,-0.366374,0.275028
1.19e-012,136.502,-8795.36,-8533.18,0,0,0.032841,428.805,-0.364233,0.277169
1.195e-012,135.082,-8790.93,-8531.49,0,0,0.0308083,430.004,-0.362086,0.279317
1.2e-012,132.841,-8784.02,-8528.88,0,0,0.0284023,431.195,-0.359933,0.28147
1.205e-012,133.229,-8777.01,-8521.12,0,0,0.0256373,432.379,-0.357774,0.283629
1.21e-012,133.368,-8769.55,-8513.39,0,0,0.0227217,433.556,-0.355609,0.285794
