step,T,Epot,Efull,SolventMolsThroughZ,SolventMolsThroughKlap,Z_Klap,G,v
5.45e-013,36.4014,-8254.22,-8184.3,0,0,-0.172839,122.847,-0.48977
5.5e-013,37.0692,-8254.41,-8183.21,0,0,-0.172748,123.924,-0.489153
5.55e-013,38.2012,-8252.42,-8179.05,0,0,-0.172518,124.999,-0.488531
5.6e-013,38.7094,-8250.2,-8175.85,0,0,-0.172213,126.073,-0.487903
5.65e-013,39.4975,-8249.85,-8173.99,0,0,-0.171994,127.146,-0.48727
5.7e-013,39.3223,-8247.49,-8171.97,0,0,-0.171768,128.217,-0.486632
5.75e-013,40.2295,-8247.22,-8169.96,0,0,-0.171363,129.287,-0.485988
5.8e-013,40.6715,-8245.9,-8167.79,0,0,-0.170877,130.356,-0.485339
5.85e-013,42.3343,-8247.47,-8166.16,0,0,-0.170437,131.423,-0.484685
5.9e-013,43.3134,-8248.22,-8165.03,0,0,-0.169932,132.488,-0.484025
5.95e-013,45.036,-8251.84,-8165.34,0,0,-0.169295,133.553,-0.48336
6e-013,46.5214,-8255.63,-8166.27,0,0,-0.168678,134.615,-0.482689
6.05e-013,49.2648,-8260.07,-8165.45,0,0,-0.168128,135.676,-0.482014
6.1e-013,51.8787,-8267.16,-8167.52,0,0,-0.167539,136.736,-0.481333
6.15e-013,53.4961,-8273.62,-8170.88,0,0,-0.167015,137.794,-0.480646
6.2e-013,54.4647,-8279.5,-8174.89,0,0,-0.166756,138.851,-0.479955
6.25e-013,54.6331,-8283.83,-8178.9,0,0,-0.166652,139.906,-0.479258
6.3e-013,54.1215,-8287.1,-8183.15,0,0,-0.166494,140.96,-0.478556
6.35e-013,52.8652,-8288.23,-8186.69,0,0,-0.16641,142.012,-0.477848
6.4e-013,50.966,-8287.69,-8189.81,0,0,-0.166602,143.062,-0.477135
6.45e-013,49.2415,-8285.75,-8191.17,0,0,-0.166878,144.111,-0.476417
6.5e-013,47.3801,-8282.78,-8191.78,0,0,-0.166941,145.159,-0.475694
6.55e-013,47.9368,-8280.4,-8188.33,0,0,-0.166877,146.204,-0.474966
6.6e-013,48.1861,-8277.86,-8185.31,0,0,-0.166894,147.248,-0.474232
6.65e-013,48.7306,-8275.79,-8182.19,0,0,-0.166868,148.291,-0.473493
6.7e-013,49.8416,-8275.95,-8180.22,0,0,-0.166576,149.332,-0.472749
