step,T,Epot,Efull,SolventMolsThroughZ,SolventMolsThroughKlap,Z_Klap,G,v
5e-013,17.8478,-8304.92,-8270.64,0,0,-0.181135,40.3558,-0.360117
5.05e-013,18.3154,-8306.83,-8271.65,0,0,-0.180846,40.7518,-0.359914
5.1e-013,18.1622,-8305.64,-8270.75,0,0,-0.180677,41.1476,-0.359709
5.15e-013,18.1369,-8305.71,-8270.88,0,0,-0.180561,41.5432,-0.359502
5.2e-013,18.1842,-8305.29,-8270.36,0,0,-0.180429,41.9386,-0.359294
5.25e-013,18.0311,-8304.67,-8270.04,0,0,-0.180362,42.3337,-0.359083
5.3e-013,18.2033,-8304.74,-8269.78,0,0,-0.180408,42.7285,-0.35887
5.35e-013,18.3759,-8304.26,-8268.96,0,0,-0.180431,43.1232,-0.358656
5.4e-013,18.5278,-8304.47,-8268.88,0,0,-0.180329,43.5176,-0.358439
5.45e-013,18.5114,-8304.66,-8269.1,0,0,-0.180178,43.9118,-0.358221
5.5e-013,18.5563,-8304.62,-8268.98,0,0,-0.180032,44.3057,-0.358
5.55e-013,18.9455,-8303.66,-8267.27,0,0,-0.179808,44.6994,-0.357777
5.6e-013,18.8363,-8302.07,-8265.89,0,0,-0.179492,45.0928,-0.357553
5.65e-013,18.8446,-8300.73,-8264.53,0,0,-0.179186,45.486,-0.357327
5.7e-013,18.4007,-8298.33,-8262.99,0,0,-0.178907,45.8789,-0.357098
5.75e-013,18.5593,-8296.98,-8261.34,0,0,-0.178561,46.2716,-0.356868
5.8e-013,18.5583,-8295.26,-8259.62,0,0,-0.178142,46.664,-0.356635
5.85e-013,19.0604,-8294.57,-8257.96,0,0,-0.177728,47.0562,-0.356401
5.9e-013,19.3423,-8294.29,-8257.14,0,0,-0.17733,47.4481,-0.356165
5.95e-013,20.0248,-8295.28,-8256.82,0,0,-0.176926,47.8398,-0.355927
6e-013,20.7566,-8296.12,-8256.26,0,0,-0.176565,48.2312,-0.355686
6.05e-013,22.2427,-8297.85,-8255.12,0,0,-0.176265,48.6223,-0.355444
6.1e-013,23.7091,-8300.73,-8255.19,0,0,-0.175964,49.0132,-0.3552
6.15e-013,24.8852,-8303.39,-8255.6,0,0,-0.175665,49.4038,-0.354954
6.2e-013,25.9191,-8306.91,-8257.13,0,0,-0.175449,49.7941,-0.354706
6.25e-013,26.5557,-8309.99,-8258.99,0,0,-0.175303,50.1841,-0.354456
6.3e-013,26.8617,-8312.75,-8261.16,0,0,-0.17516,50.5739,-0.354204
6.35e-013,26.8875,-8314.93,-8263.29,0,0,-0.17507,50.9634,-0.353951
6.4e-013,26.5379,-8316.3,-8265.33,0,0,-0.175113,51.3526,-0.353695
6.45e-013,26.1072,-8317.22,-8267.08,0,0,-0.175206,51.7415,-0.353437
6.5e-013,25.5273,-8317.1,-8268.07,0,0,-0.175226,52.1301,-0.353177
6.55e-013,25.9007,-8317.65,-8267.9,0,0,-0.175218,52.5185,-0.352916
6.6e-013,25.9626,-8317.62,-8267.76,0,0,-0.175269,52.9066,-0.352652
