step,T,Epot,Efull,SolventMolsThroughZ,SolventMolsThroughKlap,Klapan_Z,Solvent_Z,G,v_theor,v_pract
6.15e-013,171.647,-7821.83,-7492.15,0,0,-0.102961,0.4188,-115,0,-0.00664125
6.2e-013,192.413,-7856.68,-7487.12,0,0,-0.103768,0.424864,-120,0,-0.00723
6.25e-013,213.148,-7890.96,-7481.58,0,0,-0.104676,0.430554,-125,0,-0.00784375
6.3e-013,232.227,-7923.01,-7476.99,0,0,-0.105183,0.4352,-130,0,-0.0084825
6.35e-013,253.93,-7961.23,-7473.52,0,0,-0.105632,0.437828,-135,0,-0.00914625
6.4e-013,278.855,-8007.46,-7471.88,0,0,-0.106566,0.43816,-140,0,-0.009835
6.45e-013,298.894,-8046.41,-7472.34,0,0,-0.107711,0.437064,-145,0,-0.0105487
6.5e-013,312.433,-8072.89,-7472.82,0,0,-0.108623,0.435388,-150,0,-0.0112875
6.55e-013,319.965,-8089.16,-7474.61,0,0,-0.109688,0.43351,-155,0,-0.0120512
6.6e-013,330.958,-8113.74,-7478.08,0,0,-0.111545,0.431566,-160,0,-0.01284
6.65e-013,338.852,-8132.69,-7481.87,0,0,-0.114027,0.4296,-165,0,-0.0136537
6.7e-013,352.09,-8162.74,-7486.5,0,0,-0.116468,0.427626,-170,0,-0.0144925
6.75e-013,362.768,-8189.79,-7493.03,0,0,-0.118674,0.425651,-175,0,-0.0153562
6.8e-013,376.748,-8224.07,-7500.46,0,0,-0.120958,0.423676,-180,0,-0.016245
6.85e-013,389.371,-8256.55,-7508.7,0,0,-0.123474,0.421705,-185,0,-0.0171587
6.9e-013,405.917,-8298.42,-7518.79,0,0,-0.126059,0.419741,-190,0,-0.0180975
6.95e-013,417.722,-8331.67,-7529.37,0,0,-0.128628,0.417794,-195,0,-0.0190612
7e-013,423.632,-8355.11,-7541.46,0,0,-0.131283,0.415885,-200,0,-0.02005
7.05e-013,419.729,-8359.11,-7552.96,0,0,-0.13401,0.414076,-205,0,-0.0210637
7.1e-013,411.538,-8355.08,-7564.66,0,0,-0.136598,0.412515,-210,0,-0.0221025
7.15e-013,402.649,-8348.68,-7575.33,0,0,-0.138975,0.411462,-215,0,-0.0231662
7.2e-013,400.553,-8355.34,-7586.02,0,0,-0.141262,0.411089,-220,0,-0.024255
7.25e-013,400.785,-8366.23,-7596.46,0,0,-0.143374,0.41125,-225,0,-0.0253687
7.3e-013,400.466,-8376.05,-7606.89,0,0,-0.144995,0.411677,-230,0,-0.0265075
7.35e-013,402.443,-8390.34,-7617.39,0,0,-0.146171,0.412203,-235,0,-0.0276712
7.4e-013,401.835,-8399.66,-7627.87,0,0,-0.147345,0.412754,-240,0,-0.02886
7.45e-013,400.306,-8407.4,-7638.55,0,0,-0.148595,0.413305,-245,0,-0.0300737
7.5e-013,395.177,-8407.43,-7648.44,0,0,-0.149574,0.413849,-250,0,-0.0313125
7.55e-013,385.49,-8399,-7658.61,0,0,-0.150469,0.414385,-255,0,-0.0325763
7.6e-013,373.354,-8386.1,-7669.01,0,0,-0.152019,0.414914,-260,0,-0.033865
7.65e-013,363.797,-8378.38,-7679.65,0,0,-0.154292,0.415435,-265,0,-0.0351787
7.7e-013,359.258,-8379.04,-7689.03,0,0,-0.156545,0.415951,-270,0,-0.0365175
7.75e-013,358.048,-8388.15,-7700.47,0,0,-0.158526,0.416459,-275,0,-0.0378812
7.8e-013,359.957,-8403.97,-7712.62,0,0,-0.160736,0.416959,-280,0,-0.03927
7.85e-013,361.842,-8420.12,-7725.15,0,0,-0.163235,0.41745,-285,0,-0.0406838
7.9e-013,360.09,-8426.53,-7734.92,0,0,-0.165459,0.417931,-290,0,-0.0421225
7.95e-013,357.45,-8431.52,-7744.98,0,0,-0.167274,0.418404,-295,0,-0.0435862
8e-013,350.992,-8430.35,-7756.22,0,0,-0.169001,0.418868,-300,0,-0.045075
8.05e-013,346.807,-8431.11,-7765.01,0,0,-0.170529,0.419324,-305,0,-0.0465887
8.1e-013,345.848,-8436.26,-7772.01,0,0,-0.171511,0.419771,-310,0,-0.0481275
8.15e-013,347.342,-8446.16,-7779.04,0,0,-0.172089,0.420211,-315,0,-0.0496912
8.2e-013,346.161,-8452.92,-7788.07,0,0,-0.172528,0.420642,-320,0,-0.05128
8.25e-013,344.897,-8459.25,-7796.83,0,0,-0.172671,0.421067,-325,0,-0.0528938
