step,T,Epot,Efull,SolventMolsThroughZ,SolventMolsThroughKlap,Klapan_Z,Solvent_Z,G,v_theor,v_pract
1.115e-012,64.2202,-8960.26,-8836.91,0,0,0.0215352,0.407033,2.12549,0,0.00237098
1.12e-012,63.5349,-8956.89,-8834.86,0,0,0.0223556,0.40797,2.12549,0,0.00238161
1.125e-012,63.1695,-8954.36,-8833.03,0,0,0.0231166,0.408932,2.12549,0,0.00239224
1.13e-012,62.7558,-8951.91,-8831.38,0,0,0.0238311,0.409911,2.12549,0,0.00240287
1.135e-012,62.6404,-8949.56,-8829.25,0,0,0.0245012,0.410901,2.12549,0,0.00241349
1.14e-012,62.5677,-8947.38,-8827.21,0,0,0.0250659,0.411899,2.12549,0,0.00242412
1.145e-012,62.877,-8945.08,-8824.32,0,0,0.0255239,0.412899,2.12549,0,0.00243475
1.15e-012,63.2335,-8943.59,-8822.14,0,0,0.0259754,0.413899,2.12549,0,0.00244538
1.155e-012,64.6634,-8942.63,-8818.44,0,0,0.0264606,0.414901,2.12549,0,0.002456
1.16e-012,65.3064,-8941.07,-8815.64,0,0,0.0268913,0.415906,2.12549,0,0.00246663
1.165e-012,65.8077,-8939.7,-8813.3,0,0,0.0272296,0.41691,2.12549,0,0.00247726
1.17e-012,65.9628,-8937.92,-8811.22,0,0,0.0275903,0.417914,2.12549,0,0.00248789
1.175e-012,66.0867,-8936.01,-8809.08,0,0,0.0280587,0.418916,2.12549,0,0.00249851
1.18e-012,66.0524,-8934.19,-8807.33,0,0,0.0285506,0.419917,2.12549,0,0.00250914
1.185e-012,66.1104,-8932.61,-8805.64,0,0,0.0289821,0.420918,2.12549,0,0.00251977
1.19e-012,65.8341,-8929.85,-8803.41,0,0,0.0294473,0.421917,2.12549,0,0.0025304
1.195e-012,65.3776,-8926.49,-8800.93,0,0,0.030053,0.422914,2.12549,0,0.00254102
1.2e-012,64.7834,-8922.54,-8798.12,0,0,0.0306802,0.42391,2.12549,0,0.00255165
1.205e-012,64.9771,-8917.76,-8792.96,0,0,0.0311276,0.424912,2.12549,0,0.00256228
1.21e-012,65.1793,-8913.49,-8788.3,0,0,0.0314349,0.425927,2.12549,0,0.00257291
1.215e-012,65.1806,-8908.36,-8783.17,0,0,0.0318283,0.426955,2.12549,0,0.00258353
