frame(num),distance (nm)
211.000000,0.037281
212.000000,0.042277
213.000000,0.040549
214.000000,0.033028
215.000000,0.030721
216.000000,0.033639
217.000000,0.023991
218.000000,0.027204
219.000000,0.029221
220.000000,0.030953
221.000000,0.024748
222.000000,0.030678
223.000000,0.028694
224.000000,0.026411
225.000000,0.036351
226.000000,0.035777
227.000000,0.032398
228.000000,0.030136
229.000000,0.037925
230.000000,0.030597
231.000000,0.027675
232.000000,0.035511
233.000000,0.036101
234.000000,0.033852
235.000000,0.027682
236.000000,0.029548
237.000000,0.030123
238.000000,0.036782
239.000000,0.037493
240.000000,0.033197
241.000000,0.039864
242.000000,0.039535
243.000000,0.038027
244.000000,0.032161
245.000000,0.036553
246.000000,0.042877
247.000000,0.037193
248.000000,0.039526
249.000000,0.035272
250.000000,0.023908
251.000000,0.032190
252.000000,0.038913
253.000000,0.030732
254.000000,0.020818
255.000000,0.029686
256.000000,0.025087
257.000000,0.028544
258.000000,0.033646
259.000000,0.033661
260.000000,0.024691
261.000000,0.018866
262.000000,0.014227
263.000000,0.016345
264.000000,0.017721
265.000000,0.018722
266.000000,0.007970
267.000000,0.000983
268.000000,-0.001505
269.000000,-0.007369
270.000000,-0.001528
271.000000,0.008427
272.000000,-0.004891
273.000000,-0.017899
274.000000,-0.017995
275.000000,-0.020355
276.000000,-0.026781
277.000000,-0.023152
278.000000,-0.014145
279.000000,-0.021011
280.000000,-0.032351
281.000000,-0.035566
282.000000,-0.041377
283.000000,-0.038979
284.000000,-0.035260
285.000000,-0.034375
286.000000,-0.038981
287.000000,-0.041048
288.000000,-0.046341
289.000000,-0.046612
290.000000,-0.037956
291.000000,-0.037311
292.000000,-0.036461
293.000000,-0.030048
294.000000,-0.039422
295.000000,-0.038135
296.000000,-0.036862
297.000000,-0.036454
298.000000,-0.030037
299.000000,-0.022868
300.000000,-0.033087
301.000000,-0.030028
302.000000,-0.038230
303.000000,-0.040360
304.000000,-0.031736
305.000000,-0.027733
306.000000,-0.022243
