step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],target_crd[2]
51,-0.01,-1929.23,162.714,-0.00495255,-1586.93,0.00504745
52,-0.02,-1945.35,146.593,-0.0148912,-1624.57,0.00510883
53,-0.03,-1962.19,129.762,-0.0249471,-1656.73,0.00505294
54,-0.04,-1978.78,113.172,-0.035602,-1637.53,0.00439796
55,-0.05,-1994.92,97.0306,-0.0461398,-1566.35,0.00386021
56,-0.06,-2010.12,81.8238,-0.0565378,-1462.7,0.0034622
57,-0.07,-2024.6,67.3462,-0.0664836,-1366.28,0.0035164
58,-0.08,-2037.55,54.3935,-0.0771183,-1222.41,0.00288171
59,-0.09,-2049.21,42.7382,-0.0875267,-1081.85,0.00247332
60,-0.1,-2059.03,32.921,-0.0976383,-923.01,0.00236169
61,-0.11,-2067.69,24.253,-0.107552,-779.685,0.00244847
62,-0.12,-2074.74,17.2046,-0.117861,-632.747,0.00213898
63,-0.13,-2079.96,11.9827,-0.128103,-494.661,0.00189675
64,-0.14,-2084.7,7.25247,-0.138106,-374.95,0.00189414
65,-0.15,-2087.63,4.3196,-0.148592,-276.073,0.00140778
66,-0.16,-2090.07,1.88141,-0.158621,-201.592,0.00137885
67,-0.17,-2090.17,1.77874,-0.168808,-196.502,0.00119244
68,-0.18,-2091.77,0.176212,-0.178686,-124.301,0.00131438
69,-0.19,-2092.76,-0.808198,-0.188564,-75.2123,0.00143624
70,-0.2,-2093.33,-1.38416,-0.198442,-42.3891,0.00155819
71,-0.21,-2093.64,-1.69068,-0.20832,-20.7826,0.00168014
72,-0.22,-2093.77,-1.82179,-0.218198,-6.7896,0.00180209
73,-0.23,-2093.79,-1.84072,-0.228076,2.07007,0.00192405
74,-0.24,-2093.74,-1.78979,-0.237954,7.48894,0.00204599
75,-0.25,-2093.64,-1.69722,-0.247832,10.617,0.00216795
76,-0.26,-2093.53,-1.58168,-0.25771,12.2334,0.00228989
77,-0.27,-2093.4,-1.4554,-0.267588,12.8646,0.00241185
