t,temperature,ConvEKinTemp(ekin),sum_mom_xy,sum_vel[0],sum_vel[1],sum_vel[2],sum_vel_wk_up[0],sum_vel_wk_up[1],sum_vel_wk_up[2],sum_vel_wk_dw[0],sum_vel_wk_dw[1],sum_vel_wk_dw[2],sum_vel_up[0],sum_vel_up[1],sum_vel_up[2],sum_vel_dw[0],sum_vel_dw[1],sum_vel_dw[2],sum_f_wk_up[0],sum_f_wk_up[1],sum_f_wk_up[2],sum_f_wk_dw[0],sum_f_wk_dw[1],sum_f_wk_dw[2]
64.000000,295.000000,154.702866,0.219201,-68.372788,-33.728913,-27.330512,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-65.911907,-27.560802,-23.838488,-2.460882,-6.168111,-3.492024,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66.000000,295.000000,146.378606,0.226512,-95.464760,-43.054718,8.576696,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-52.112539,-25.051173,-34.065490,-43.352221,-18.003545,42.642186,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
68.000000,295.000000,166.949572,0.235943,-48.300461,-74.344604,17.214365,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-16.255614,-47.268854,-22.228308,-32.044847,-27.075750,39.442673,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
70.000000,295.000000,158.900538,0.246968,-3.599875,-98.099712,-6.574417,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-19.295448,-73.461665,-4.132309,15.695573,-24.638047,-2.442108,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
72.000000,295.000000,164.758164,0.267238,-12.289780,-70.412402,-13.310958,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-48.089273,-56.493565,-14.487009,35.799493,-13.918837,1.176051,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
74.000000,295.000000,151.310244,0.296681,-19.374891,-8.317809,4.217857,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-38.547014,-11.117467,-42.487188,19.172123,2.799658,46.705045,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
76.000000,295.000000,177.176936,0.318977,31.785992,26.568238,0.831446,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.500763,3.344662,-47.778330,24.285229,23.223576,48.609776,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
78.000000,295.000000,162.578426,0.322573,86.159218,10.708199,-27.652787,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.651599,-22.801468,-24.465828,65.507618,33.509667,-3.186959,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
80.000000,295.000000,171.640013,0.313662,56.497373,-16.517287,-33.569333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-23.527876,-39.677279,-9.080964,80.025249,23.159993,-24.488369,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
82.000000,295.000000,151.458425,0.311874,-21.707201,-20.045039,-4.477516,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-58.406518,-31.645514,-13.379592,36.699317,11.600476,8.902075,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
84.000000,295.000000,171.088816,0.307107,-38.219260,-19.981270,12.172503,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-32.321913,-28.375046,-15.138836,-5.897347,8.393776,27.311339,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
86.000000,295.000000,160.227435,0.291766,13.395803,-44.318231,-4.306339,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.275877,-49.793257,-3.348601,4.119926,5.475026,-0.957738,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
88.000000,295.000000,176.798080,0.270475,33.907462,-68.062798,-8.298202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.546751,-65.551519,3.619064,28.360711,-2.511279,-11.917266,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90.000000,295.000000,170.478827,0.259880,-7.885731,-52.839556,26.730063,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.782738,-47.554284,-8.216165,13.897007,-5.285273,34.946228,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
92.000000,295.000000,168.985974,0.269179,-27.055881,-15.513770,48.669163,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-15.985321,-17.547798,-25.231818,-11.070560,2.034028,73.900981,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
94.000000,295.000000,163.218903,0.289510,25.052284,-1.897975,15.871120,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.895566,-14.750929,-29.202791,9.156718,12.852954,45.073911,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
96.000000,295.000000,151.799744,0.307424,66.542428,-21.240627,-22.608023,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.216867,-37.864376,-25.384344,51.325561,16.623750,2.776320,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
98.000000,295.000000,182.107091,0.320109,23.941567,-39.410288,-9.682455,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-30.872317,-48.927546,-25.140431,54.813884,9.517258,15.457976,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
100.000000,295.000000,164.599396,0.313386,-35.568842,-33.953893,21.519577,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-63.283200,-38.650647,-24.879505,27.714358,4.696755,46.399082,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
