step,T,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],sn_f[0],sn_f[1],sn_f[2],target_crd[0],target_crd[1],target_crd[2],boundary[0],boundary[1],boundary[2]
830,214.994,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00105424,0.0541016,-0.04184,0.641254,0.498631,1
840,211.488,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.000674928,0.0543635,-0.0411466,0.641338,0.498368,1
850,209.733,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.000515125,0.0544001,-0.0406869,0.641435,0.498077,1
860,203.081,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.000537017,0.0545214,-0.0404053,0.641518,0.497836,1
870,199.814,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00053251,0.0552136,-0.0398195,0.641611,0.497563,1
880,192.192,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.000556666,0.0558611,-0.0391542,0.641668,0.497384,1
890,197.924,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.000775599,0.0559174,-0.0386856,0.641668,0.497384,1
900,198.143,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.000762734,0.0560025,-0.0383725,0.641668,0.497384,1
910,208.856,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.000302206,0.0566721,-0.0378476,0.641741,0.497123,1
920,209.088,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,9.36619e-005,0.0570584,-0.0373543,0.641741,0.497123,1
930,212.595,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,9.3778e-005,0.0567605,-0.0372096,0.641741,0.497123,1
940,210.764,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,0.00012463,0.0566162,-0.0372837,0.641747,0.497098,1
950,217.01,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,0.000512257,0.0569144,-0.0371623,0.641825,0.496766,1
960,217.209,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,0.000871134,0.0567702,-0.0369278,0.641893,0.49646,1
970,220.224,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,0.000912784,0.0562769,-0.0369417,0.641951,0.496189,1
980,218.01,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,0.000683764,0.0561932,-0.0370947,0.641951,0.496189,1
990,218.254,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,0.000412088,0.0562741,-0.0370115,0.641951,0.496189,1
1000,222.704,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,0.000150924,0.0557703,-0.0367019,0.642104,0.496189,1
1010,220.955,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-4.08815e-005,0.0553153,-0.0367139,0.642399,0.496207,1
1020,222.553,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.000477212,0.0556683,-0.0369254,0.642413,0.496214,1
1030,221.707,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00110896,0.0560853,-0.0369283,0.642467,0.496266,1
1040,223.994,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00164208,0.0556905,-0.0365579,0.64256,0.496426,1
1050,229.806,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00164216,0.0550905,-0.0362626,0.642613,0.496601,1
1060,254.317,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00132441,0.0550925,-0.0358244,0.642654,0.496829,1
1070,275.04,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.000946022,0.054994,-0.0349009,0.64269,0.497216,1
1080,306.878,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.0009545,0.0544588,-0.0334761,0.642714,0.497688,1
1090,324.021,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.0013648,0.0543578,-0.0323775,0.642718,0.498116,1
