tor1(deg),E(kJ/mol)
-0.147752,0.100503
-0.144574,0.100973
-0.141542,0.102375
-0.142531,0.105201
-0.147577,0.110437
-0.153984,0.115475
-0.161581,0.117464
-0.169261,0.118668
-0.176988,0.118910
-0.184729,0.116844
-0.192431,0.115672
-0.201963,0.114519
-0.209184,0.115347
-0.218631,0.121798
-0.227991,0.128588
-0.235537,0.133348
-0.241409,0.140323
-0.245862,0.143882
-0.248147,0.144821
-0.250221,0.146585
-0.255097,0.147338
-0.259451,0.146059
-0.263417,0.143816
-0.270287,0.144319
-0.273686,0.144590
-0.278224,0.142555
-0.281925,0.141112
-0.287521,0.137320
-0.288517,0.133194
-0.287927,0.127564
-0.285855,0.125581
-0.283160,0.122255
-0.280834,0.120136
-0.273343,0.113003
-0.265836,0.109984
-0.259071,0.103906
-0.250554,0.097867
-0.244686,0.094042
-0.240203,0.090670
-0.236359,0.090155
-0.227707,0.092443
-0.220764,0.095684
-0.215544,0.099684
-0.210351,0.102480
-0.203066,0.101228
-0.196145,0.097064
-0.193644,0.093159
-0.194821,0.091328
-0.197978,0.088826
-0.202529,0.083549
-0.206631,0.080225
-0.214099,0.077621
-0.222035,0.073435
-0.227142,0.071833
-0.231718,0.072492
-0.236317,0.074128
-0.242704,0.077379
-0.252079,0.083675
-0.260523,0.089502
-0.271269,0.096874
-0.281276,0.102767
-0.288636,0.107391
-0.294185,0.110304
-0.300552,0.113373
-0.305422,0.115899
-0.313114,0.119294
-0.319521,0.122676
-0.325540,0.123824
-0.328555,0.125764
-0.330636,0.127662
-0.330639,0.125695
-0.332319,0.123114
-0.334851,0.118889
-0.336570,0.116958
-0.337976,0.113071
-0.338653,0.108678
-0.340219,0.107833
-0.338961,0.105791
-0.339816,0.103459
-0.336264,0.099529
-0.333281,0.096098
-0.329193,0.097634
-0.322501,0.098421
-0.316148,0.099195
-0.308712,0.101500
-0.299282,0.102051
-0.291174,0.101022
-0.287110,0.101602
-0.286027,0.101387
-0.283720,0.096872
-0.283725,0.092860
-0.284169,0.088726
-0.286292,0.085986
-0.285235,0.083056
-0.284499,0.082616
-0.282057,0.081283
-0.280607,0.083085
-0.278621,0.083605
-0.274778,0.083448
-0.270148,0.082640
-0.268200,0.083104
-0.266351,0.084345
-0.265908,0.084305
-0.266954,0.085613
-0.270973,0.085450
-0.275123,0.083756
-0.279889,0.081036
-0.285354,0.079239
-0.287766,0.078227
-0.292004,0.081220
-0.292062,0.084532
-0.292403,0.088481
-0.292780,0.093066
-0.294697,0.095656
-0.293048,0.097269
-0.290968,0.098992
-0.285848,0.099671
-0.283179,0.101788
-0.279980,0.104407
-0.276542,0.105758
-0.273838,0.109332
-0.272389,0.115692
-0.269261,0.119481
-0.267631,0.122921
-0.266981,0.128399
-0.268261,0.133414
-0.270489,0.137332
-0.273767,0.139112
-0.283339,0.141784
-0.292247,0.142369
-0.303983,0.139732
-0.314004,0.136402
-0.323259,0.128723
-0.332349,0.120879
-0.343166,0.113662
