step,T,rz,Epot,prob_atom_crd[0],prob_atom_crd[1],prob_atom_crd[2],prob_atom_f[0],prob_atom_f[1],prob_atom_f[2],target_crd[0],target_crd[1],target_crd[2]
690,0.0694537,-0.19,-1651.09,0.0444658,-1.18519e-006,-0.19679,1.89424e-005,0.000868488,20.0208,0.0444658,-1.18519e-006,-0.00679011
700,0.0671985,-0.2,-1650.85,0.0444655,-1.34029e-006,-0.206825,-0.000271354,-0.000979477,20.5963,0.0444655,-1.34029e-006,-0.00682489
710,0.0661468,-0.21,-1650.64,0.044466,-1.49028e-006,-0.216857,-0.000561222,-0.00212427,20.9387,0.044466,-1.49028e-006,-0.00685683
720,0.0658122,-0.22,-1650.43,0.0444662,-1.675e-006,-0.226885,-0.00106177,-0.00271327,20.9581,0.0444662,-1.675e-006,-0.0068851
730,0.0656679,-0.23,-1650.16,0.0444659,-1.86581e-006,-0.23691,-0.00166548,-0.00289673,20.5225,0.0444659,-1.86581e-006,-0.00691032
740,0.0654438,-0.24,-1649.92,0.0444652,-1.99234e-006,-0.246933,-0.00223899,-0.00285144,19.9767,0.0444652,-1.99234e-006,-0.00693257
750,0.0652553,-0.25,-1649.72,0.0444648,-2.06756e-006,-0.256951,-0.00258771,-0.00266059,19.3974,0.0444648,-2.06756e-006,-0.00695102
760,0.0652982,-0.26,-1649.53,0.0444645,-2.17626e-006,-0.266965,-0.00287446,-0.00237166,18.7088,0.0444645,-2.17626e-006,-0.0069652
770,0.0655915,-0.27,-1649.36,0.0444648,-2.29047e-006,-0.276976,-0.00313797,-0.00203005,17.9424,0.0444648,-2.29047e-006,-0.00697566
780,0.0659498,-0.28,-1649.19,0.0444655,-2.36608e-006,-0.286983,-0.00339671,-0.00167075,17.1241,0.0444655,-2.36608e-006,-0.00698323
790,0.0660406,-0.29,-1649.02,0.044466,-2.42665e-006,-0.296988,-0.00356999,-0.00131632,16.2752,0.044466,-2.42665e-006,-0.00698845
800,0.0659898,-0.3,-1648.86,0.0444659,-2.48381e-006,-0.306992,-0.00365377,-0.000976198,15.4128,0.0444659,-2.48381e-006,-0.00699212
810,0.0665239,-0.31,-1648.71,0.0444659,-2.4383e-006,-0.316996,-0.00363361,-0.000650833,14.5507,0.0444659,-2.4383e-006,-0.00699562
820,0.06907,-0.32,-1648.58,0.0444659,-2.30475e-006,-0.327,-0.00357702,-0.000350115,13.6996,0.0444659,-2.30475e-006,-0.00699978
830,0.0750073,-0.33,-1648.42,0.0444659,-2.24856e-006,-0.337004,-0.186267,-8.68693e-005,12.6173,0.0444659,-2.24856e-006,-0.00700414
840,0.0851213,-0.34,-1648.27,0.0444658,-2.36722e-006,-0.347008,-0.00320918,0.0001251,11.598,0.0444658,-2.36722e-006,-0.00700805
850,0.0986428,-0.35,-1648.16,0.0444664,-2.53662e-006,-0.357012,-0.00305309,0.00029513,10.8568,0.0444664,-2.53662e-006,-0.00701206
860,0.112907,-0.36,-1648.04,0.0444672,-2.64003e-006,-0.367018,-0.00284433,0.000416915,9.89997,0.0444672,-2.64003e-006,-0.00701781
870,0.123765,-0.37,-1647.95,0.0444678,-2.66152e-006,-0.377027,-0.00265544,0.000523768,9.24153,0.0444678,-2.66152e-006,-0.00702677
