step,T,Epot,Efull,SolventMolsThroughZ,SolventMolsThroughKlap,Z_Klap,G,v
6.35e-013,45.5948,-8386.46,-8296.61,0,1,-0.0165384,5.74765,-0.102464
6.4e-013,45.5253,-8384.81,-8295.1,0,1,-0.0168754,5.79237,-0.102435
6.45e-013,45.6839,-8383.21,-8293.19,0,1,-0.0172605,5.83707,-0.102406
6.5e-013,46.1676,-8382.56,-8291.58,0,1,-0.0175228,5.88177,-0.102377
6.55e-013,48.0789,-8382.52,-8287.78,0,1,-0.0178463,5.92645,-0.102347
6.6e-013,49.2995,-8382.61,-8285.47,0,1,-0.0183167,5.97111,-0.102317
6.65e-013,50.4248,-8383.18,-8283.81,0,1,-0.0187086,6.01577,-0.102287
6.7e-013,51.1163,-8383.97,-8283.24,0,1,-0.0189675,6.06041,-0.102257
6.75e-013,51.893,-8385,-8282.74,0,1,-0.0193376,6.10504,-0.102227
6.8e-013,52.4215,-8386.28,-8282.99,0,1,-0.0198568,6.14965,-0.102196
6.85e-013,53.0994,-8388.39,-8283.75,0,1,-0.0202978,6.19425,-0.102165
6.9e-013,53.6322,-8390.02,-8284.34,0,1,-0.0206573,6.23884,-0.102134
6.95e-013,53.742,-8391.49,-8285.59,0,1,-0.0211473,6.28341,-0.102103
7e-013,53.8793,-8393.32,-8287.15,0,1,-0.0217379,6.32798,-0.102071
7.05e-013,54.6006,-8393.51,-8285.92,0,1,-0.0222149,6.37252,-0.10204
7.1e-013,55.1722,-8393.57,-8284.85,0,1,-0.0225984,6.41705,-0.102008
7.15e-013,54.9038,-8392.06,-8283.87,0,1,-0.0230767,6.46157,-0.101975
7.2e-013,55.3905,-8392.53,-8283.38,0,1,-0.0236361,6.50608,-0.101943
7.25e-013,55.0421,-8391.01,-8282.55,0,1,-0.0240833,6.55057,-0.10191
7.3e-013,55.4005,-8391.34,-8282.17,0,1,-0.024372,6.59504,-0.101878
7.35e-013,54.8328,-8389.67,-8281.62,0,1,-0.0246604,6.63951,-0.101844
7.4e-013,54.6935,-8388.83,-8281.06,0,1,-0.0250666,6.68395,-0.101811
7.45e-013,54.0515,-8386.73,-8280.22,0,1,-0.0255054,6.72839,-0.101778
7.5e-013,53.8536,-8384.8,-8278.68,0,1,-0.0258339,6.7728,-0.101744
7.55e-013,54.4981,-8382.05,-8274.66,0,1,-0.0260832,6.81721,-0.10171
7.6e-013,55.0647,-8379.42,-8270.92,0,1,-0.0263697,6.86159,-0.101676
7.65e-013,55.4383,-8376.86,-8267.62,0,1,-0.0266188,6.90597,-0.101641
7.7e-013,55.8983,-8374.34,-8264.19,0,1,-0.0266745,6.95033,-0.101607
7.75e-013,56.3898,-8372.86,-8261.74,0,1,-0.0266514,6.99467,-0.101572
7.8e-013,56.9932,-8371.49,-8259.18,0,1,-0.0267637,7.039,-0.101537
7.85e-013,57.1795,-8370.08,-8257.41,0,1,-0.026883,7.08331,-0.101501
7.9e-013,57.4291,-8368.79,-8255.62,0,1,-0.026764,7.12761,-0.101466
7.95e-013,57.3858,-8367.17,-8254.09,0,1,-0.02656,7.17189,-0.10143
8e-013,58.0514,-8366.85,-8252.46,0,1,-0.0265374,7.21615,-0.101394
8.05e-013,59.7369,-8366.42,-8248.7,0,1,-0.0265211,7.2604,-0.101358
8.1e-013,61.7056,-8367.92,-8246.33,0,1,-0.0262283,7.30464,-0.101322
8.15e-013,63.3201,-8370.34,-8245.56,0,1,-0.0258305,7.34886,-0.101285
8.2e-013,64.9389,-8373.92,-8245.95,0,1,-0.0255757,7.39306,-0.101248
8.25e-013,66.43,-8378.08,-8247.18,0,1,-0.0252628,7.43724,-0.101211
8.3e-013,66.9376,-8381.19,-8249.29,0,1,-0.0246511,7.48141,-0.101174
8.35e-013,67.4547,-8384.93,-8252.01,0,1,-0.0239018,7.52557,-0.101136
8.4e-013,66.3688,-8384.54,-8253.76,0,1,-0.0231959,7.5697,-0.101098
8.45e-013,65.4618,-8384.12,-8255.13,0,1,-0.0224523,7.61382,-0.10106
8.5e-013,63.3597,-8380.86,-8256,1,2,-0.0216834,7.65793,-0.101022
8.55e-013,63.564,-8377.9,-8252.65,1,2,-0.0210443,7.70202,-0.100984
8.6e-013,62.6271,-8372.09,-8248.68,1,2,-0.0204679,7.74609,-0.100945
8.65e-013,62.4023,-8367.83,-8244.87,1,2,-0.0198007,7.79014,-0.100906
8.7e-013,61.4767,-8361.37,-8240.23,1,2,-0.0191823,7.83418,-0.100867
8.75e-013,61.4696,-8357.13,-8236,1,2,-0.0187448,7.8782,-0.100828
8.8e-013,61.0772,-8351.68,-8231.33,1,2,-0.018261,7.9222,-0.100789
8.85e-013,62.0028,-8349.14,-8226.96,1,2,-0.0175991,7.96618,-0.100749
8.9e-013,62.3915,-8345.23,-8222.28,1,2,-0.017024,8.01015,-0.100709
8.95e-013,63.5409,-8343.82,-8218.61,1,2,-0.0166237,8.0541,-0.100669
9e-013,63.8909,-8341.12,-8215.22,1,2,-0.0161134,8.09803,-0.100628
9.05e-013,66.1612,-8340.72,-8210.34,1,2,-0.0154941,8.14195,-0.100588
9.1e-013,67.2995,-8339.37,-8206.76,1,2,-0.015121,8.18584,-0.100547
