step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],target_crd[2]
48,0.02,-1644.35,2.86027,0.0228124,39.7622,0.0028124
49,0.01,-1644.06,3.15579,0.0129296,18.872,0.00292961
50,-3.68629e-017,-1643.98,3.23216,0.00304688,-3.66842,0.00304688
51,-0.01,-1644.13,3.0852,-0.00683575,-25.377,0.00316425
52,-0.02,-1644.48,2.73522,-0.0167183,-43.923,0.00328174
53,-0.03,-1644.99,2.22319,-0.0266006,-57.5626,0.00339937
54,-0.04,-1645.9,1.31433,-0.036483,-62.0386,0.00351703
55,-0.05,-1646.61,0.600879,-0.0462431,-64.0562,0.00375685
56,-0.06,-1647.24,-0.02774,-0.0562293,-61.0043,0.00377075
57,-0.07,-1647.82,-0.607623,-0.0661116,-54.5085,0.00388837
58,-0.08,-1648.32,-1.11084,-0.0759943,-45.8883,0.00400573
59,-0.09,-1648.73,-1.52237,-0.0858769,-36.3548,0.00412311
60,-0.1,-1649.05,-1.83814,-0.0957595,-26.871,0.00424054
61,-0.11,-1649.27,-2.06221,-0.105642,-18.1014,0.00435799
62,-0.12,-1649.47,-2.26181,-0.115525,-11.2184,0.00447543
63,-0.13,-1649.55,-2.33977,-0.125632,-4.59784,0.00436766
64,-0.14,-1649.57,-2.35878,-0.135515,0.674148,0.00448539
65,-0.15,-1649.54,-2.33043,-0.14542,4.7988,0.00458014
66,-0.16,-1649.48,-2.26637,-0.155303,7.86786,0.00469662
67,-0.17,-1649.39,-2.17608,-0.165194,10.0552,0.00480621
68,-0.18,-1649.28,-2.06768,-0.175079,11.5164,0.00492072
69,-0.19,-1649.16,-1.94768,-0.184963,12.3981,0.00503693
70,-0.2,-1649.03,-1.82122,-0.194846,12.827,0.00515427
71,-0.21,-1648.9,-1.69229,-0.204728,12.9097,0.00527166
72,-0.22,-1648.77,-1.56389,-0.214611,12.7333,0.00538909
73,-0.23,-1648.65,-1.43825,-0.224493,12.368,0.0055066
74,-0.24,-1648.53,-1.31697,-0.234376,11.8698,0.00562415
75,-0.25,-1648.41,-1.20115,-0.244258,11.2829,0.00574174
76,-0.26,-1648.3,-1.0915,-0.254141,10.6416,0.00585932
