step,T,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],sn_f[0],sn_f[1],sn_f[2],target_crd[0],target_crd[1],target_crd[2],boundary[0],boundary[1],boundary[2]
560,127.939,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00224601,0.054837,-0.0114966,0.641247,0.495727,1
570,132.652,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.0023413,0.0548156,-0.0106402,0.64146,0.495646,1
580,137.456,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00253137,0.0547491,-0.00981693,0.641676,0.495568,1
590,142.806,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00306752,0.0547267,-0.00915735,0.641919,0.495482,1
600,148.106,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00372996,0.0547701,-0.00871375,0.642138,0.495407,1
610,162.855,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.0042231,0.0547667,-0.00843241,0.642321,0.495347,1
620,174.686,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00464443,0.0546795,-0.00827501,0.642527,0.495282,1
630,184.887,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00507597,0.0546038,-0.00830534,0.642747,0.495214,1
640,194.422,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00532706,0.0545924,-0.00852582,0.642943,0.495157,1
650,201.945,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00537088,0.0545959,-0.00897644,0.643127,0.495107,1
660,207.296,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00544386,0.0546218,-0.00960958,0.643304,0.495062,1
670,209.274,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00560497,0.0546357,-0.0104197,0.643485,0.495019,1
680,208.651,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00581208,0.0546096,-0.0113258,0.643687,0.494976,1
690,205.998,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00608565,0.0544988,-0.0123802,0.643841,0.494944,1
700,202.107,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00639957,0.0543281,-0.013586,0.643954,0.494915,1
710,207.349,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00652547,0.0540991,-0.0150565,0.644002,0.4949,1
720,208.709,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00645309,0.0539142,-0.0167053,0.644113,0.494864,1
730,207.44,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00635114,0.0537836,-0.0184256,0.644198,0.494834,1
740,204.825,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00631324,0.0537132,-0.0200425,0.644199,0.494833,1
750,200.97,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00613577,0.0536716,-0.0216348,0.644199,0.494833,1
760,196.299,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00580916,0.053736,-0.0231788,0.644199,0.494833,1
770,191.583,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00544354,0.0538786,-0.0246468,0.644199,0.494833,1
780,187.411,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00515495,0.054107,-0.0259177,0.644199,0.494833,1
790,184.27,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00486018,0.0543582,-0.0271204,0.644199,0.494833,1
800,182.388,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00463763,0.0546557,-0.0282494,0.644199,0.494833,1
810,189.28,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00446389,0.0549506,-0.0292991,0.644199,0.494833,1
820,193.284,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00426567,0.0552359,-0.0301731,0.644199,0.494833,1
830,194.533,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00392713,0.0554265,-0.0309837,0.644199,0.494833,1
840,192.636,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00362644,0.0555918,-0.0316662,0.644199,0.494833,1
850,187.68,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00338391,0.0556968,-0.0322032,0.644199,0.494833,1
