step	T	Epot	Efull	E_solute	E_solvent	E_solusolv	NThrouZ	NThrouZmin	NThrouZmax	
1860	80.2111	-2543.38	-2489.36	-2543.38	0	0	0	0	0	
1870	83.6831	-2539.37	-2483.01	-2539.37	0	0	0	0	0	
1880	87.3723	-2536.16	-2477.31	-2536.16	0	0	0	0	0	
1890	91.2987	-2533.87	-2472.39	-2533.87	0	0	0	0	0	
1900	97.6789	-2534.06	-2468.27	-2534.06	0	0	0	0	0	
1910	105.939	-2535.91	-2464.56	-2535.91	0	0	0	0	0	
1920	115.748	-2541.57	-2463.61	-2541.57	0	0	0	0	0	
1930	121.111	-2546.49	-2464.92	-2546.49	0	0	0	0	0	
1940	124.119	-2550.67	-2467.08	-2550.67	0	0	0	0	0	
1950	125.297	-2554.14	-2469.76	-2554.14	0	0	0	0	0	
1960	125.429	-2557.07	-2472.6	-2557.07	0	0	0	0	0	
1970	125.699	-2560.03	-2475.37	-2560.03	0	0	0	0	0	
1980	127.484	-2564.56	-2478.7	-2564.56	0	0	0	0	0	
1990	128.016	-2568.77	-2482.56	-2568.77	0	0	0	0	0	
2000	126.762	-2571.18	-2485.8	-2571.18	0	0	0	0	0	
2010	125.849	-2571.93	-2487.18	-2571.93	0	0	0	0	0	
2020	122.943	-2571.01	-2488.21	-2571.01	0	0	0	0	0	
2030	120.201	-2569.68	-2488.73	-2569.68	0	0	0	0	0	
2040	116.06	-2567.03	-2488.87	-2567.03	0	0	0	0	0	
2050	113.729	-2564.21	-2487.61	-2564.21	0	0	0	0	0	
2060	110.185	-2560.43	-2486.23	-2560.43	0	0	0	0	0	
2070	107.361	-2556.09	-2483.78	-2556.09	0	0	0	0	0	
2080	108.497	-2553.81	-2480.74	-2553.81	0	0	0	0	0	
2090	110.727	-2552.77	-2478.2	-2552.77	0	0	0	0	0	
2100	115.741	-2554.51	-2476.56	-2554.51	0	0	0	0	0	
2110	126.251	-2559.73	-2474.7	-2559.73	0	0	0	0	0	
2120	128.916	-2561.94	-2475.12	-2561.94	0	0	0	0	0	
2130	132.526	-2566.32	-2477.07	-2566.32	0	0	0	0	0	
2140	132.451	-2568.02	-2478.81	-2568.02	0	0	0	0	0	
2150	128.301	-2566.7	-2480.29	-2566.7	0	0	0	0	0	
2160	124.145	-2563.85	-2480.24	-2563.85	0	0	0	0	0	
2170	117.309	-2558.09	-2479.09	-2558.09	0	0	0	0	0	
2180	113.768	-2553.22	-2476.6	-2553.22	0	0	0	0	0	
2190	116.212	-2551.97	-2473.71	-2551.97	0	0	0	0	0	
2200	118.172	-2551.09	-2471.5	-2551.09	0	0	0	0	0	
2210	126.513	-2553.94	-2468.74	-2553.94	0	0	0	0	0	
2220	133.172	-2557.52	-2467.83	-2557.52	0	0	0	0	0	
2230	136.562	-2560.73	-2468.76	-2560.73	0	0	0	0	0	
2240	141.014	-2565.39	-2470.42	-2565.39	0	0	0	0	0	
2250	139.757	-2566.28	-2472.16	-2566.28	0	0	0	0	0	
2260	139.725	-2568.09	-2473.99	-2568.09	0	0	0	0	0	
2270	137.787	-2568.6	-2475.8	-2568.6	0	0	0	0	0	
2280	136.203	-2568.86	-2477.13	-2568.86	0	0	0	0	0	
2290	136.532	-2570.03	-2478.08	-2570.03	0	0	0	0	0	
2300	136.294	-2571.27	-2479.48	-2571.27	0	0	0	0	0	
2310	136.313	-2570.83	-2479.03	-2570.83	0	0	0	0	0	
2320	134.736	-2569.07	-2478.33	-2569.07	0	0	0	0	0	
2330	129.54	-2563.79	-2476.54	-2563.79	0	0	0	0	0	
2340	126.09	-2558.84	-2473.92	-2558.84	0	0	0	0	0	
2350	124.371	-2554.67	-2470.91	-2554.67	0	0	0	0	0	
2360	123.963	-2550.79	-2467.31	-2550.79	0	0	0	0	0	
2370	126.496	-2549.09	-2463.89	-2549.09	0	0	0	0	0	
2380	128.378	-2547.3	-2460.84	-2547.3	0	0	0	0	0	
2390	131.714	-2547.72	-2459.01	-2547.72	0	0	0	0	0	
2400	128.617	-2544.28	-2457.66	-2544.28	0	0	0	0	0	
2410	131.07	-2542.2	-2453.93	-2542.2	0	0	0	0	0	
2420	136.287	-2543.13	-2451.34	-2543.13	0	0	0	0	0	
2430	145.707	-2548.38	-2450.25	-2548.38	0	0	0	0	0	
2440	157.472	-2557.5	-2451.44	-2557.5	0	0	0	0	0	
2450	162.221	-2564.63	-2455.38	-2564.63	0	0	0	0	0	
2460	159.375	-2567.17	-2459.83	-2567.17	0	0	0	0	0	
2470	153.119	-2566.08	-2462.96	-2566.08	0	0	0	0	0	
2480	145.874	-2562.44	-2464.2	-2562.44	0	0	0	0	0	
2490	139.078	-2557.05	-2463.38	-2557.05	0	0	0	0	0	
2500	135.572	-2552.87	-2461.56	-2552.87	0	0	0	0	0	
2510	132.798	-2547.73	-2458.29	-2547.73	0	0	0	0	0	
2520	129.734	-2540.99	-2453.62	-2540.99	0	0	0	0	0	
2530	122.395	-2530.48	-2448.05	-2530.48	0	0	0	0	0	
2540	119.254	-2520.64	-2440.32	-2520.64	0	0	0	0	0	
2550	116.583	-2510.96	-2432.45	-2510.96	0	0	0	0	0	
2560	120.856	-2505.33	-2423.94	-2505.33	0	0	0	0	0	
2570	134.013	-2508.15	-2417.9	-2508.15	0	0	0	0	0	
2580	140.24	-2509.31	-2414.86	-2509.31	0	0	0	0	0	
2590	147.241	-2512.38	-2413.21	-2512.38	0	0	0	0	0	
2600	150.526	-2513.6	-2412.22	-2513.6	0	0	0	0	0	
2610	146.863	-2509.51	-2410.6	-2509.51	0	0	0	0	0	
2620	145.616	-2505.61	-2407.54	-2505.61	0	0	0	0	0	
2630	142.639	-2500.86	-2404.79	-2500.86	0	0	0	0	0	
2640	141.401	-2497.36	-2402.13	-2497.36	0	0	0	0	0	
2650	147.177	-2497.91	-2398.79	-2497.91	0	0	0	0	0	
2660	152.158	-2499.35	-2396.87	-2499.35	0	0	0	0	0	
2670	162.272	-2506.79	-2397.5	-2506.79	0	0	0	0	0	
2680	171.343	-2515.56	-2400.16	-2515.56	0	0	0	0	0	
2690	172.879	-2521.12	-2404.69	-2521.12	0	0	0	0	0	
2700	171.946	-2524.8	-2409	-2524.8	0	0	0	0	0	
2710	172.614	-2527.66	-2411.41	-2527.66	0	0	0	0	0	
2720	175.246	-2532.95	-2414.92	-2532.95	0	0	0	0	0	
2730	176.611	-2537.32	-2418.38	-2537.32	0	0	0	0	0	
2740	174.069	-2539.07	-2421.84	-2539.07	0	0	0	0	0	
2750	172.33	-2541.31	-2425.25	-2541.31	0	0	0	0	0	
2760	167.231	-2540.1	-2427.47	-2540.1	0	0	0	0	0	
2770	168.926	-2542.99	-2429.23	-2542.99	0	0	0	0	0	
2780	173.404	-2548	-2431.22	-2548	0	0	0	0	0	
2790	177.036	-2553.84	-2434.61	-2553.84	0	0	0	0	0	
2800	179.383	-2559.33	-2438.52	-2559.33	0	0	0	0	0	
2810	180.615	-2563.3	-2441.66	-2563.3	0	0	0	0	0	
2820	179.83	-2566.26	-2445.15	-2566.26	0	0	0	0	0	
2830	179.838	-2568.86	-2447.74	-2568.86	0	0	0	0	0	
2840	177.792	-2571	-2451.26	-2571	0	0	0	0	0	
2850	178.622	-2574.25	-2453.95	-2574.25	0	0	0	0	0	
2860	177.542	-2575.99	-2456.42	-2575.99	0	0	0	0	0	
2870	177.954	-2578.46	-2458.62	-2578.46	0	0	0	0	0	
2880	176.75	-2580.24	-2461.2	-2580.24	0	0	0	0	0	
2890	171.671	-2578.42	-2462.8	-2578.42	0	0	0	0	0	
2900	165.164	-2574.47	-2463.24	-2574.47	0	0	0	0	0	
2910	157.274	-2565.8	-2459.88	-2565.8	0	0	0	0	0	
2920	151.433	-2556.9	-2454.91	-2556.9	0	0	0	0	0	
2930	152.011	-2552.2	-2449.82	-2552.2	0	0	0	0	0	
2940	148.288	-2543.66	-2443.79	-2543.66	0	0	0	0	0	
2950	148.26	-2536.98	-2437.13	-2536.98	0	0	0	0	0	
2960	148.395	-2530.71	-2430.77	-2530.71	0	0	0	0	0	
2970	145.435	-2522.36	-2424.42	-2522.36	0	0	0	0	0	
2980	146.677	-2515.95	-2417.17	-2515.95	0	0	0	0	0	
2990	146.126	-2508.78	-2410.37	-2508.78	0	0	0	0	0	
3000	144.322	-2499.83	-2402.63	-2499.83	0	0	0	0	0	
3010	153.455	-2497.65	-2394.3	-2497.65	0	0	0	0	0	
3020	160.774	-2496.69	-2388.42	-2496.69	0	0	0	0	0	
3030	168.454	-2497.74	-2384.29	-2497.74	0	0	0	0	0	
3040	170.252	-2496.48	-2381.82	-2496.48	0	0	0	0	0	
3050	166.036	-2490.63	-2378.81	-2490.63	0	0	0	0	0	
3060	162.056	-2484.07	-2374.93	-2484.07	0	0	0	0	0	
3070	155.222	-2474.02	-2369.49	-2474.02	0	0	0	0	0	
3080	167.188	-2476.95	-2364.35	-2476.95	0	0	0	0	0	
3090	179.841	-2483.01	-2361.89	-2483.01	0	0	0	0	0	
3100	192.972	-2493.73	-2363.77	-2493.73	0	0	0	0	0	
3110	209.299	-2508.28	-2367.33	-2508.28	0	0	0	0	0	
3120	212.207	-2517.04	-2374.13	-2517.04	0	0	0	0	0	
3130	209.425	-2521.27	-2380.23	-2521.27	0	0	0	0	0	
3140	205.932	-2523.92	-2385.23	-2523.92	0	0	0	0	0	
3150	194.585	-2520.23	-2389.18	-2520.23	0	0	0	0	0	
3160	185.95	-2515.68	-2390.45	-2515.68	0	0	0	0	0	
3170	186.556	-2516.18	-2390.54	-2516.18	0	0	0	0	0	
