step,T,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],sn_f[0],sn_f[1],sn_f[2],target_crd[0],target_crd[1],target_crd[2],boundary[0],boundary[1],boundary[2]
660,140.274,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.0024181,0.0521995,-0.0182727,0.648429,0.499419,1
670,138.441,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00301816,0.0521685,-0.0187017,0.648429,0.499419,1
680,139.334,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00359205,0.0521462,-0.0189532,0.648429,0.499419,1
690,142.999,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00380706,0.0522648,-0.0189789,0.648429,0.499419,1
700,152.21,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.0038478,0.0524442,-0.0188686,0.648429,0.499419,1
710,173.849,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00381865,0.0525764,-0.0187608,0.648429,0.499419,1
720,193.698,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00346444,0.0528402,-0.0184775,0.648429,0.499419,1
730,208.443,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00289884,0.0532441,-0.0180061,0.648429,0.499419,1
740,218.086,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00254096,0.0535299,-0.0174394,0.648429,0.499419,1
750,223.362,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00238244,0.0537565,-0.0170248,0.648429,0.499419,1
760,229.479,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00212445,0.0541403,-0.0166702,0.648429,0.499419,1
770,233.245,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00185416,0.0545245,-0.0163215,0.648429,0.499419,1
780,238.028,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00175469,0.054711,-0.0158135,0.648429,0.499419,1
790,240.1,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00155461,0.0547475,-0.0152012,0.648429,0.499419,1
800,238.518,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00116583,0.0546823,-0.0144716,0.648429,0.499419,1
810,241.37,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.000999285,0.0545466,-0.0138722,0.648429,0.499419,1
820,235.709,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00125958,0.0543742,-0.0134651,0.648429,0.499419,1
830,225.296,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.0014837,0.0541671,-0.0132894,0.648429,0.499419,1
840,216.322,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00150376,0.0538961,-0.0132116,0.648429,0.499419,1
850,210.612,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00158482,0.0535557,-0.0134183,0.648429,0.499419,1
860,212.06,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00189455,0.0530834,-0.0138894,0.648429,0.499419,1
870,217.622,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00222967,0.0525848,-0.0145553,0.648429,0.499419,1
880,222.208,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00250412,0.0522946,-0.0152466,0.648429,0.499419,1
890,225.726,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00255089,0.0522422,-0.0160446,0.648429,0.499419,1
900,228.889,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00231134,0.0523244,-0.0167421,0.648429,0.499419,1
910,240.975,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00190421,0.0527347,-0.017259,0.648429,0.499419,1
920,251.154,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00165755,0.0534972,-0.0176427,0.648429,0.499419,1
930,260.679,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00156533,0.0542588,-0.0180721,0.648429,0.499419,1
940,272.38,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00145734,0.0547454,-0.0183498,0.648429,0.499419,1
950,279.588,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00127275,0.0550503,-0.0184106,0.648429,0.499419,1
960,273.921,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00127838,0.0552083,-0.018474,0.648429,0.499419,1
970,261.065,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00152016,0.055162,-0.0189715,0.648429,0.499419,1
980,249.237,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00173092,0.0548711,-0.0198595,0.648429,0.499419,1
990,243.8,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.0016832,0.0544917,-0.0208421,0.648429,0.499419,1
1000,246.528,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00154925,0.054138,-0.0218017,0.647736,0.49946,1
1010,253.106,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00138623,0.0536708,-0.023016,0.647176,0.49954,1
1020,257.725,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00102985,0.0530886,-0.024589,0.646294,0.499663,1
1030,255.573,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.000501659,0.0527912,-0.026429,0.645722,0.499725,1
1040,243.664,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.000168912,0.0527616,-0.0284561,0.645055,0.499799,1
1050,229.88,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.000148328,0.0524695,-0.0307124,0.64437,0.499871,1
1060,222.379,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.000121144,0.0518733,-0.0330569,0.643682,0.499902,1
1070,222.669,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,9.94698e-005,0.0513738,-0.0352899,0.642878,0.499892,1
1080,227.097,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.000303876,0.0510287,-0.0374203,0.642027,0.499837,1
1090,230.475,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.000352547,0.0509759,-0.0397204,0.641143,0.49974,1
1100,231.599,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.000527086,0.0516177,-0.042232,0.640167,0.499597,1
1110,226.872,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.000883229,0.0528218,-0.0445574,0.63908,0.499411,1
1120,217.349,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.00126672,0.0539981,-0.046421,0.637954,0.499196,1
1130,207.288,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.0016391,0.0549663,-0.0480109,0.636967,0.498986,1
1140,202.905,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.00206231,0.0557644,-0.0494038,0.636159,0.498792,1
1150,208.082,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.00211297,0.0562355,-0.0502293,0.635413,0.498583,1
1160,221.709,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.00158849,0.0562745,-0.050383,0.634787,0.498379,1
1170,244.37,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.000756333,0.0560465,-0.0501981,0.634339,0.498205,1
1180,268.492,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.000104102,0.0557186,-0.0498682,0.633947,0.498026,1
1190,286.644,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.000362081,0.0553358,-0.0492068,0.633663,0.497871,1
1200,288.897,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.000651093,0.0548528,-0.048327,0.633644,0.497854,1
1210,282.356,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.000813321,0.0543121,-0.0475177,0.633644,0.497854,1
1220,274.202,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.000838184,0.0537225,-0.0469073,0.633644,0.497854,1
1230,276.98,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.000976235,0.0529546,-0.0462782,0.633644,0.497854,1
1240,286.62,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00130077,0.0521037,-0.0456969,0.633644,0.497854,1
1250,292.851,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00171979,0.0516295,-0.0453543,0.633655,0.497674,1
1260,292.722,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00201534,0.0515542,-0.0454148,0.633689,0.497492,1
1270,288.501,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00221575,0.0513147,-0.0455589,0.633756,0.497252,1
1280,283.563,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00224923,0.0507975,-0.0455826,0.633855,0.496974,1
1290,286.646,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00207542,0.0504763,-0.045407,0.633959,0.49673,1
1300,296.951,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00169541,0.0506195,-0.0450611,0.634132,0.496371,1
1310,310.195,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.0012176,0.0511669,-0.0443867,0.634399,0.495858,1
1320,324.516,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.000780597,0.0519811,-0.043651,0.634695,0.495328,1
1330,339.682,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00058044,0.0529099,-0.0431114,0.634943,0.494914,1
1340,347.804,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.000602928,0.0538607,-0.0427816,0.635121,0.494645,1
1350,338.245,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.000699166,0.054728,-0.0423434,0.635264,0.494448,1
1360,302.201,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.000800762,0.0555652,-0.0418007,0.635438,0.494231,1
1370,252.191,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.000921667,0.0564326,-0.0412305,0.635607,0.494046,1
1380,212.445,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.000971768,0.0570793,-0.0407825,0.635737,0.493927,1
1390,214.218,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.000776518,0.0571597,-0.0404623,0.635737,0.493927,1
1400,254.937,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.000199443,0.0569534,-0.0402494,0.635737,0.493927,1
1410,307.941,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.000652101,0.0567556,-0.0399768,0.635737,0.493927,1
1420,341.949,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.00148166,0.0562427,-0.0396334,0.635737,0.493927,1
1430,346.493,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.00205854,0.05514,-0.0394819,0.635737,0.493927,1
1440,335.76,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.00232982,0.0538236,-0.0397649,0.635737,0.493927,1
1450,320.826,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.00225725,0.0525739,-0.0403125,0.635737,0.493927,1
1460,305.864,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.0019521,0.0515523,-0.0407535,0.635749,0.493921,1
1470,294.426,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.00166766,0.0509389,-0.0411189,0.636049,0.493783,1
1480,289.48,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.00151787,0.0506695,-0.041601,0.636521,0.493577,1
1490,297.119,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.00134194,0.0503876,-0.0421318,0.636858,0.49344,1
1500,307.947,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.00106658,0.0501802,-0.0423393,0.637014,0.493383,1
1510,309.034,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.000828042,0.0504584,-0.0423183,0.637238,0.493313,1
1520,302.058,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.000675421,0.0514337,-0.042267,0.6375,0.493247,1
1530,301.243,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.000456283,0.0528588,-0.0423495,0.637573,0.493234,1
1540,314.847,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.000204339,0.0543688,-0.0425502,0.637573,0.493234,1
1550,341.724,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,2.17581e-005,0.0556015,-0.0430063,0.637573,0.493234,1
1560,361.734,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.000189673,0.0564365,-0.0434313,0.637573,0.493234,1
1570,359.022,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.000329939,0.0569306,-0.0436791,0.637573,0.493234,1
1580,334.108,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-3.53229e-005,0.0571846,-0.0437728,0.637573,0.493234,1
1590,303.28,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.000593193,0.0572272,-0.0441317,0.637749,0.49323,1
1600,285.099,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.000947265,0.0569495,-0.0448112,0.637935,0.493233,1
1610,291.498,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.00083281,0.056274,-0.0456447,0.637944,0.493234,1
1620,319.742,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.000601605,0.0554837,-0.046218,0.637945,0.493234,1
1630,343.025,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.000415723,0.0547349,-0.046728,0.637945,0.493234,1
1640,348.415,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.000127421,0.0537763,-0.047426,0.637945,0.493234,1
1650,337.378,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.000215942,0.0525859,-0.0484279,0.637945,0.493234,1
1660,323.982,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.000362805,0.0515404,-0.0494523,0.637945,0.493234,1
1670,307.023,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.000323205,0.0508842,-0.0505564,0.638108,0.49328,1
1680,286.542,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.000344918,0.0507194,-0.0516507,0.638429,0.493383,1
1690,266.566,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.000429043,0.0511559,-0.0527146,0.6388,0.49352,1
1700,252.203,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.0003282,0.0519854,-0.0536498,0.639076,0.493635,1
