step,T,Epot,Efull,SolventMolsThroughZ,
1.035e-012,124.666,-2319.84,-2001.11,926365328,
1.04e-012,122.333,-2314.79,-2002.02,84214877,
1.045e-012,119.692,-2306.61,-2000.59,-757935574,
1.05e-012,125.411,-2321.51,-2000.87,-1600086025,
1.055e-012,119.524,-2303.39,-1997.8,1852730820,
1.06e-012,123.224,-2307.7,-1992.65,1010580369,
1.065e-012,117.735,-2289.42,-1988.41,168429918,
1.07e-012,119.612,-2288.08,-1982.27,-673720533,
1.075e-012,118.143,-2277.23,-1975.17,-1515870984,
1.08e-012,120.821,-2278.28,-1969.37,1936945861,
1.085e-012,119.755,-2267.98,-1961.8,1094795410,
1.09e-012,126.771,-2280.94,-1956.82,252644959,
1.095e-012,123.989,-2270.55,-1953.55,-589505492,
1.1e-012,125.354,-2269.34,-1948.85,-1431655943,
1.105e-012,126.074,-2260.46,-1938.13,2021160902,
1.11e-012,133.683,-2275.6,-1933.81,1179010451,
1.115e-012,132.91,-2271.56,-1931.75,336860000,
1.12e-012,132.201,-2270.21,-1932.21,-505290451,
1.125e-012,131.429,-2266.75,-1930.72,-1347440902,
1.13e-012,129.486,-2261.62,-1930.56,2105375943,
1.135e-012,131.175,-2265.71,-1930.33,1263225492,
1.14e-012,125.306,-2249.39,-1929.02,421075041,
1.145e-012,124.212,-2239.76,-1922.19,-421075410,
1.15e-012,125.709,-2237.79,-1916.38,-1263225861,
1.155e-012,126.973,-2228.53,-1903.9,-2105376312,
1.16e-012,126.993,-2217.94,-1893.26,1347440533,
1.165e-012,130.105,-2214.99,-1882.35,505290082,
1.17e-012,131.229,-2210.31,-1874.79,-336860369,
1.175e-012,136.003,-2217.72,-1870,-1179010820,
1.18e-012,132.102,-2205.31,-1867.56,-2021161271,
1.185e-012,131.187,-2197.83,-1862.42,1431655574,
1.19e-012,131.677,-2195.84,-1859.18,589505123,
1.195e-012,130.746,-2188.98,-1854.7,-252645328,
1.2e-012,136.567,-2202.25,-1853.09,-1094795779,
1.205e-012,146.889,-2228.59,-1853.04,-1936946230,
1.21e-012,140.402,-2214.65,-1855.68,1515870615,
1.215e-012,142.452,-2215.53,-1851.32,673720164,
1.22e-012,146.56,-2224.8,-1850.09,-168430287,
1.225e-012,149.653,-2234.85,-1852.23,-1010580738,
1.23e-012,150.683,-2240.92,-1855.67,-1852731189,
1.235e-012,147.939,-2237.48,-1859.24,1600085656,
1.24e-012,144.462,-2229.49,-1860.14,757935205,
1.245e-012,146.881,-2236.57,-1861.04,-84215246,
1.25e-012,139.913,-2220.59,-1862.87,-926365697,
1.255e-012,139.916,-2212.51,-1854.79,-1768516148,
1.26e-012,142.327,-2213.16,-1849.27,1684300697,
1.265e-012,141.762,-2207.74,-1845.29,842150246,
1.27e-012,143.562,-2207.36,-1840.31,-205,
1.275e-012,141.236,-2196.53,-1835.43,-842150656,
1.28e-012,142.729,-2192.5,-1827.59,-1684301107,
1.285e-012,143.85,-2187.9,-1820.12,1768515738,
1.29e-012,146.826,-2189.07,-1813.67,926365287,
1.295e-012,138.384,-2157.85,-1804.04,84214836,
1.3e-012,146.708,-2168.54,-1793.45,-757935615,
1.305e-012,145.281,-2154.45,-1783.01,-1600086066,
1.31e-012,148.656,-2153.27,-1773.2,1852730779,
1.315e-012,144.684,-2134.47,-1764.55,1010580328,
1.32e-012,154.45,-2154.03,-1759.15,168429877,
1.325e-012,155.006,-2155.7,-1759.4,-673720574,
1.33e-012,161.157,-2174.19,-1762.16,-1515871025,
1.335e-012,153.798,-2158.42,-1765.2,1936945820,
1.34e-012,155.851,-2160.82,-1762.36,1094795369,
1.345e-012,151.109,-2144.8,-1758.46,252644918,
1.35e-012,158.675,-2160,-1754.31,-589505533,
1.355e-012,156.295,-2144.42,-1744.82,-1431655984,
1.36e-012,172.903,-2185.27,-1743.2,2021160861,
1.365e-012,169.083,-2180.35,-1748.05,1179010410,
1.37e-012,165.365,-2172.92,-1750.13,336859959,
1.375e-012,165.655,-2175.23,-1751.7,-505290492,
1.38e-012,161.779,-2166.34,-1752.71,-1347440943,
1.385e-012,157.424,-2152.77,-1750.28,2105375902,
1.39e-012,162.429,-2162.45,-1747.17,1263225451,
1.395e-012,166.017,-2174.69,-1750.23,421075000,
1.4e-012,165.01,-2177.13,-1755.25,-421075451,
1.405e-012,160.767,-2160.46,-1749.42,-1263225902,
1.41e-012,162.553,-2158.51,-1742.91,-2105376353,
1.415e-012,169.84,-2172.49,-1738.26,1347440492,
1.42e-012,164.886,-2157.41,-1735.84,505290041,
1.425e-012,172.245,-2174.29,-1733.91,-336860410,
1.43e-012,163.245,-2149.33,-1731.96,-1179010861,
1.435e-012,168.362,-2158.65,-1728.2,-2021161312,
1.44e-012,164.248,-2146.82,-1726.88,1431655533,
1.445e-012,160.217,-2131.1,-1721.47,589505082,
1.45e-012,161.042,-2127,-1715.26,-252645369,
1.455e-012,175.319,-2159.27,-1711.03,-1094795820,
1.46e-012,163.083,-2124.93,-1707.98,-1936946271,
1.465e-012,170.139,-2135.66,-1700.67,1515870574,
1.47e-012,161.64,-2106.07,-1692.81,673720123,
1.475e-012,170.066,-2119.82,-1685.01,-168430328,
1.48e-012,167.845,-2107.78,-1678.65,-1010580779,
1.485e-012,176.222,-2124.13,-1673.58,-1852731230,
1.49e-012,175.909,-2121.81,-1672.06,1600085615,
1.495e-012,184.337,-2145.58,-1674.28,757935164,
1.5e-012,181.709,-2145.5,-1680.92,-84215287,
1.505e-012,183.157,-2151.26,-1682.98,-926365738,
1.51e-012,178.177,-2139.73,-1684.18,-1768516189,
1.515e-012,170.431,-2114.02,-1678.28,1684300656,
1.52e-012,176.713,-2124.99,-1673.19,842150205,
1.525e-012,165.734,-2088.78,-1665.05,-246,
1.53e-012,173.283,-2100.32,-1657.28,-842150697,
1.535e-012,169.683,-2083.38,-1649.55,-1684301148,
1.54e-012,172.3,-2080.58,-1640.06,1768515697,
1.545e-012,178.709,-2089.39,-1632.49,926365246,
1.55e-012,188.316,-2115.24,-1633.77,84214795,
1.555e-012,191.121,-2125.36,-1636.72,-757935656,
1.56e-012,188.035,-2120.72,-1639.97,-1600086107,
1.565e-012,179.493,-2098.16,-1639.25,1852730738,
1.57e-012,182.127,-2101.94,-1636.3,1010580287,
1.575e-012,174.426,-2080.9,-1634.94,168429836,
1.58e-012,169.529,-2058.52,-1625.08,-673720615,
1.585e-012,179.517,-2077.83,-1618.86,-1515871066,
1.59e-012,183.897,-2088.31,-1618.14,1936945779,
1.595e-012,177.795,-2071.61,-1617.04,1094795328,
1.6e-012,184.934,-2084.17,-1611.34,252644877,
1.605e-012,187.55,-2087.77,-1608.26,-589505574,
1.61e-012,184.483,-2072.32,-1600.65,-1431656025,
1.615e-012,184.852,-2064.94,-1592.33,2021160820,
1.62e-012,191.236,-2074.26,-1585.32,1179010369,
1.625e-012,190.721,-2074.33,-1586.71,336859918,
1.63e-012,183.379,-2052.94,-1584.1,-505290533,
