step,T,Epot,Efull,NThroughZNThroughKlap
2040,126.804,-8786.5,-8522.4,
2050,127.476,-8793.85,-8528.34,
2060,127.816,-8801.07,-8534.85,
2070,127.653,-8807.15,-8541.27,
2080,128.086,-8814.08,-8547.31,
2090,129.556,-8824.06,-8554.23,
2100,130.886,-8835.2,-8562.59,
2110,133.603,-8845.85,-8567.59,
2120,135.106,-8856.39,-8575,
2130,135.917,-8865.45,-8582.36,
2140,136.393,-8874.06,-8589.98,
2150,136.99,-8883.43,-8598.11,
2160,137.389,-8893.44,-8607.29,
2170,137.422,-8903.29,-8617.07,
2180,136.454,-8910.03,-8625.83,
2190,134.974,-8915.67,-8634.55,
2200,133.559,-8919.06,-8640.88,
2210,133.381,-8920,-8642.19,
2220,132.031,-8918.22,-8643.22,
2230,129.967,-8913.56,-8642.86,
2240,127.677,-8907.28,-8641.35,
2250,125.629,-8898.36,-8636.7,
2260,123.846,-8888.61,-8630.66,
2270,123.64,-8881.29,-8623.77,
2280,124.041,-8875.7,-8617.35,
2290,124.927,-8870.22,-8610.02,
2300,125.425,-8866.21,-8604.97,
2310,127.498,-8861.45,-8595.9,
2320,128.318,-8855.09,-8587.83,
2330,129.137,-8849.18,-8580.21,
2340,129.563,-8843.09,-8573.23,
2350,129.951,-8838.08,-8567.42,
2360,130.457,-8833.43,-8561.72,
2370,131.272,-8829.57,-8556.16,
2380,131.514,-8824.81,-8550.89,
2390,131.975,-8821.06,-8546.19,
2400,132.932,-8819.09,-8542.22,
2410,135.915,-8818.29,-8535.21,
2420,137.64,-8816.83,-8530.16,
2430,137.871,-8813.44,-8526.28,
2440,136.877,-8806.69,-8521.6,
2450,135.385,-8797.39,-8515.41,
2460,133.952,-8786.84,-8507.85,
2470,133.242,-8777,-8499.49,
2480,133.447,-8768.74,-8490.8,
2490,135.424,-8765.21,-8483.15,
2500,137.852,-8764.64,-8477.52,
2510,141.291,-8763.68,-8469.4,
2520,141.992,-8758.9,-8463.16,
2530,140.744,-8748.76,-8455.62,
2540,138.493,-8735.37,-8446.92,
2550,135.872,-8720.05,-8437.06,
2560,133.679,-8704.35,-8425.92,
2570,130.769,-8684.41,-8412.05,
2580,128.124,-8662.76,-8395.91,
2590,126.048,-8640.65,-8378.12,
2600,125.027,-8619.37,-8358.96,
2610,124.788,-8594.83,-8334.93,
2620,122.632,-8565.24,-8309.82,
2630,118.975,-8530.52,-8282.72,
2640,115.329,-8492.81,-8252.6,
2650,115.428,-8461.09,-8220.68,
2660,120.544,-8441.88,-8190.81,
2670,128.224,-8433.14,-8166.07,
2680,132.892,-8423.23,-8146.45,
2690,134.084,-8408.22,-8128.95,
2700,136.438,-8396.13,-8111.96,
2710,141.845,-8389.15,-8093.72,
2720,146.107,-8383.55,-8079.24,
2730,147.862,-8375.47,-8067.5,
2740,149.076,-8366.97,-8056.47,
2750,150.732,-8361.08,-8047.13,
2760,154.158,-8360.76,-8039.68,
2770,160.927,-8371.54,-8036.36,
2780,171.251,-8395.75,-8039.07,
2790,180.22,-8425.69,-8050.33,
2800,181.898,-8445.2,-8066.35,
2810,181.309,-8454.61,-8076.98,
2820,179.079,-8460.16,-8087.17,
2830,178.806,-8467.49,-8095.07,
2840,180.27,-8478.76,-8103.3,
2850,181.984,-8492.5,-8113.46,
2860,184.378,-8509.46,-8125.44,
2870,188.472,-8532.92,-8140.37,
2880,192.427,-8558.64,-8157.86,
2890,194.82,-8583.8,-8178.03,
