step,T,Epot,Efull,SolventMolsThroughZ,SolventMolsThroughKlap,Klapan_Z,Solvent_Z,G,v_theor,v_pract
5.85e-013,119.62,-7688.37,-7479.51,1,0,0.190682,-0.418635,666.278,0.435123,0.435485
5.9e-013,118.286,-7692.47,-7485.94,1,0,0.188373,-0.412598,664.324,0.43845,0.438811
5.95e-013,124.983,-7710.98,-7492.75,1,0,0.185865,-0.406625,662.355,0.441766,0.442128
6e-013,128.891,-7729.88,-7504.83,1,0,0.183153,-0.400755,660.371,0.445073,0.445434
6.05e-013,123.656,-7725.51,-7509.6,1,0,0.180248,-0.394983,658.372,0.44837,0.44873
6.1e-013,120.294,-7720.99,-7510.95,1,0,0.177051,-0.389227,656.358,0.451657,0.452017
6.15e-013,118.468,-7717.44,-7510.59,1,0,0.173347,-0.383454,654.33,0.454933,0.455293
6.2e-013,113.589,-7706.52,-7508.19,1,0,0.168785,-0.377644,652.288,0.4582,0.458559
6.25e-013,110.498,-7695.24,-7502.3,1,0,0.162983,-0.371754,650.23,0.461456,0.461815
6.3e-013,110.601,-7688.7,-7495.58,1,0,0.155746,-0.365749,648.158,0.464702,0.46506
6.35e-013,106.752,-7674.62,-7488.23,1,0,0.14716,-0.35962,646.072,0.467938,0.468295
6.4e-013,115.192,-7682.68,-7481.55,1,0,0.137403,-0.353336,643.971,0.471163,0.47152
6.45e-013,121.899,-7693.67,-7480.83,1,0,0.126737,-0.346962,641.856,0.474378,0.474734
6.5e-013,118.668,-7688.37,-7481.17,1,0,0.115351,-0.34057,639.726,0.477582,0.477937
6.55e-013,124.497,-7692.51,-7475.14,1,0,0.103227,-0.334105,637.582,0.480775,0.48113
6.6e-013,129.16,-7698.28,-7472.76,1,0,0.0905122,-0.327552,635.424,0.483957,0.484312
6.65e-013,129.78,-7698.97,-7472.37,1,0,0.0775686,-0.320958,633.252,0.487129,0.487483
6.7e-013,131.279,-7701.19,-7471.97,1,0,0.0646939,-0.314332,631.065,0.49029,0.490643
6.75e-013,133.423,-7706.99,-7474.02,1,0,0.0520954,-0.307684,628.865,0.49344,0.493793
6.8e-013,130.142,-7703.2,-7475.97,1,0,0.0398954,-0.301027,626.65,0.496578,0.496931
6.85e-013,131.451,-7705.51,-7475.99,1,0,0.0281208,-0.294336,624.421,0.499706,0.500058
6.9e-013,130.426,-7705.33,-7477.6,1,0,0.0168345,-0.287609,622.178,0.502823,0.503174
6.95e-013,123.127,-7690.87,-7475.89,1,0,0.00605792,-0.280837,619.922,0.505928,0.506279
7e-013,124.731,-7689.17,-7471.39,1,0,-0.00430441,-0.273967,617.651,0.509022,0.509372
7.05e-013,123.156,-7676.58,-7461.55,1,0,-0.0143459,-0.266977,615.367,0.512104,0.512454
7.1e-013,122.345,-7663.11,-7449.49,1,0,-0.0241995,-0.259868,613.069,0.515175,0.515525
7.15e-013,126.909,-7661.33,-7439.74,1,0,-0.0339055,-0.252818,610.757,0.518235,0.518584
7.2e-013,122.851,-7645.03,-7430.52,1,0,-0.0433644,-0.246332,608.431,0.521283,0.521631
7.25e-013,120.607,-7628.95,-7418.36,1,0,-0.0524195,-0.241423,606.092,0.524319,0.524667
7.3e-013,126.64,-7629.15,-7408.03,1,0,-0.0607625,-0.239849,603.74,0.527344,0.527691
7.35e-013,131.577,-7630.44,-7400.7,1,0,-0.06808,-0.243297,601.373,0.530357,0.530703
7.4e-013,132.794,-7627.12,-7395.25,1,0,-0.0745389,-0.25163,598.994,0.533358,0.533703
7.45e-013,138.394,-7633.88,-7392.24,1,0,-0.0806492,-0.263236,596.601,0.536347,0.536692
7.5e-013,140.589,-7638.05,-7392.58,1,0,-0.0867506,-0.276641,594.194,0.539324,0.539668
7.55e-013,144.469,-7639.65,-7387.39,1,0,-0.0929644,-0.291192,591.775,0.542289,0.542632
7.6e-013,149.723,-7646.95,-7385.52,1,0,-0.0992538,-0.30674,589.342,0.545241,0.545584
7.65e-013,147.659,-7644.26,-7386.44,1,0,-0.105491,-0.323137,586.896,0.548182,0.548524
7.7e-013,145.94,-7639.95,-7385.13,1,0,-0.111645,-0.340228,584.437,0.55111,0.551452
7.75e-013,145.98,-7638.83,-7383.95,1,0,-0.117757,-0.3578,581.964,0.554026,0.554368
7.8e-013,137.195,-7619.68,-7380.13,1,0,-0.123877,-0.37567,579.479,0.55693,0.557271
7.85e-013,134.917,-7608.18,-7372.6,1,0,-0.130089,-0.393897,576.981,0.559821,0.560161
7.9e-013,136.467,-7605.32,-7367.04,1,0,-0.136429,-0.412513,574.47,0.5627,0.563039
7.95e-013,134.559,-7597.49,-7362.54,1,0,-0.142894,-0.431467,571.946,0.565566,0.565905
8e-013,133.928,-7588.79,-7354.94,1,0,-0.149518,-0.450788,569.409,0.568419,0.568757
8.05e-013,142.481,-7590.9,-7342.12,1,0,-0.156396,-0.4706,566.859,0.57126,0.571597
8.1e-013,138.317,-7571.25,-7329.74,1,0,-0.163601,-0.490876,564.297,0.574088,0.574425
8.15e-013,142.877,-7564.53,-7315.06,1,0,-0.171248,-0.511666,561.722,0.576903,0.577239
8.2e-013,153.552,-7575.89,-7307.78,1,0,-0.179332,-0.53289,559.135,0.579705,0.58004
8.25e-013,153.078,-7570.44,-7303.16,1,0,-0.187639,-0.554282,556.535,0.582494,0.582829
8.3e-013,161.994,-7583.49,-7300.64,1,0,-0.195959,-0.57579,553.922,0.58527,0.585604
8.35e-013,164.799,-7591.98,-7304.24,1,0,-0.204088,-0.597248,551.298,0.588033,0.588367
8.4e-013,164.797,-7595.14,-7307.4,1,0,-0.211916,-0.618557,548.66,0.590783,0.591116
8.45e-013,164.398,-7598.52,-7311.48,0,0,-0.219357,0.63044,546.011,0.59352,0.593852
8.5e-013,161.847,-7596.51,-7313.91,0,0,-0.226296,0.60941,543.35,0.596243,0.596575
8.55e-013,163.084,-7593.82,-7309.07,0,0,-0.232675,0.588357,540.676,0.598953,0.599284
8.6e-013,163.389,-7589.18,-7303.9,0,0,-0.238395,0.567155,537.99,0.60165,0.60198
8.65e-013,169.563,-7597.89,-7301.83,0,0,-0.243207,0.545819,535.292,0.604333,0.604663
8.7e-013,167.784,-7594.65,-7301.69,0,0,-0.246833,0.524461,532.582,0.607003,0.607332
8.75e-013,173.652,-7604.67,-7301.46,0,0,-0.249254,0.503085,529.86,0.609659,0.609987
8.8e-013,175.862,-7612.11,-7305.05,0,0,-0.250803,0.481783,527.127,0.612301,0.612629
8.85e-013,172.328,-7608.59,-7307.7,0,0,-0.252076,0.460621,524.381,0.61493,0.615257
8.9e-013,180.937,-7627.62,-7311.69,0,0,-0.253663,0.439549,521.624,0.617545,0.617871
8.95e-013,179.239,-7632.22,-7319.26,0,0,-0.255848,0.41869,518.855,0.620146,0.620472
9e-013,174.971,-7628.53,-7323.03,0,0,-0.258423,0.398037,516.075,0.622734,0.623059
9.05e-013,178.886,-7633.52,-7321.18,0,0,-0.260704,0.377388,513.283,0.625307,0.625631
9.1e-013,181.648,-7639.06,-7321.89,0,0,-0.261828,0.356602,510.48,0.627867,0.62819
9.15e-013,176.31,-7629.43,-7321.58,0,0,-0.261251,0.335585,507.665,0.630412,0.630735
9.2e-013,173.417,-7620.07,-7317.27,0,0,-0.259052,0.314059,504.838,0.632943,0.633265
9.25e-013,167.64,-7605.1,-7312.39,0,0,-0.25581,0.291822,502.001,0.63546,0.635782
9.3e-013,162.614,-7585.9,-7301.97,0,0,-0.252195,0.268834,499.152,0.637963,0.638284
9.35e-013,167.44,-7584.4,-7292.04,0,0,-0.248637,0.245155,496.292,0.640452,0.640772
9.4e-013,168.541,-7578.6,-7284.32,0,0,-0.245262,0.221015,493.421,0.642926,0.643245
9.45e-013,172.386,-7580.07,-7279.07,0,0,-0.241971,0.196608,490.539,0.645386,0.645704
9.5e-013,175.285,-7581.73,-7275.67,0,0,-0.238652,0.17241,487.646,0.647832,0.648149
9.55e-013,169.204,-7560.39,-7264.95,0,0,-0.23529,0.149542,484.742,0.650263,0.650579
9.6e-013,164.068,-7535.61,-7249.14,0,0,-0.231923,0.130933,481.827,0.652679,0.652995
9.65e-013,170.313,-7530.19,-7232.81,0,0,-0.22858,0.122168,478.902,0.655081,0.655396
9.7e-013,189.081,-7556.32,-7226.17,0,0,-0.225278,0.125484,475.966,0.657468,0.657783
