step	T	Epot	Efull	E_solute	E_solvent	E_solusolv	NThroughZ	NThroughZmin	NThroughZmax	
1880	102.72	-1548.35	-1365.16	-1546.24	-0.161914	-1.95228	0	0	0	
1890	92.7223	-1523.85	-1358.48	-1521.72	-0.162111	-1.96401	0	0	0	
1900	86.3852	-1500.45	-1346.39	-1498.32	-0.162314	-1.97305	0	0	0	
1910	83.9784	-1477.23	-1327.46	-1475.09	-0.162529	-1.97932	0	0	0	
1920	85.5631	-1460.6	-1308	-1458.45	-0.162758	-1.98221	0	0	0	
1930	92.4308	-1456.15	-1291.3	-1453.97	-0.163001	-2.01517	0	0	0	
1940	99.9281	-1458.19	-1279.98	-1455.98	-0.163256	-2.04904	0	0	0	
1950	101.737	-1453.09	-1271.65	-1450.88	-0.163518	-2.05361	0	0	0	
1960	105.127	-1451.48	-1263.99	-1449.22	-0.163787	-2.09832	0	0	0	
1970	115.804	-1467.47	-1260.94	-1465.15	-0.16406	-2.15494	0	0	0	
1980	122.388	-1483.18	-1264.91	-1480.83	-0.164333	-2.18322	0	0	0	
1990	120.289	-1484.93	-1270.39	-1482.54	-0.170043	-2.21225	0	0	0	
2000	114.8	-1477.63	-1272.88	-1475.21	-0.17577	-2.24349	0	0	0	
2010	109.32	-1462.44	-1267.47	-1459.99	-0.176085	-2.2735	0	0	0	
2020	102.356	-1440.62	-1258.07	-1438.14	-0.176407	-2.30334	0	0	0	
2030	99.9102	-1423.1	-1244.91	-1420.55	-0.176741	-2.36869	0	0	0	
2040	102.131	-1413.98	-1231.83	-1411.39	-0.177088	-2.4061	0	0	0	
2050	108.696	-1415.29	-1221.44	-1412.68	-0.177448	-2.43142	0	0	0	
2060	115.046	-1420.73	-1215.55	-1418.12	-0.177816	-2.42422	0	0	0	
2070	121.963	-1431.19	-1213.67	-1428.48	-0.178189	-2.52634	0	0	0	
2080	132.444	-1453.47	-1217.26	-1450.73	-0.178563	-2.56194	0	0	0	
2090	138.205	-1474.14	-1227.66	-1471.34	-0.178931	-2.62896	0	0	0	
2100	129.557	-1468.74	-1237.68	-1465.86	-0.179292	-2.70193	0	0	0	
2110	118.951	-1448.5	-1236.36	-1445.61	-0.179651	-2.71421	0	0	0	
2120	110.289	-1425.17	-1228.47	-1422.18	-0.180016	-2.81401	0	0	0	
2130	101.876	-1396.74	-1215.05	-1393.69	-0.180392	-2.86859	0	0	0	
2140	93.8953	-1363.54	-1196.08	-1360.44	-0.180787	-2.92447	0	0	0	
2150	92.0724	-1337.59	-1173.38	-1334.43	-0.181209	-2.98206	0	0	0	
2160	105.275	-1341.49	-1153.74	-1338.23	-0.181661	-3.07694	0	0	0	
2170	129.18	-1377.19	-1146.8	-1373.79	-0.182131	-3.20981	0	0	0	
2180	147.003	-1416.95	-1154.77	-1413.45	-0.182602	-3.31259	0	0	0	
2190	156.015	-1450.08	-1171.83	-1446.46	-0.183062	-3.4314	0	0	0	
2200	161.791	-1482.23	-1193.68	-1478.51	-0.183508	-3.53481	0	0	0	
2210	172.481	-1524.75	-1217.14	-1520.99	-0.183938	-3.57707	0	0	0	
2220	171.982	-1552.53	-1245.81	-1548.68	-0.184352	-3.66346	0	0	0	
2230	149.661	-1533.72	-1266.81	-1529.78	-0.184749	-3.75451	0	0	0	
2240	126.978	-1497.8	-1271.34	-1493.72	-0.185139	-3.90046	0	0	0	
2250	117.346	-1474.18	-1264.9	-1469.93	-0.185533	-4.06313	0	0	0	
2260	112.233	-1454.12	-1253.96	-1449.76	-0.185937	-4.17568	0	0	0	
2270	105.513	-1427.5	-1239.32	-1423.05	-0.186355	-4.25417	0	0	0	
2280	100.561	-1399.94	-1220.59	-1395.42	-0.186794	-4.33266	0	0	0	
2290	106.34	-1390.84	-1201.19	-1386.23	-0.187259	-4.42548	0	0	0	
2300	118.158	-1399.1	-1188.37	-1394.39	-0.187746	-4.51892	0	0	0	
2310	122.15	-1395.09	-1177.24	-1390.29	-0.188249	-4.61445	0	0	0	
2320	126.139	-1392.6	-1167.64	-1387.71	-0.188766	-4.70665	0	0	0	
2330	140.834	-1415.4	-1164.23	-1410.41	-0.194722	-4.802	0	0	0	
