step,T,Epot,Efull,
1.76e-012,105.636,-5753.16,-3900.79,
1.77e-012,103.643,-5696.71,-3879.29,
1.78e-012,104.897,-5702.77,-3863.37,
1.79e-012,108.414,-5747.88,-3846.81,
1.8e-012,106.599,-5694.7,-3825.46,
1.81e-012,108.086,-5711.28,-3815.96,
1.82e-012,108.753,-5702.54,-3795.52,
1.83e-012,107.69,-5666.71,-3778.32,
1.84e-012,110.886,-5710.65,-3766.23,
1.85e-012,112.105,-5715.03,-3749.24,
1.86e-012,108.516,-5631.35,-3728.49,
1.87e-012,110.998,-5661.93,-3715.54,
1.88e-012,110.356,-5611.69,-3676.57,
1.89e-012,108.934,-5553.33,-3643.13,
1.9e-012,113.852,-5616.3,-3619.87,
1.91e-012,112.68,-5565.73,-3589.85,
1.92e-012,110.993,-5507.99,-3561.69,
1.93e-012,114.046,-5525.47,-3525.64,
1.94e-012,114.138,-5489.86,-3488.41,
1.95e-012,115.897,-5503.43,-3471.13,
1.96e-012,119.271,-5547.96,-3456.51,
1.97e-012,116.337,-5476.91,-3436.9,
1.98e-012,119.149,-5521.91,-3432.6,
1.99e-012,120.245,-5530.91,-3422.38,
2e-012,115.987,-5422.21,-3388.33,
2.01e-012,120.728,-5498.4,-3381.39,
2.02e-012,122.079,-5498.66,-3357.97,
2.03e-012,118.425,-5412.64,-3336.03,
2.04e-012,127.078,-5570.63,-3342.29,
2.05e-012,128.72,-5610.34,-3353.19,
2.06e-012,123.123,-5516.45,-3357.46,
2.07e-012,124.761,-5544.67,-3356.95,
2.08e-012,120.456,-5429.71,-3317.47,
2.09e-012,120.282,-5384.5,-3275.33,
2.1e-012,127.496,-5491.1,-3255.42,
2.11e-012,122.202,-5355.45,-3212.61,
2.12e-012,123.44,-5347.95,-3183.39,
2.13e-012,128.827,-5420.82,-3161.8,
2.14e-012,125.187,-5325.23,-3130.04,
2.15e-012,129,-5376.22,-3114.17,
2.16e-012,134.897,-5482.84,-3117.38,
2.17e-012,127.185,-5331.69,-3101.45,
2.18e-012,129.473,-5360.28,-3089.94,
2.19e-012,130.541,-5348.7,-3059.63,
2.2e-012,126.038,-5220.78,-3010.66,
2.21e-012,133.597,-5341.29,-2998.63,
2.22e-012,134.704,-5339.1,-2977.02,
2.23e-012,124.799,-5124.73,-2936.35,
2.24e-012,135.83,-5290.2,-2908.38,
2.25e-012,134.215,-5238.05,-2884.56,
2.26e-012,131.483,-5165.43,-2859.83,
2.27e-012,138.843,-5279.71,-2845.05,
2.28e-012,135.01,-5181,-2813.56,
2.29e-012,135.63,-5182.14,-2803.83,
2.3e-012,142.29,-5299.44,-2804.34,
2.31e-012,135.144,-5145.41,-2775.62,
2.32e-012,137.015,-5159.14,-2756.54,
2.33e-012,141.682,-5228.18,-2743.75,
2.34e-012,135.526,-5083.08,-2706.59,
2.35e-012,139.375,-5133.03,-2689.05,
2.36e-012,144.28,-5199.74,-2669.74,
2.37e-012,137.513,-5049.3,-2637.96,
2.38e-012,143.513,-5145.64,-2629.1,
2.39e-012,145.216,-5160.24,-2613.83,
2.4e-012,140.1,-5052.62,-2595.92,
2.41e-012,148.745,-5200.92,-2592.63,
2.42e-012,149.04,-5195.41,-2581.95,
2.43e-012,144.232,-5110.69,-2581.54,
2.44e-012,152.381,-5271.48,-2599.43,
2.45e-012,146.672,-5152.04,-2580.11,
2.46e-012,145.244,-5122.02,-2575.13,
2.47e-012,155.253,-5297.34,-2574.94,
2.48e-012,148.801,-5174.3,-2565.04,
2.49e-012,146.186,-5122.26,-2558.84,
2.5e-012,151.135,-5182.57,-2532.37,
2.51e-012,145.798,-5040.53,-2483.93,
2.52e-012,152.434,-5154.41,-2481.44,
2.53e-012,156.097,-5204.34,-2467.12,
2.54e-012,151.294,-5108.07,-2455.09,
2.55e-012,154.374,-5174.33,-2467.34,
2.56e-012,154.436,-5144.18,-2436.09,
2.57e-012,149.483,-5030.08,-2408.85,
2.58e-012,154.466,-5100.38,-2391.77,
2.59e-012,156.826,-5106.21,-2356.22,
2.6e-012,153.962,-5045.69,-2345.92,
2.61e-012,163.05,-5221.85,-2362.71,
2.62e-012,160.127,-5171.78,-2363.91,
2.63e-012,153.982,-5054.84,-2354.72,
2.64e-012,158.889,-5115.3,-2329.14,
2.65e-012,149.967,-4886.87,-2257.15,
2.66e-012,155.22,-4942.05,-2220.22,
2.67e-012,166.779,-5131.13,-2206.61,
2.68e-012,158.534,-4968.52,-2188.57,
2.69e-012,160.848,-4999.94,-2179.43,
2.7e-012,166.498,-5077.63,-2158.03,
2.71e-012,160.271,-4947.45,-2137.04,
2.72e-012,168.328,-5108.55,-2156.86,
2.73e-012,167.663,-5092.06,-2152.04,
2.74e-012,157.556,-4883.08,-2120.28,
2.75e-012,164.528,-4981.94,-2096.89,
