step,T,Epot,Efull,
3.98e-012,294.168,-6956.51,-2077.02,
4e-012,294.777,-6958.1,-2068.51,
4.02e-012,293.637,-6903.17,-2032.49,
4.04e-012,300.677,-7074.15,-2086.68,
4.06e-012,295.154,-6952.26,-2056.41,
4.08e-012,299.138,-7014.54,-2052.6,
4.1e-012,296.025,-6927.32,-2017.02,
4.12e-012,312.732,-7286.94,-2099.52,
4.14e-012,295.354,-6914.6,-2015.44,
4.16e-012,302.699,-7097.48,-2076.48,
4.18e-012,298.45,-7031.68,-2081.17,
4.2e-012,302.142,-7121.15,-2109.38,
4.22e-012,301.109,-7081.55,-2086.91,
4.24e-012,302.479,-7148.21,-2130.85,
4.26e-012,298.859,-7065.53,-2108.22,
4.28e-012,295.769,-7024.72,-2118.67,
4.3e-012,302.694,-7085.83,-2064.91,
4.32e-012,296.217,-7061.76,-2148.27,
4.34e-012,294.945,-6992.36,-2099.97,
4.36e-012,302.175,-7123.72,-2111.42,
4.38e-012,292.796,-6955.93,-2099.19,
4.4e-012,295.259,-7065.33,-2167.74,
4.42e-012,297.677,-7040.75,-2103.05,
4.44e-012,304.698,-7251.14,-2196.98,
4.46e-012,290.739,-6945.47,-2122.85,
4.48e-012,309.313,-7309.42,-2178.7,
4.5e-012,301.784,-7111.59,-2105.77,
4.52e-012,294.124,-7013.93,-2135.17,
4.54e-012,304.272,-7155.99,-2108.89,
4.56e-012,295.404,-6993.02,-2093.02,
4.58e-012,291.51,-6895.52,-2060.11,
4.6e-012,316.372,-7408.88,-2161.08,
4.62e-012,297.194,-6988.94,-2059.24,
4.64e-012,312.705,-7339.6,-2152.63,
4.66e-012,304.759,-7162.84,-2107.66,
4.68e-012,303.646,-7172.64,-2135.93,
4.7e-012,299.614,-7049.78,-2079.96,
4.72e-012,291.461,-6911.17,-2076.57,
4.74e-012,296.794,-6987,-2063.94,
4.76e-012,293.726,-6905.83,-2033.65,
4.78e-012,303.344,-7063.56,-2031.85,
4.8e-012,300.34,-7051.88,-2070,
4.82e-012,293.795,-6901.12,-2027.82,
4.84e-012,295.062,-6898.68,-2004.35,
4.86e-012,291.62,-6839.24,-2002.01,
4.88e-012,297.333,-6951.03,-2019.03,
4.9e-012,293.195,-6832.5,-1969.15,
4.92e-012,305.5,-7103.47,-2036.01,
4.94e-012,298.021,-6964.77,-2021.36,
4.96e-012,288.159,-6776.28,-1996.45,
4.98e-012,299.24,-6995.14,-2031.52,
5e-012,304.207,-7043.32,-1997.31,
5.02e-012,305.83,-7089.06,-2016.12,
5.04e-012,302.26,-7035.44,-2021.72,
5.06e-012,309.665,-7190.82,-2054.27,
5.08e-012,295.16,-6935.25,-2039.3,
5.1e-012,291.478,-6836.25,-2001.38,
5.12e-012,301.32,-7063.39,-2065.25,
5.14e-012,295.258,-6920.01,-2022.44,
5.16e-012,291.504,-6839.13,-2003.82,
5.18e-012,295.786,-6943.59,-2037.26,
5.2e-012,296.784,-6900.12,-1977.23,
5.22e-012,298.314,-6949.54,-2001.27,
5.24e-012,300.597,-6998.94,-2012.81,
5.26e-012,302.64,-7071.78,-2051.76,
5.28e-012,296.021,-6941.02,-2030.79,
5.3e-012,303.788,-7071.35,-2032.28,
5.32e-012,295.94,-6924.69,-2015.81,
5.34e-012,299.242,-6980.09,-2016.43,
5.36e-012,302.784,-7026.27,-2003.85,
5.38e-012,295.658,-6896.12,-1991.9,
5.4e-012,298.489,-6924.15,-1972.97,
5.42e-012,303.533,-7000.59,-1965.75,
5.44e-012,301.054,-6939.32,-1945.61,
5.46e-012,307.387,-7097.37,-1998.61,
5.48e-012,299.256,-6945.37,-1981.48,
5.5e-012,298.009,-6976.15,-2032.94,
5.52e-012,293.336,-6838.89,-1973.19,
5.54e-012,305.649,-7111.03,-2041.1,
5.56e-012,301.515,-7046.76,-2045.39,
5.58e-012,300.092,-6999.69,-2021.93,
5.6e-012,301.946,-7040.67,-2032.16,
5.62e-012,294.912,-6931.91,-2040.07,
5.64e-012,304.905,-7109.54,-2051.94,
5.66e-012,300.152,-7022.55,-2043.8,
5.68e-012,299.191,-7027.25,-2064.43,
5.7e-012,292.862,-6895.07,-2037.24,
5.72e-012,298.181,-6963.51,-2017.46,
5.74e-012,305.355,-7137.8,-2072.75,
5.76e-012,298.474,-6986.57,-2035.66,
5.78e-012,294.827,-6931.14,-2040.7,
5.8e-012,295.922,-6912.57,-2003.98,
5.82e-012,293.548,-6888.28,-2019.07,
5.84e-012,298.353,-6970.83,-2021.92,
5.86e-012,294.793,-6867.79,-1977.92,
5.88e-012,300.33,-6981.51,-1999.81,
5.9e-012,300.37,-6976.56,-1994.19,
5.92e-012,302.541,-7013.69,-1995.3,
5.94e-012,296.352,-6906.86,-1991.13,
5.96e-012,298.809,-6937.93,-1981.45,
5.98e-012,305.966,-7093.59,-2018.39,
6e-012,294,-6849.32,-1972.62,
6.02e-012,305.824,-7058.23,-1985.39,
6.04e-012,307.399,-7085.94,-1986.97,
6.06e-012,301.915,-7027.23,-2019.22,
6.08e-012,298.564,-6950.27,-1997.85,
6.1e-012,296.88,-6915.9,-1991.42,
6.12e-012,298.157,-6944.02,-1998.37,
6.14e-012,305.805,-7079.63,-2007.1,
6.16e-012,304.542,-7081.72,-2030.14,
6.18e-012,305.408,-7112.65,-2046.7,
6.2e-012,303.791,-7068.86,-2029.74,
6.22e-012,304.049,-7088.33,-2044.93,
6.24e-012,301.465,-7003.26,-2002.73,
6.26e-012,301.201,-7048.58,-2052.42,
6.28e-012,296.047,-6923.96,-2013.29,
6.3e-012,302.209,-7019.54,-2006.66,
6.32e-012,296.045,-6925.89,-2015.26,
6.34e-012,303.991,-7052.43,-2009.99,
6.36e-012,297.184,-6896.37,-1966.84,
6.38e-012,298.76,-6920.11,-1964.44,
6.4e-012,298.605,-6928.44,-1975.35,
6.42e-012,299.486,-6921.35,-1953.65,
6.44e-012,305.412,-7054.7,-1988.7,
6.46e-012,297.275,-6925.47,-1994.45,
6.48e-012,297.268,-6889.89,-1958.97,
6.5e-012,299.927,-6959.93,-1984.91,
6.52e-012,300.162,-6906.49,-1927.57,
6.54e-012,302.012,-6969.34,-1959.73,
6.56e-012,296.345,-6857.95,-1942.35,
6.58e-012,298.242,-6889,-1941.92,
6.6e-012,304.431,-7038.79,-1989.05,
6.62e-012,298.987,-6916.11,-1956.68,
6.64e-012,303.008,-7032.99,-2006.85,
6.66e-012,298.043,-6949.63,-2005.87,
6.68e-012,297.667,-6930.52,-1992.98,
6.7e-012,302.427,-7091.38,-2074.89,
6.72e-012,302.896,-7050.42,-2026.14,
6.74e-012,303.221,-7076.5,-2046.83,
6.76e-012,297.31,-6943.71,-2012.1,
6.78e-012,306.048,-7113.44,-2036.89,
6.8e-012,304.225,-7113.05,-2066.74,
6.82e-012,290.652,-6816.88,-1995.7,
6.84e-012,297.308,-6940.31,-2008.74,
6.86e-012,298.842,-6999.64,-2042.6,
6.88e-012,299.737,-6954.06,-1982.19,
6.9e-012,296.968,-6950.6,-2024.66,
6.92e-012,294.779,-6917.47,-2027.84,
6.94e-012,301.412,-7042.5,-2042.85,
6.96e-012,309.417,-7184.35,-2051.91,
6.98e-012,304.229,-7113.54,-2067.15,
7e-012,303.605,-7096.74,-2060.72,
7.02e-012,299.588,-7067.82,-2098.42,
7.04e-012,293.348,-6894.29,-2028.41,
7.06e-012,298.724,-7025.96,-2070.89,
7.08e-012,295.232,-6982.11,-2084.97,
7.1e-012,297.909,-6999.19,-2057.64,
7.12e-012,294.392,-6928.67,-2045.46,
7.14e-012,292.306,-6884.69,-2036.08,
7.16e-012,304.881,-7121.71,-2064.51,
7.18e-012,298.074,-7001.95,-2057.67,
7.2e-012,292.393,-6853.1,-2003.05,
7.22e-012,309.251,-7253.75,-2124.07,
7.24e-012,295.48,-6927.77,-2026.51,
7.26e-012,294.024,-6906.77,-2029.67,
7.28e-012,301.47,-7060.67,-2060.05,
7.3e-012,293.981,-6882.52,-2006.12,
7.32e-012,299.037,-6941.37,-1981.1,
7.34e-012,298.695,-6938.54,-1983.95,
7.36e-012,297.988,-6948.78,-2005.92,
7.38e-012,299.122,-6948.25,-1986.58,
7.4e-012,299.873,-6944.34,-1970.22,
7.42e-012,302.748,-7085.69,-2063.88,
7.44e-012,304.2,-7063.63,-2017.73,
7.46e-012,302.141,-7036.67,-2024.92,
7.48e-012,304.109,-7101.56,-2057.16,
7.5e-012,298.493,-6978.59,-2027.35,
7.52e-012,299.602,-7012.61,-2042.98,
7.54e-012,297.273,-6952.53,-2021.53,
7.56e-012,291.649,-6849.18,-2011.48,
7.58e-012,308.135,-7196.22,-2085.06,
7.6e-012,302.737,-7050.02,-2028.38,
7.62e-012,297.658,-6930.64,-1993.26,
7.64e-012,304.371,-7103.95,-2055.22,
7.66e-012,290.094,-6787.2,-1975.28,
7.68e-012,295.356,-6863.26,-1964.07,
7.7e-012,303.951,-7009.6,-1967.82,
7.72e-012,295.014,-6840.37,-1946.83,
7.74e-012,310.408,-7145.35,-1996.47,
7.76e-012,296.625,-6885.62,-1965.37,
7.78e-012,296.422,-6927.96,-2011.08,
7.8e-012,305.899,-7098.06,-2023.97,
7.82e-012,298.576,-6927.79,-1975.18,
7.84e-012,300.889,-7046.92,-2055.95,
7.86e-012,307.11,-7161.54,-2067.37,
7.88e-012,300.506,-7035.5,-2050.87,
7.9e-012,300.436,-7051.39,-2067.93,
7.92e-012,296.335,-6933.28,-2017.84,
7.94e-012,304.963,-7111.18,-2052.63,
7.96e-012,298.13,-6929.67,-1984.45,
7.98e-012,303.74,-7034.66,-1996.38,
8e-012,305.584,-7127.63,-2058.78,
8.02e-012,305.279,-7096.77,-2032.98,
8.04e-012,289.308,-6794.57,-1995.68,
8.06e-012,305.063,-7118.77,-2058.56,
8.08e-012,308.333,-7179.39,-2064.94,
8.1e-012,300.636,-7026.65,-2039.87,
8.12e-012,300.248,-7012.46,-2032.12,
8.14e-012,298.396,-7045.77,-2096.14,
8.16e-012,297.24,-6997.7,-2067.24,
8.18e-012,297.986,-6961.35,-2018.53,
8.2e-012,295.963,-6945.14,-2035.87,
8.22e-012,298.552,-7008.51,-2056.29,
8.24e-012,297.064,-6931.98,-2004.44,
8.26e-012,300.904,-7001.76,-2010.54,
8.28e-012,304.379,-7114.53,-2065.66,
8.3e-012,294.256,-6856.28,-1975.33,
8.32e-012,298.706,-6950.52,-1995.76,
8.34e-012,292.958,-6827.32,-1967.9,
8.36e-012,298.446,-6966.62,-2016.17,
8.38e-012,298.476,-6923.55,-1972.6,
8.4e-012,291.694,-6814.56,-1976.11,
8.42e-012,297.183,-6912.87,-1983.36,
8.44e-012,299.596,-6982.81,-2013.28,
8.46e-012,290.144,-6797.91,-1985.16,
8.48e-012,305.735,-7122.07,-2050.71,
8.5e-012,295.252,-6865.48,-1968.01,
8.52e-012,296.735,-6915.86,-1993.78,
8.54e-012,295.084,-6835.42,-1940.73,
8.56e-012,298.851,-6930.17,-1973,
8.58e-012,296.562,-6859.23,-1940.02,
8.6e-012,303.313,-7002.82,-1971.62,
8.62e-012,296.765,-6842.65,-1920.08,
8.64e-012,300.729,-6935.71,-1947.38,
