step,T,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],target_crd[0],target_crd[1],target_crd[2]
1150,64.9281,0,0,0,0,0,0.5,0.000837629,0.0659521,0.00314026
1160,68.5571,0,0,0,0,0,0.5,0.000690166,0.0658174,0.00288311
1170,64.8969,0,0,0,0,0,0.5,0.000862595,0.0657896,0.00313661
1180,70.7296,0,0,0,0,0,0.5,0.00107161,0.066006,0.00360718
1190,63.2163,0,0,0,0,0,0.5,0.000825083,0.0662435,0.00419123
1200,67.2444,0,0,0,0,0,0.5,0.000262081,0.0661474,0.00455527
1210,69.1514,0,0,0,0,0,0.5,-0.000125703,0.0655759,0.00466706
1220,66.1975,0,0,0,0,0,0.5,-0.00030272,0.065104,0.00455388
1230,69.6333,0,0,0,0,0,0.5,-0.000165033,0.0651458,0.00460037
1240,72.301,0,0,0,0,0,0.5,0.000190875,0.0654369,0.00475124
1250,75.6611,0,0,0,0,0,0.5,0.000468177,0.0655156,0.00491035
1260,67.4341,0,0,0,0,0,0.5,0.000633579,0.0653745,0.0046232
1270,71.5248,0,0,0,0,0,0.5,0.00111211,0.0652219,0.00384857
1280,72.2641,0,0,0,0,0,0.5,0.00162663,0.0650753,0.00293176
1290,61.2129,0,0,0,0,0,0.5,0.00158528,0.0647418,0.00251607
1300,69.5611,0,0,0,0,0,0.5,0.00108099,0.064381,0.00255813
1310,78.7909,0,0,0,0,0,0.5,0.000721236,0.0643475,0.00269796
1320,72.2358,0,0,0,0,0,0.5,0.000637073,0.0644513,0.00258938
1330,74.3829,0,0,0,0,0,0.5,0.000666383,0.0643696,0.00230608
1340,84.4311,0,0,0,0,0,0.5,0.000650038,0.0642554,0.00205925
1350,64.0293,0,0,0,0,0,0.5,0.000647703,0.0642858,0.00204336
1360,70.7088,0,0,0,0,0,0.5,0.000795867,0.0640816,0.00221047
1370,76.7037,0,0,0,0,0,0.5,0.000895001,0.0638226,0.0024432
1380,58.09,0,0,0,0,0,0.5,0.000774997,0.0640195,0.00258395
1390,87.7344,0,0,0,0,0,0.5,0.000697021,0.0645096,0.00243193
1400,82.2455,0,0,0,0,0,0.5,0.000841269,0.0645347,0.00201401
1410,70.4418,0,0,0,0,0,0.5,0.000796807,0.0642593,0.00160522
1420,91.7449,0,0,0,0,0,0.5,0.000602804,0.0641495,0.00138949
1430,62.5505,0,0,0,0,0,0.5,0.000681696,0.0643048,0.00124658
1440,76.6814,0,0,0,0,0,0.5,0.00103913,0.0643471,0.00122414
1450,80.2621,0,0,0,0,0,0.5,0.0010946,0.0642425,0.00157929
1460,69.9778,0,0,0,0,0,0.5,0.000812259,0.064142,0.00255027
1470,88.7383,0,0,0,0,0,0.5,0.000425786,0.0641543,0.00361382
1480,80.1956,0,0,0,0,0,0.5,0.000414793,0.0639836,0.00433693
1490,85.8325,0,0,0,0,0,0.5,0.000597498,0.0637544,0.00457166
1500,82.9668,0,0,0,0,0,0.5,0.000576712,0.0638619,0.00478418
1510,76.9136,0,0,0,0,0,0.5,0.000150909,0.0642922,0.00510833
1520,81.5309,0,0,0,0,0,0.5,-0.000133334,0.0643232,0.00557347
1530,80.2542,0,0,0,0,0,0.5,-0.000285147,0.0639291,0.00572203
1540,82.3918,0,0,0,0,0,0.5,-0.000422892,0.0637546,0.00541689
1550,89.8216,0,0,0,0,0,0.5,-0.000489611,0.0642559,0.0044587
1560,91.5059,0,0,0,0,0,0.5,-3.13782e-005,0.0649217,0.00335002
1570,96.5133,0,0,0,0,0,0.5,0.000563217,0.0650157,0.00263366
1580,95.9652,0,0,0,0,0,0.5,0.000781828,0.0644965,0.00284605
1590,95.1808,0,0,0,0,0,0.5,0.000507936,0.064242,0.00330869
1600,85.8092,0,0,0,0,0,0.5,0.000268229,0.0645387,0.00346911
1610,92.336,0,0,0,0,0,0.5,-2.34288e-005,0.0648507,0.00300015
1620,85.385,0,0,0,0,0,0.5,-0.000421272,0.0650947,0.00251459
1630,90.1426,0,0,0,0,0,0.5,-0.000666684,0.0654933,0.00222186
1640,100.647,0,0,0,0,0,0.5,-0.000533208,0.0656136,0.00253734
1650,96.1211,0,0,0,0,0,0.5,-0.000410273,0.0652475,0.00311486
1660,101.415,0,0,0,0,0,0.5,-0.00034701,0.0652734,0.00381896
1670,96.089,0,0,0,0,0,0.5,-0.000309867,0.0658183,0.00407933
1680,97.0374,0,0,0,0,0,0.5,-0.000561269,0.0659178,0.0039852
1690,96.5193,0,0,0,0,0,0.5,-0.00112061,0.0654377,0.00382605
1700,95.784,0,0,0,0,0,0.5,-0.00140796,0.0655837,0.00438344
1710,110.486,0,0,0,0,0,0.5,-0.00120684,0.0664601,0.00538826
1720,93.2972,0,0,0,0,0,0.5,-0.000947414,0.0669196,0.00635389
1730,103.459,0,0,0,0,0,0.5,-0.00101002,0.0664524,0.00677268
1740,105.073,0,0,0,0,0,0.5,-0.00131924,0.0661688,0.00696081
1750,90.2047,0,0,0,0,0,0.5,-0.0013922,0.0666188,0.00706295
1760,104.139,0,0,0,0,0,0.5,-0.00109528,0.0671943,0.00737462
1770,103.536,0,0,0,0,0,0.5,-0.000930187,0.0672101,0.00771575
1780,99.4473,0,0,0,0,0,0.5,-0.00130144,0.0672678,0.00801411
1790,104.302,0,0,0,0,0,0.5,-0.00154776,0.0676913,0.00801722
1800,99.3789,0,0,0,0,0,0.5,-0.00134721,0.0682059,0.00781591
1810,105.477,0,0,0,0,0,0.5,-0.00121691,0.0684879,0.0076253
1820,99.5385,0,0,0,0,0,0.5,-0.00174433,0.0686848,0.00767665
1830,94.7739,0,0,0,0,0,0.5,-0.00234654,0.0684759,0.00787947
1840,95.4233,0,0,0,0,0,0.5,-0.00249731,0.0680868,0.00775105
1850,108.751,0,0,0,0,0,0.5,-0.00230128,0.0681687,0.0070682
1860,108.777,0,0,0,0,0,0.5,-0.00232986,0.0689915,0.0060101
1870,104.718,0,0,0,0,0,0.5,-0.00232841,0.0696851,0.00529431
1880,123.935,0,0,0,0,0,0.5,-0.00206592,0.0696825,0.00507287
1890,101.061,0,0,0,0,0,0.5,-0.00174303,0.069106,0.00517699
1900,97.4619,0,0,0,0,0,0.5,-0.00174792,0.0688831,0.00508578
1910,106.402,0,0,0,0,0,0.5,-0.00148849,0.0694304,0.00481355
1920,99.8383,0,0,0,0,0,0.5,-0.000754724,0.0701126,0.00455282
1930,112.953,0,0,0,0,0,0.5,-0.000402185,0.0701883,0.00485196
1940,103.429,0,0,0,0,0,0.5,-0.00121546,0.0701711,0.00548919
1950,122.803,0,0,0,0,0,0.5,-0.00204791,0.0707673,0.00608609
1960,116.301,0,0,0,0,0,0.5,-0.00204384,0.0716364,0.00615957
1970,99.2,0,0,0,0,0,0.5,-0.00190449,0.0719699,0.00606286
1980,115.303,0,0,0,0,0,0.5,-0.00231452,0.0717051,0.00588814
1990,106.232,0,0,0,0,0,0.5,-0.00245642,0.0714117,0.00591522
2000,109.005,0,0,0,0,0,0.5,-0.00217758,0.0712888,0.00594446
2010,107.329,0,0,0,0,0,0.5,-0.00195183,0.0712058,0.00614304
2020,114.493,0,0,0,0,0,0.5,-0.00175734,0.071165,0.00627397
2030,130.472,0,0,0,0,0,0.5,-0.0013152,0.0712531,0.00642565
2040,108.173,0,0,0,0,0,0.5,-0.00107316,0.0710593,0.00646719
2050,107.362,0,0,0,0,0,0.5,-0.000859753,0.0706806,0.0066811
2060,126.395,0,0,0,0,0,0.5,-0.000394962,0.0705923,0.00670682
2070,108.503,0,0,0,0,0,0.5,-0.000116307,0.0710734,0.0062119
2080,104.859,0,0,0,0,0,0.5,-0.000502609,0.0715573,0.00521651
2090,113.219,0,0,0,0,0,0.5,-0.00111085,0.0720021,0.00468812
2100,123.712,0,0,0,0,0,0.5,-0.00168734,0.0724512,0.00490556
