step,T,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],target_crd[0],target_crd[1],target_crd[2]
1210,69.0806,-0.000209353,-0.00618458,-0.0854993,-8.5603e-005,-0.00121038,0.483189,-0.000140699,0.0655566,0.00469058
1220,66.1392,-0.000201417,-0.00637414,-0.0878404,-8.66286e-005,-0.00124174,0.482757,-0.000314061,0.0650843,0.0045768
1230,69.5721,-0.000191803,-0.00652505,-0.0896268,-8.76118e-005,-0.00127398,0.482313,-0.000173603,0.065121,0.00463023
1240,72.3877,-0.000178664,-0.00656616,-0.0898943,-8.85383e-005,-0.00130672,0.481864,0.000183262,0.0654162,0.00478725
1250,75.6818,-0.000165248,-0.00658776,-0.0898864,-8.93991e-005,-0.00133965,0.481414,0.000467178,0.065506,0.00495039
1260,67.3954,-0.000155866,-0.00675595,-0.0918697,-9.01994e-005,-0.00137291,0.480961,0.000639304,0.0653739,0.00466222
1270,71.4849,-0.000143219,-0.0067672,-0.0917103,-9.09474e-005,-0.00140674,0.480502,0.00112187,0.0652172,0.00388411
1280,72.2309,-0.000132864,-0.00687825,-0.0928902,-9.16383e-005,-0.00144089,0.48004,0.00163703,0.0650691,0.0029569
1290,61.1706,-0.000125272,-0.00716637,-0.096437,-9.22805e-005,-0.00147581,0.479569,0.00159373,0.0647348,0.00253025
1300,69.5401,-0.000113307,-0.00723336,-0.0969897,-9.28776e-005,-0.00151183,0.479085,0.00108355,0.0643748,0.0025672
1310,78.8575,-0.000103842,-0.00748963,-0.100056,-9.3422e-005,-0.00154873,0.478591,0.000720151,0.0643382,0.0027109
1320,72.3213,-9.24909e-005,-0.00763721,-0.101641,-9.39115e-005,-0.00158644,0.478088,0.000635162,0.0644463,0.00260581
1330,74.4025,-7.9275e-005,-0.00765236,-0.101449,-9.43412e-005,-0.00162467,0.477581,0.000661602,0.0643659,0.00232198
1340,84.4426,-6.82234e-005,-0.00790437,-0.104387,-9.47112e-005,-0.00166369,0.477064,0.000638258,0.0642492,0.00207399
1350,64.0034,-5.51619e-005,-0.00799563,-0.105183,-9.50179e-005,-0.00170318,0.476544,0.000633643,0.0642814,0.00206092
1360,70.6393,-4.29085e-005,-0.00825091,-0.108117,-9.52638e-005,-0.00174387,0.47601,0.000787014,0.06408,0.00222957
1370,76.749,-3.07879e-005,-0.00861077,-0.112382,-9.54482e-005,-0.00178607,0.475458,0.000890682,0.063817,0.00245885
1380,58.0016,-1.79947e-005,-0.00886915,-0.115281,-9.55694e-005,-0.00182941,0.474893,0.000772937,0.0640129,0.00259711
1390,87.8103,-4.69582e-006,-0.00906241,-0.117316,-9.56269e-005,-0.00187461,0.474307,0.000701951,0.0645085,0.00244432
1400,82.2759,9.54831e-006,-0.00912393,-0.117626,-9.56151e-005,-0.00192,0.47372,0.000852017,0.0645376,0.00202601
1410,70.3458,2.47289e-005,-0.0092715,-0.119028,-9.55301e-005,-0.0019658,0.473131,0.000805766,0.064263,0.00161416
1420,91.7908,4.04731e-005,-0.00943903,-0.120669,-9.53664e-005,-0.00201283,0.472529,0.00060984,0.0641547,0.00139736
1430,62.5222,5.8111e-005,-0.00985783,-0.125485,-9.51227e-005,-0.0020606,0.471919,0.000691101,0.0643109,0.00125321
1440,76.653,7.57417e-005,-0.0102061,-0.129378,-9.47876e-005,-0.00211087,0.471281,0.00104713,0.0643497,0.00122871
1450,80.4395,9.30067e-005,-0.0104476,-0.131894,-9.43655e-005,-0.00216254,0.470627,0.00109578,0.0642488,0.00158295
1460,69.9594,0.000112373,-0.0108965,-0.13701,-9.38546e-005,-0.00221564,0.469958,0.000813276,0.0641605,0.00256449
1470,88.7561,0.000127505,-0.0109584,-0.137264,-9.32525e-005,-0.00227048,0.46927,0.000428825,0.0641833,0.00364351
1480,80.252,0.000143966,-0.0111631,-0.139302,-9.2575e-005,-0.00232568,0.46858,0.00041604,0.064007,0.00437826
1490,85.8917,0.000158131,-0.0112003,-0.139255,-9.18191e-005,-0.00238164,0.467883,0.000596193,0.0637714,0.00461368
1500,83.1308,0.000173298,-0.0113048,-0.140049,-9.09914e-005,-0.00243784,0.467185,0.000576512,0.0638823,0.0048273
1510,76.9278,0.000193058,-0.0116933,-0.144355,-9.00784e-005,-0.00249517,0.466476,0.000145545,0.0643217,0.00515622
1520,81.5291,0.000211738,-0.0120148,-0.147822,-8.90662e-005,-0.00255444,0.465746,-0.000142126,0.0643443,0.00562898
1530,80.4634,0.000232783,-0.012496,-0.153243,-8.79565e-005,-0.00261561,0.464995,-0.000288212,0.0639447,0.00577597
1540,82.4412,0.000247889,-0.0126983,-0.15523,-8.67554e-005,-0.00267855,0.464224,-0.000416941,0.063773,0.00546479
1550,89.8968,0.000262976,-0.0129536,-0.157867,-8.54757e-005,-0.00274278,0.46344,-0.000486159,0.064278,0.00449503
1560,91.5965,0.000274153,-0.0130979,-0.159163,-8.41324e-005,-0.00280789,0.462648,-2.60158e-005,0.0649418,0.00337683
1570,96.4823,0.000275751,-0.0129109,-0.156454,-8.27545e-005,-0.002873,0.461858,0.000576292,0.0650368,0.00265117
1580,95.9457,0.000280916,-0.0130241,-0.157385,-8.13608e-005,-0.00293788,0.461072,0.000794793,0.0645136,0.00286633
1590,95.1725,0.000278499,-0.0129093,-0.155557,-7.99613e-005,-0.00300271,0.46029,0.000504505,0.0642521,0.00333708
1600,85.792,0.000276702,-0.0129261,-0.155307,-7.85751e-005,-0.00306717,0.459514,0.000256301,0.064546,0.00350578
1610,92.4245,0.00028459,-0.0134697,-0.161378,-7.71706e-005,-0.0031332,0.458722,-3.44794e-005,0.0648665,0.00303323
1620,85.4795,0.000282318,-0.0135738,-0.16219,-7.57566e-005,-0.00320064,0.457915,-0.000431203,0.0651193,0.00254594
1630,90.2381,0.000286497,-0.0140165,-0.16706,-7.43334e-005,-0.00326966,0.457092,-0.000678184,0.0655217,0.00225417
1640,100.665,0.000284484,-0.014167,-0.168437,-7.29038e-005,-0.00334022,0.456252,-0.000535907,0.0656412,0.00257768
1650,96.017,0.000278366,-0.0140965,-0.167175,-7.1498e-005,-0.00341083,0.455413,-0.000405,0.0652753,0.00315674
1660,101.27,0.00027639,-0.0141943,-0.167898,-7.01093e-005,-0.00348167,0.454574,-0.00034277,0.0653065,0.00386373
1670,96.041,0.000273577,-0.0142261,-0.167843,-6.87359e-005,-0.00355265,0.453736,-0.000314553,0.0658622,0.00412619
1680,97.0366,0.000270971,-0.0142662,-0.167906,-6.73737e-005,-0.00362391,0.452896,-0.000572129,0.0659647,0.00403668
1690,96.4718,0.000268764,-0.0143902,-0.168981,-6.60236e-005,-0.00369555,0.452054,-0.00113737,0.0654716,0.00387746
1700,95.8311,0.000264719,-0.0145073,-0.169988,-6.46904e-005,-0.00376773,0.451207,-0.0014251,0.0656104,0.00443811
1710,110.646,0.000256595,-0.0145081,-0.169653,-6.33828e-005,-0.00384047,0.450356,-0.00122106,0.0664977,0.00545316
1720,93.3248,0.00024938,-0.014665,-0.171164,-6.2121e-005,-0.00391316,0.449507,-0.00095578,0.0669656,0.00643375
1730,103.378,0.000239829,-0.0148444,-0.172954,-6.08947e-005,-0.00398706,0.448645,-0.00101399,0.0664873,0.00686002
1740,104.852,0.000224819,-0.0148527,-0.172764,-5.97315e-005,-0.00406134,0.44778,-0.00131657,0.0661967,0.00705012
1750,89.9982,0.000212581,-0.015154,-0.175999,-5.86414e-005,-0.00413609,0.446911,-0.00138732,0.0666529,0.00715409
1760,104.115,0.0001972,-0.0153127,-0.177595,-5.76138e-005,-0.00421244,0.446025,-0.00109224,0.0672363,0.00747167
1770,103.525,0.00017957,-0.0154182,-0.178595,-5.66713e-005,-0.00428927,0.445135,-0.000930955,0.0672446,0.00781791
1780,99.5253,0.000160402,-0.015487,-0.179189,-5.58218e-005,-0.00436646,0.444241,-0.00130615,0.0672981,0.00812294
1790,104.295,0.000140229,-0.0154848,-0.178979,-5.50695e-005,-0.00444399,0.443345,-0.00155893,0.0677196,0.00813333
1800,99.4014,0.000123961,-0.0157894,-0.182336,-5.44108e-005,-0.00452204,0.442443,-0.00136222,0.0682301,0.00793565
1810,105.497,0.000108137,-0.0158556,-0.182971,-5.38316e-005,-0.00460118,0.441529,-0.00122895,0.068507,0.00774145
1820,99.5925,9.57258e-005,-0.0160809,-0.185484,-5.33229e-005,-0.00468095,0.440609,-0.0017555,0.0687109,0.00778508
1830,94.8226,8.65577e-005,-0.0167381,-0.193017,-5.28686e-005,-0.00476279,0.439665,-0.0023647,0.0685045,0.00798696
1840,95.5079,7.5569e-005,-0.0169647,-0.195621,-5.24637e-005,-0.00484695,0.438695,-0.00251787,0.0681084,0.00786022
1850,108.763,6.46921e-005,-0.0173923,-0.20057,-5.21116e-005,-0.00493306,0.437702,-0.0023112,0.0681864,0.00717729
1860,108.852,5.00671e-005,-0.0174191,-0.200924,-5.18236e-005,-0.00502005,0.436698,-0.00233143,0.0690169,0.00610892
1870,104.802,3.28892e-005,-0.0173848,-0.200593,-5.16156e-005,-0.00510701,0.435695,-0.00233289,0.0697092,0.0053871
