frame(num)	angle (degree)
633	1,804176
634	10,898057
635	4,452235
636	11,453339
637	2,944106
638	4,119179
639	11,866409
640	4,872224
641	8,114475
642	0,437455
643	10,24778
644	7,720953
645	2,797784
646	4,313887
647	7,740705
648	7,122105
649	2,96055
650	3,919765
651	2,339754
652	7,868362
653	9,118825
654	2,91987
655	9,252002
656	0,870431
657	4,259885
658	8,114161
659	6,133252
660	10,08438
661	2,989634
662	9,630821
663	2,363806
664	5,241198
665	12,740136
666	5,20511
667	2,222111
668	6,634066
669	4,111565
670	2,80526
671	10,702172
672	5,774177
673	6,161698
674	7,597785
675	13,220243
676	5,9622
677	4,977404
678	8,54909
679	7,300492
680	6,381039
681	11,542207
682	2,287216
683	10,964295
684	4,23836
685	7,618446
686	5,253894
687	4,635444
688	8,324494
689	5,954896
690	9,615458
691	4,273197
692	3,879745
693	4,477459
694	6,550236
695	9,585357
696	6,654579
697	3,368367
698	10,739294
699	7,439122
700	4,333004
701	3,374812
702	9,239355
703	0,563365
704	3,12393
705	9,649584
706	3,611295
707	11,680881
708	7,167273
709	11,485438
710	4,438444
711	9,456232
712	9,775977
713	8,47885
714	12,580076
715	2,940114
716	9,103793
717	7,834537
718	5,624586
719	3,693903
720	2,51855
721	7,945272
722	0,637965
723	7,942628
724	7,136331
725	4,304706
726	7,102521
727	2,143293
728	9,689455
729	3,201979
730	8,582932
731	4,912388
732	10,303071
733	0,970153
734	4,834118
735	5,771494
736	4,657366
737	5,828135
738	4,572218
739	8,167699
740	3,751394
741	9,173847
742	3,192243
743	4,75687
744	4,801099
745	9,267367
746	6,551553
747	8,536929
748	7,84953
749	4,819507
750	0,873349
751	8,909598
752	3,665754
753	8,952955
754	1,983569
755	3,666128
756	7,769708
757	4,102505
758	7,918519
759	7,552761
760	10,623638
761	6,95085
762	5,072693
763	3,437181
764	9,241205
765	5,626746
766	4,913625
767	6,385432
768	9,569449
769	10,162041
770	4,639626
771	1,954546
772	6,731205
773	7,027442
774	5,903289
775	10,185763
776	8,121246
777	5,939108
778	4,539758
779	9,499516
780	4,387446
781	0,633038
782	7,986328
783	3,486667
784	7,399955
785	4,416235
786	6,09754
787	3,281217
788	10,53816
789	5,674161
790	5,410083
791	6,894066
792	5,100465
793	12,94191
794	3,382867
795	14,149865
796	7,665724
797	3,068033
798	6,616691
799	1,672457
800	8,323622
801	4,423901
802	12,219467
803	4,367984
804	2,814247
805	3,034543
806	9,523055
807	4,700363
808	4,91984
809	11,647908
810	4,318243
811	9,631985
812	1,516977
813	9,118114
814	4,072802
815	1,05462
816	12,77087
817	5,022856
818	10,051169
819	6,003386
820	9,622367
821	8,141769
822	3,593249
823	10,054338
824	3,169162
825	7,395339
826	2,273397
827	3,410821
828	2,070465
829	1,559845
830	5,637046
831	4,499758
832	1,901972
833	5,089775
834	0,921748
835	6,337473
836	3,226889
837	11,667665
838	2,333052
839	5,42625
840	7,862073
841	3,811205
842	9,150426
843	0,936908
844	10,215808
845	2,792671
846	5,082648
847	4,677972
848	4,686005
849	6,559122
850	5,538172
851	8,239381
852	4,965937
853	6,306583
854	6,570443
855	2,174839
856	5,551991
857	4,81906
858	9,275486
859	2,383595
860	5,949693
861	10,899972
862	4,861356
863	9,316311
864	1,41596
865	10,949292
866	2,013437
867	5,845262
868	6,02698
869	2,160936
870	4,104844
871	1,997824
872	8,648836
873	4,091272
874	5,65111
875	6,53816
876	3,04504
877	6,812587
878	2,739597
879	12,036387
880	1,865611
881	7,749169
882	9,329002
883	7,931004
884	9,249558
885	2,339503
886	13,350811
887	3,580421
888	4,181653
889	5,248446
890	8,544379
891	3,772889
892	2,729648
893	4,831889
894	6,071475
895	4,458302
896	6,983003
897	6,456918
898	5,863876
899	7,735531
900	6,818228
901	6,69325
902	2,847782
903	7,36828
904	5,2855
905	7,457905
906	6,857925
907	3,966498
