step,rz,Epot,prob_atom_crd[0],prob_atom_crd[1],prob_atom_crd[2],prob_atom_f[0],prob_atom_f[1],prob_atom_f[2],target_crd[0],target_crd[1],target_crd[2]
18,-0.32,-1651.16,0.043951,2.44379e-006,-0.313292,-0.0206426,0.00804794,11.5427,0.043951,2.44379e-006,0.00670842
19,-0.31,-1651.28,0.043951,2.41896e-006,-0.303409,-0.0223327,0.00868365,12.2981,0.043951,2.41896e-006,0.00659086
20,-0.3,-1651.41,0.043951,2.44379e-006,-0.293527,-0.02404,0.00930484,13.0623,0.043951,2.44379e-006,0.00647331
21,-0.29,-1651.54,0.043951,2.46366e-006,-0.283644,-0.0261943,0.0100799,13.8251,0.043951,2.46366e-006,0.00635575
22,-0.28,-1651.68,0.0439511,2.41399e-006,-0.273764,-0.0276647,0.0105181,14.5734,0.0439511,2.41399e-006,0.00623593
23,-0.27,-1651.83,0.043951,2.41647e-006,-0.263883,-0.0290908,0.0108777,15.2909,0.043951,2.41647e-006,0.00611696
24,-0.26,-1651.99,0.043951,2.44876e-006,-0.254002,-0.0303664,0.0110688,15.9573,0.043951,2.44876e-006,0.00599844
25,-0.25,-1652.15,0.043951,2.43386e-006,-0.24412,-0.031142,0.0109293,16.5473,0.043951,2.43386e-006,0.0058799
26,-0.24,-1652.32,0.0439509,2.33948e-006,-0.234239,-0.0315581,0.0104309,17.0299,0.0439509,2.33948e-006,0.0057615
27,-0.23,-1652.49,0.0439511,2.49594e-006,-0.224357,-0.0308032,0.00920691,17.3661,0.0439511,2.49594e-006,0.00564282
28,-0.22,-1652.67,0.043951,2.51333e-006,-0.214475,-0.0297112,0.00731537,17.509,0.043951,2.51333e-006,0.00552491
29,-0.21,-1652.84,0.043951,2.3817e-006,-0.204594,-0.0266927,0.00412312,17.3998,0.043951,2.3817e-006,0.00540587
30,-0.2,-1653.01,0.0439508,2.42144e-006,-0.194713,-0.0216911,-0.000621702,16.9665,0.0439508,2.42144e-006,0.0052871
31,-0.19,-1653.18,0.0439508,2.45621e-006,-0.184831,-0.0143769,-0.00759037,16.1217,0.0439508,2.45621e-006,0.00516915
32,-0.18,-1653.33,0.0439508,2.44131e-006,-0.174949,-0.00360407,-0.0178379,14.7596,0.0439508,2.44131e-006,0.00505119
33,-0.17,-1653.47,0.0439509,2.42889e-006,-0.165067,0.011469,-0.0317217,12.7547,0.0439509,2.42889e-006,0.00493264
34,-0.16,-1653.59,0.0439509,2.43386e-006,-0.155185,0.0324937,-0.0513909,9.96248,0.0439509,2.43386e-006,0.00481469
35,-0.15,-1653.67,0.0439509,2.42641e-006,-0.145303,0.0612186,-0.0784245,6.22447,0.0439509,2.42641e-006,0.00469673
36,-0.14,-1653.71,0.0439509,2.42641e-006,-0.135421,0.0998609,-0.11494,1.37962,0.0439509,2.42641e-006,0.00457873
37,-0.13,-1653.69,0.043951,2.42641e-006,-0.125539,0.151125,-0.163392,-4.71345,0.043951,2.42641e-006,0.00446061
38,-0.12,-1653.61,0.0439511,2.40902e-006,-0.115658,0.217895,-0.226075,-12.1406,0.0439511,2.40902e-006,0.00434235
39,-0.11,-1653.45,0.0439511,2.39412e-006,-0.105776,0.0881824,0.0411123,-20.5589,0.0439511,2.39412e-006,0.00422394
40,-0.1,-1653.19,0.0439483,3.72529e-006,-0.0958407,0.397257,-0.391977,-30.343,0.0439483,3.72529e-006,0.00415934
41,-0.09,-1652.84,0.0439509,2.41399e-006,-0.0859583,0.517769,-0.501516,-40.8122,0.0439509,2.41399e-006,0.00404168
42,-0.08,-1652.38,0.0439509,2.3966e-006,-0.0760759,0.657095,-0.619936,-51.248,0.0439509,2.3966e-006,0.00392406
43,-0.07,-1651.82,0.0439509,2.39164e-006,-0.0661936,0.810543,-0.737801,-60.6246,0.0439509,2.39164e-006,0.00380641
44,-0.06,-1651.17,0.0439509,2.37425e-006,-0.0563112,0.969661,-0.84074,-67.6702,0.0439509,2.37425e-006,0.00368875
45,-0.05,-1650.48,0.0439509,2.37425e-006,-0.0464289,1.12208,-0.910981,-71.0231,0.0439509,2.37425e-006,0.00357113
46,-0.04,-1649.77,0.0439509,2.36928e-006,-0.0365465,1.25142,-0.931353,-69.4805,0.0439509,2.36928e-006,0.00345346
47,-0.03,-1649.11,0.0439509,2.36183e-006,-0.0266642,1.33939,-0.88937,-62.2992,0.0439509,2.36183e-006,0.00333583
48,-0.02,-1648.54,0.0439509,2.37177e-006,-0.0167818,1.35711,-0.795709,-49.4694,0.0439509,2.37177e-006,0.00321817
49,-0.01,-1648.13,0.0439509,2.37674e-006,-0.00689947,1.29202,-0.655997,-31.861,0.0439509,2.37674e-006,0.00310053
50,-1.86483e-017,-1647.92,0.0439509,2.38667e-006,0.00298289,1.153,-0.474033,-11.1699,0.0439509,2.38667e-006,0.00298289
51,0.01,-1648.04,0.0439509,2.39164e-006,0.0128652,-0.058254,-0.000207241,9.41973,0.0439509,2.39164e-006,0.00286522
52,0.02,-1648.23,0.04395,2.59777e-006,0.0230618,0.703718,-0.0808264,28.4082,0.04395,2.59777e-006,0.00306181
53,0.03,-1648.6,0.0439511,2.45621e-006,0.0329442,0.487203,0.0706943,43.986,0.0439511,2.45621e-006,0.00294416
54,0.04,-1649.1,0.0439511,2.46366e-006,0.0428266,0.248465,0.18472,54.8176,0.0439511,2.46366e-006,0.00282656
55,0.05,-1649.68,0.0439511,2.46366e-006,0.052709,0.0356049,0.255779,60.3538,0.0439511,2.46366e-006,0.00270897
56,0.06,-1650.29,0.043951,2.47359e-006,0.0625914,-0.13376,0.287207,60.8074,0.043951,2.47359e-006,0.00259136
57,0.07,-1650.88,0.0439509,2.47111e-006,0.0724738,-0.250995,0.286762,56.9791,0.0439509,2.47111e-006,0.00247379
58,0.08,-1651.42,0.0439508,2.45372e-006,0.0823562,-0.31482,0.264153,50.0079,0.0439508,2.45372e-006,0.00235621
59,0.09,-1651.87,0.0439507,2.44876e-006,0.0922386,-0.333913,0.228942,41.1227,0.0439507,2.44876e-006,0.0022386
60,0.1,-1652.24,0.0439506,2.46366e-006,0.102121,-0.31884,0.188778,31.4481,0.0439506,2.46366e-006,0.00212102
61,0.11,-1652.63,0.0439506,2.43882e-006,0.112003,0.00809852,-0.00434889,23.0976,0.0439506,2.43882e-006,0.00200341
62,0.12,-1652.81,0.0439525,1.74592e-006,0.121552,-0.247821,0.1171,13.9595,0.0439525,1.74592e-006,0.00155196
63,0.13,-1652.91,0.0439509,2.46118e-006,0.131434,-0.193029,0.0857126,6.0112,0.0439509,2.46118e-006,0.0014343
64,0.14,-1652.94,0.0439509,2.45124e-006,0.141317,-0.142513,0.0601914,-0.585261,0.0439509,2.45124e-006,0.00131671
65,0.15,-1652.9,0.0439509,2.44379e-006,0.151199,-0.0992091,0.0402906,-5.82672,0.0439509,2.44379e-006,0.00119909
66,0.16,-1652.82,0.0439509,2.43882e-006,0.161081,-0.0639796,0.0252544,-9.81157,0.0439509,2.43882e-006,0.00108148
67,0.17,-1652.71,0.0439509,2.43137e-006,0.170964,-0.0365283,0.0141938,-12.693,0.0439509,2.43137e-006,0.000963868
68,0.18,-1652.57,0.0439509,2.41647e-006,0.180846,-0.0159478,0.00626548,-14.645,0.0439509,2.41647e-006,0.000846256
69,0.19,-1652.42,0.0439508,2.38667e-006,0.190729,-0.00109089,0.000735031,-15.8398,0.0439508,2.38667e-006,0.000728642
70,0.2,-1652.26,0.0439508,2.37922e-006,0.200611,0.00878188,-0.00281109,-16.4369,0.0439508,2.37922e-006,0.000611013
71,0.21,-1652.1,0.0439508,2.49843e-006,0.210455,0.0159067,-0.00537694,-16.5759,0.0439508,2.49843e-006,0.000454964
72,0.22,-1651.93,0.0439509,2.45124e-006,0.220337,0.0200758,-0.00683984,-16.3676,0.0439509,2.45124e-006,0.000337265
73,0.23,-1651.77,0.0439509,2.47856e-006,0.23022,0.0223175,-0.00762382,-15.907,0.0439509,2.47856e-006,0.000219617
74,0.24,-1651.61,0.0439509,2.44131e-006,0.240102,0.0231764,-0.00792679,-15.2705,0.0439509,2.44131e-006,0.000101948
75,0.25,-1651.46,0.0439509,2.43634e-006,0.249984,0.0230944,-0.00790227,-14.5178,0.0439509,2.43634e-006,-1.56874e-005
76,0.26,-1651.32,0.0439509,2.44131e-006,0.259867,0.0223684,-0.0076581,-13.6951,0.0439509,2.44131e-006,-0.000133345
77,0.27,-1651.19,0.0439509,2.46366e-006,0.269749,0.0212426,-0.00727637,-12.8378,0.0439509,2.46366e-006,-0.00025094
78,0.28,-1651.07,0.0439509,2.46614e-006,0.279631,0.0198775,-0.00681348,-11.9722,0.0439509,2.46614e-006,-0.000368561
79,0.29,-1650.95,0.0439509,2.46614e-006,0.289514,0.0184006,-0.00631104,-11.1176,0.0439509,2.46614e-006,-0.000486167
80,0.3,-1650.84,0.0439509,2.43882e-006,0.299396,0.0168846,-0.00579428,-10.2878,0.0439509,2.43882e-006,-0.000603725
81,0.31,-1650.75,0.0439509,2.44131e-006,0.309279,0.0153919,-0.00528477,-9.49228,0.0439509,2.44131e-006,-0.000721307
82,0.32,-1650.65,0.0439509,2.45124e-006,0.319161,0.0139568,-0.00479358,-8.73721,0.0439509,2.45124e-006,-0.000838865
83,0.33,-1650.57,0.0439509,2.46366e-006,0.329044,0.0125993,-0.00432798,-8.02626,0.0439509,2.46366e-006,-0.000956405
84,0.34,-1650.49,0.0439509,2.48104e-006,0.338926,0.0113381,-0.00389419,-7.36114,0.0439509,2.48104e-006,-0.00107398
85,0.35,-1650.42,0.0439509,2.47111e-006,0.348808,0.0101746,-0.00349415,-6.7422,0.0439509,2.47111e-006,-0.00119154
86,0.36,-1650.36,0.0439509,2.47856e-006,0.358691,0.00911023,-0.00312857,-6.16873,0.0439509,2.47856e-006,-0.00130908
87,0.37,-1650.3,0.0439509,2.48849e-006,0.368573,0.00814304,-0.00279633,-5.6393,0.0439509,2.48849e-006,-0.0014266
88,0.38,-1650.25,0.0439509,2.48353e-006,0.378456,0.0072677,-0.00249546,-5.15202,0.0439509,2.48353e-006,-0.00154411
89,0.39,-1650.2,0.0439509,2.47608e-006,0.388338,0.00648059,-0.0022245,-4.70462,0.0439509,2.47608e-006,-0.00166163
90,0.4,-1649.96,0.0439509,2.45621e-006,0.398221,0.00413179,-0.00139345,-2.88239,0.0439509,2.45621e-006,-0.00177912
91,0.41,-1649.94,0.0439509,2.43634e-006,0.408104,0.0036573,-0.0012326,-2.61328,0.0439509,2.43634e-006,-0.00189647
92,0.42,-1649.91,0.0439509,2.41399e-006,0.417986,0.0032359,-0.00108984,-2.36894,0.0439509,2.41399e-006,-0.00201388
93,0.43,-1649.89,0.0439509,2.4115e-006,0.427869,0.00286212,-0.000963316,-2.14739,0.0439509,2.4115e-006,-0.0021313
94,0.44,-1649.87,0.0439509,2.4115e-006,0.437751,0.00253259,-0.000851528,-1.9467,0.0439509,2.4115e-006,-0.00224872
95,0.45,-1649.85,0.0439509,2.45869e-006,0.447646,0.00223832,-0.000752283,-1.76509,0.0439509,2.45869e-006,-0.00235362
96,0.46,-1649.83,0.0439509,2.44131e-006,0.457529,0.00197974,-0.000664796,-1.60082,0.0439509,2.44131e-006,-0.00247124
97,0.47,-1649.82,0.0439509,2.44131e-006,0.467411,0.0017514,-0.000587638,-1.45231,0.0439509,2.44131e-006,-0.00258883
98,0.48,-1649.8,0.0439509,2.46118e-006,0.477294,0.00154992,-0.000519618,-1.31809,0.0439509,2.46118e-006,-0.00270644
99,0.49,-1649.79,0.0439509,2.45869e-006,0.487176,0.00137215,-0.000459649,-1.1968,0.0439509,2.45869e-006,-0.00282405
